transDate,close,high,low,open,volume,event
12/11/2007,27.458,27.458,27.458,27.458,117300,
13/11/2007,28.831,28.831,28.831,28.831,19010,
14/11/2007,30.201,30.201,30.201,30.201,90660,
15/11/2007,31.572,31.572,30.201,31.572,301720,
16/11/2007,30.028,30.89,30.028,30.201,146200,
19/11/2007,28.653,29.857,28.653,28.825,90660,
20/11/2007,27.626,28.485,27.287,27.287,112490,
21/11/2007,26.428,27.626,26.428,26.599,131140,
22/11/2007,27.458,27.631,26.771,26.771,92390,
23/11/2007,26.939,27.454,26.939,27.454,30870,
26/11/2007,26.939,27.454,26.255,26.255,53080,
27/11/2007,26.771,27.282,26.771,27.115,49800,
28/11/2007,26.599,26.943,26.428,26.771,96320,
29/11/2007,26.939,27.11,26.771,27.11,55430,
30/11/2007,26.771,27.115,26.771,27.115,22870,
03/12/2007,26.771,26.771,26.428,26.771,33930,
04/12/2007,26.771,27.115,26.771,27.115,35750,
05/12/2007,26.082,26.082,25.91,25.91,69110,
06/12/2007,25.228,25.91,25.228,25.738,52190,
07/12/2007,25.057,25.571,24.71,25.057,55320,
10/12/2007,24.195,25.738,24.195,25.738,20550,
11/12/2007,22.996,24.023,22.996,24.023,57340,
12/12/2007,22.996,24.023,22.309,22.48,40290,
13/12/2007,22.309,22.992,22.309,22.992,25530,
14/12/2007,21.792,22.136,21.792,21.792,25450,
17/12/2007,20.765,21.964,20.765,21.62,29630,
18/12/2007,20.248,20.248,19.732,19.905,50720,
19/12/2007,21.105,21.105,21.105,21.105,27380,
20/12/2007,21.276,22.136,21.276,22.136,100380,
21/12/2007,22.309,22.309,21.62,21.964,48740,
24/12/2007,23.335,23.335,23.335,23.335,11030,
25/12/2007,24.368,24.368,24.368,24.368,10410,
26/12/2007,24.368,25.057,23.335,23.335,185620,
27/12/2007,23.507,24.368,23.507,24.023,39440,
28/12/2007,23.507,23.679,23.335,23.679,20050,
02/01/2008,22.653,23.341,22.653,23.341,30550,
03/01/2008,21.964,22.136,21.792,21.964,28170,
04/01/2008,22.309,22.309,21.964,22.309,28580,
07/01/2008,21.964,22.48,21.276,22.48,32660,
08/01/2008,21.276,22.647,21.276,22.309,41960,
09/01/2008,21.276,21.792,21.105,21.448,26280,
10/01/2008,20.765,21.448,20.593,21.448,60200,
11/01/2008,20.932,21.448,20.932,21.276,29530,
14/01/2008,20.077,20.932,20.077,20.932,30570,
15/01/2008,19.222,19.56,19.222,19.394,57450,
16/01/2008,20.077,20.077,20.077,20.077,27360,
17/01/2008,20.248,20.936,20.077,20.936,103660,
18/01/2008,20.932,20.932,20.077,20.077,45350,
21/01/2008,20.593,20.936,20.248,20.936,26400,
22/01/2008,20.077,20.248,19.905,19.905,53820,
23/01/2008,19.388,19.732,19.217,19.56,48690,
24/01/2008,18.701,19.905,18.701,19.905,44380,
25/01/2008,19.05,19.05,18.362,18.534,47980,
28/01/2008,18.872,19.045,18.701,18.872,37070,
29/01/2008,19.732,19.732,18.872,18.872,52680,
30/01/2008,20.593,20.593,20.248,20.593,111740,
31/01/2008,19.905,19.905,19.56,19.56,59490,
01/02/2008,20.248,20.421,19.905,20.421,69510,
12/02/2008,19.388,19.905,19.388,19.56,70590,
13/02/2008,18.701,18.872,18.701,18.701,63960,
14/02/2008,19.05,19.566,18.878,18.878,37420,
15/02/2008,18.534,19.217,18.534,19.045,39520,
18/02/2008,17.674,17.845,17.674,17.674,102230,
19/02/2008,17.33,17.674,16.985,17.158,43830,
20/02/2008,16.475,17.507,16.475,16.475,54950,
21/02/2008,15.648,15.648,15.648,15.648,21710,
22/02/2008,14.89,14.89,14.89,14.89,88530,
25/02/2008,15.098,15.614,15.098,15.098,107900,
26/02/2008,14.344,14.759,14.344,14.759,55640,
27/02/2008,13.661,14.759,13.661,13.661,61420,
28/02/2008,13.008,13.384,13.008,13.384,50860,
29/02/2008,12.391,12.562,12.391,12.391,59860,
03/03/2008,11.767,11.767,11.767,11.767,18510,
04/03/2008,11.187,11.775,11.187,11.775,510,
05/03/2008,10.64,10.64,10.64,10.64,6570,
06/03/2008,11.152,11.152,11.152,11.152,66280,
07/03/2008,11.704,11.704,11.704,11.704,3760,
10/03/2008,11.115,12.286,11.115,12.286,78110,
11/03/2008,10.57,10.57,10.57,10.57,48500,
12/03/2008,10.058,10.914,10.058,10.058,86020,
13/03/2008,10.058,10.434,9.953,10.298,40020,
14/03/2008,10.125,10.125,9.68,9.68,24980,
17/03/2008,9.644,9.816,9.644,9.644,54600,
18/03/2008,9.164,9.198,9.164,9.164,64780,
19/03/2008,8.718,9.263,8.718,8.991,84060,
20/03/2008,8.302,8.611,8.302,8.576,43950,
21/03/2008,7.893,8.302,7.893,8.302,46540,
24/03/2008,7.513,7.513,7.513,7.513,3650,
25/03/2008,7.176,7.176,7.176,7.176,2110,
26/03/2008,6.83,7.176,6.83,6.83,108740,
27/03/2008,6.865,6.865,6.865,6.865,21690,
28/03/2008,6.932,6.932,6.932,6.932,3510,
31/03/2008,7.002,7.002,7.002,7.002,8760,
01/04/2008,7.073,7.073,7.073,7.073,7310,
02/04/2008,7.139,7.139,7.139,7.139,4000,
03/04/2008,7.204,7.204,7.204,7.204,1000,
04/04/2008,7.276,7.276,7.276,7.276,610,
07/04/2008,7.412,7.412,7.412,7.412,8010,
08/04/2008,7.276,7.555,7.276,7.555,111060,
09/04/2008,7.139,7.341,7.139,7.341,42780,
10/04/2008,7.002,7.002,7.002,7.002,11200,
11/04/2008,6.865,6.865,6.865,6.865,1790,
16/04/2008,6.724,6.724,6.724,6.724,3940,
17/04/2008,6.83,6.83,6.622,6.622,31760,
18/04/2008,6.724,6.724,6.724,6.724,20360,
21/04/2008,6.622,6.622,6.622,6.622,1360,
22/04/2008,6.518,6.518,6.518,6.518,1300,
23/04/2008,6.42,6.42,6.42,6.42,730,
24/04/2008,6.314,6.314,6.314,6.314,1260,
25/04/2008,6.213,6.213,6.213,6.213,28760,
28/04/2008,6.108,6.279,6.108,6.108,69380,
29/04/2008,6.007,6.213,6.007,6.176,52420,
05/05/2008,5.9,5.935,5.9,5.9,10520,
06/05/2008,5.798,5.798,5.798,5.798,370,
07/05/2008,5.698,5.698,5.698,5.698,220,
08/05/2008,5.596,5.661,5.596,5.661,410,
09/05/2008,5.496,5.496,5.496,5.496,3950,
12/05/2008,5.39,5.39,5.39,5.39,1040,
13/05/2008,5.287,5.287,5.287,5.287,1740,
14/05/2008,5.181,5.287,5.181,5.287,1530,
15/05/2008,5.08,5.08,5.08,5.08,3230,
16/05/2008,5.009,5.009,5.009,5.009,16720,
19/05/2008,4.942,4.942,4.942,4.942,750,
20/05/2008,4.873,4.873,4.873,4.873,1970,
21/05/2008,4.807,4.807,4.807,4.807,500,
22/05/2008,4.736,4.736,4.736,4.736,880,
23/05/2008,4.67,4.736,4.67,4.736,1120,
26/05/2008,4.599,4.599,4.599,4.599,1450,
27/05/2008,3.419,3.419,3.419,3.419,0,
28/05/2008,3.419,3.419,3.419,3.419,0,
29/05/2008,3.419,3.419,3.419,3.419,0,
30/05/2008,4.529,4.529,4.529,4.529,38070,
02/06/2008,4.463,4.463,4.463,4.463,32480,
03/06/2008,4.391,4.391,4.391,4.391,42540,
04/06/2008,4.316,4.316,4.316,4.316,1580,DIVIDEND
05/06/2008,4.234,4.234,4.234,4.234,7120,
06/06/2008,4.16,4.234,4.16,4.234,8330,
09/06/2008,4.083,4.083,4.083,4.083,8530,
10/06/2008,4.002,4.002,4.002,4.002,6770,
11/06/2008,4.083,4.083,3.926,3.926,53010,
12/06/2008,4.16,4.16,4.119,4.16,44390,
13/06/2008,4.234,4.234,4.234,4.234,640,
16/06/2008,4.316,4.316,4.316,4.316,10000,
