transDate,close,high,low,open,volume,event
30/06/2009,25.732,25.732,25.732,25.732,294070,
01/07/2009,25.941,27.015,25.516,27.015,6248390,
02/07/2009,24.874,25.732,24.659,25.516,1515670,
03/07/2009,24.016,24.442,24.016,24.232,899720,
06/07/2009,25.084,25.084,24.016,24.016,1571740,
07/07/2009,24.232,24.874,24.232,24.659,1115420,
08/07/2009,23.8,24.016,23.375,23.584,763030,
09/07/2009,23.158,24.016,22.942,23.375,982430,
10/07/2009,22.084,22.942,22.084,22.726,1973450,
13/07/2009,21.011,22.084,21.011,21.443,812260,
14/07/2009,20.499,21.102,20.369,21.102,847840,
15/07/2009,21.011,21.357,20.584,20.584,807250,
16/07/2009,21.357,21.443,21.186,21.443,638990,
17/07/2009,21.056,21.311,20.923,21.227,311000,
20/07/2009,20.067,20.284,20.027,20.199,869220,
21/07/2009,20.112,20.454,20.067,20.243,483900,
22/07/2009,20.369,20.414,20.243,20.369,411780,
23/07/2009,21.357,21.357,20.152,20.152,929090,
24/07/2009,22.3,22.3,22.3,22.3,624760,
27/07/2009,23.375,23.375,22.516,23.375,1535460,
28/07/2009,22.726,24.016,22.516,23.375,1192800,
29/07/2009,22.516,23.158,22.084,22.942,924570,
30/07/2009,22.084,22.516,21.658,22.3,606660,
31/07/2009,23.158,23.158,22.726,22.942,1125450,
03/08/2009,24.232,24.232,23.584,24.232,2707260,
04/08/2009,25.084,25.299,24.442,25.299,1869220,
05/08/2009,24.874,25.299,24.442,24.874,1654270,
06/08/2009,24.442,25.299,24.232,24.874,1656340,
07/08/2009,24.232,24.659,24.232,24.232,1017420,
10/08/2009,24.659,24.874,24.232,24.442,689300,
11/08/2009,24.442,24.874,24.232,24.442,1207840,
12/08/2009,24.232,24.659,24.232,24.659,996150,
13/08/2009,24.442,24.659,24.232,24.659,896790,
14/08/2009,24.442,24.659,24.232,24.232,709790,
17/08/2009,24.016,24.442,24.016,24.232,622790,
18/08/2009,23.8,24.016,23.584,23.584,927850,
19/08/2009,23.8,24.232,23.584,24.232,719390,
20/08/2009,23.8,24.016,23.584,24.016,578130,
21/08/2009,24.016,24.874,24.016,24.016,1444220,
24/08/2009,24.232,24.442,24.016,24.442,634370,
25/08/2009,23.8,24.232,23.8,24.232,577480,
26/08/2009,24.016,24.232,23.8,24.016,516120,
27/08/2009,24.016,24.016,23.8,24.016,538870,
28/08/2009,24.232,24.232,24.016,24.232,639140,
31/08/2009,24.659,24.659,24.232,24.659,874340,
01/09/2009,24.442,24.659,24.232,24.232,847070,
03/09/2009,24.016,24.232,23.375,24.016,1078760,
04/09/2009,23.375,24.016,23.375,24.016,1015060,
07/09/2009,22.726,23.375,22.3,22.726,954060,
08/09/2009,22.942,23.158,22.726,23.158,687300,
09/09/2009,22.942,23.158,22.726,22.942,682660,
10/09/2009,22.726,22.942,22.726,22.726,412250,
11/09/2009,22.726,22.942,22.516,22.726,416470,
14/09/2009,22.726,22.942,22.516,22.726,588470,
15/09/2009,22.516,22.942,22.516,22.942,727020,
16/09/2009,23.584,23.584,23.584,23.584,879780,
17/09/2009,24.016,24.659,23.158,24.659,2195540,
18/09/2009,24.232,24.232,23.158,23.584,850000,
21/09/2009,23.584,24.232,23.584,24.232,761980,
22/09/2009,23.158,23.584,23.158,23.158,658880,
23/09/2009,23.375,24.016,23.375,23.584,757950,
24/09/2009,22.942,23.375,22.942,23.158,541670,
25/09/2009,23.8,24.016,22.726,22.942,933140,
28/09/2009,23.375,24.016,23.375,24.016,561480,
29/09/2009,23.158,23.584,22.942,23.584,750310,
30/09/2009,22.942,23.375,22.726,23.158,712000,
01/10/2009,22.516,22.942,22.516,22.942,875180,
02/10/2009,21.869,22.084,21.443,22.084,1416100,
05/10/2009,21.869,22.084,21.443,22.084,606370,
06/10/2009,21.658,22.084,21.658,22.084,460990,
07/10/2009,21.869,22.084,21.658,21.869,596580,
08/10/2009,21.869,22.084,21.658,22.084,448600,
09/10/2009,22.084,22.3,21.869,22.084,794860,
12/10/2009,22.726,22.726,22.084,22.3,759120,
13/10/2009,22.3,22.726,21.869,22.726,513610,
14/10/2009,23.375,23.375,22.084,22.084,1359110,
15/10/2009,24.442,24.442,24.016,24.442,3378300,
16/10/2009,24.232,25.299,24.232,24.659,2239820,
19/10/2009,23.584,24.232,23.375,23.584,1015080,
20/10/2009,23.375,24.016,23.375,23.8,909450,
21/10/2009,23.158,23.375,23.158,23.375,1038410,
22/10/2009,23.584,23.584,23.158,23.375,865390,
23/10/2009,24.232,24.659,23.584,23.8,3946240,
26/10/2009,23.584,24.659,23.375,24.442,1130810,
27/10/2009,22.726,23.375,22.516,22.726,1594080,
28/10/2009,22.726,23.158,22.516,23.158,623620,
29/10/2009,21.869,22.516,21.658,22.084,3489050,
