transDate,close,high,low,open,volume,event
28/01/2011,31.269,33.898,30.099,33.898,74870,
08/02/2011,31.56,32.144,30.684,30.684,16600,
09/02/2011,31.56,31.56,30.976,30.976,630,
10/02/2011,32.729,32.729,30.976,30.976,8950,
11/02/2011,31.269,31.269,31.269,31.269,1500,
14/02/2011,31.269,31.269,31.269,31.269,1000,
15/02/2011,30.099,30.099,29.807,29.807,1100,
16/02/2011,30.099,31.56,28.93,31.56,3910,
17/02/2011,30.099,30.099,30.099,30.099,3000,
18/02/2011,29.515,31.56,29.515,31.56,3100,
21/02/2011,28.229,29.223,28.053,28.053,2300,
22/02/2011,27.001,27.177,26.884,26.884,16650,
23/02/2011,27.177,27.177,26.301,26.301,700,
24/02/2011,27.06,27.06,26.884,26.884,1150,
25/02/2011,27.353,27.353,27.353,27.353,530,
28/02/2011,28.346,28.696,27.82,28.64,2400,
01/03/2011,27.41,27.41,27.41,27.41,100,
02/03/2011,26.709,26.884,26.125,26.125,2690,
03/03/2011,25.774,25.774,25.774,25.774,300,
04/03/2011,25.774,25.774,25.774,25.774,100,
07/03/2011,25.95,25.95,25.95,25.95,560,
08/03/2011,26.008,27.236,26.008,26.301,2140,
09/03/2011,25.891,27.293,25.715,27.293,5160,
10/03/2011,27.177,27.177,25.424,27.177,2190,
11/03/2011,27.177,27.177,27.177,27.177,730,
14/03/2011,26.067,28.053,26.008,26.884,1430,
15/03/2011,25.715,27.353,25.715,27.353,3050,
16/03/2011,25.306,26.301,25.249,25.249,320,
17/03/2011,25.014,26.301,24.957,24.957,50,
18/03/2011,25.715,25.715,25.014,25.132,1230,
21/03/2011,27.001,27.001,25.306,25.306,430,
22/03/2011,28.053,28.053,25.833,25.833,220,
23/03/2011,28.053,29.442,28.053,29.442,0,
24/03/2011,27.761,30.684,27.761,29.223,1880,
25/03/2011,26.768,29.104,26.651,26.651,2260,
28/03/2011,25.715,25.715,25.715,25.715,20,
29/03/2011,25.715,27.001,25.715,27.001,1440,
30/03/2011,27.001,27.001,25.424,25.715,1030,
31/03/2011,28.346,28.346,25.657,28.346,2150,
01/04/2011,27.001,29.515,27.001,29.515,3220,
04/04/2011,27.995,28.053,25.774,25.774,2070,
05/04/2011,26.768,29.165,26.768,28.053,11110,
06/04/2011,26.301,28.053,26.301,28.053,14870,
07/04/2011,27.586,27.586,25.715,25.715,4210,
08/04/2011,26.242,28.346,26.242,28.346,3260,
13/04/2011,27.177,27.177,27.177,27.177,10,
14/04/2011,28.229,28.462,28.229,28.346,6300,
15/04/2011,27.761,28.346,27.177,27.177,15010,
18/04/2011,28.64,28.64,27.761,27.761,280,
19/04/2011,27.761,28.053,27.761,27.761,1020,
20/04/2011,27.586,27.586,27.586,27.586,510,
21/04/2011,26.943,28.58,26.301,26.301,84030,
22/04/2011,27.527,27.527,27.527,27.527,1500,
25/04/2011,27.469,28.58,27.469,28.58,4130,
26/04/2011,27.469,27.469,27.469,27.469,0,
27/04/2011,27.946,28.304,27.946,28.304,13250,DIVIDEND
28/04/2011,28.363,29.317,28.363,29.077,10740,
29/04/2011,28.722,29.733,28.601,28.601,22390,
04/05/2011,28.722,30.09,28.722,29.733,75200,
05/05/2011,28.482,29.794,28.304,28.304,1140,
06/05/2011,28.66,29.794,28.065,28.065,16570,
09/05/2011,29.794,29.794,29.495,29.495,10040,
10/05/2011,31.283,31.283,30.09,30.09,80290,
11/05/2011,32.772,32.772,32.772,32.772,242730,
12/05/2011,34.262,34.262,34.262,34.262,27800,
13/05/2011,35.752,35.752,35.752,35.752,130100,
16/05/2011,35.752,37.241,35.752,37.241,77100,
17/05/2011,37.539,37.539,35.752,36.049,135850,
18/05/2011,39.326,39.326,36.348,38.135,104440,
19/05/2011,41.115,41.115,39.029,39.029,139480,
20/05/2011,42.902,42.902,42.902,42.902,203350,
23/05/2011,41.71,44.988,41.115,44.689,164830,
24/05/2011,43.795,43.795,41.71,41.71,91130,
25/05/2011,42.008,44.689,41.71,44.689,52420,
26/05/2011,43.498,44.093,41.115,41.413,176460,
27/05/2011,42.604,42.902,41.413,41.413,30620,
30/05/2011,41.71,43.2,40.518,40.518,23860,
31/05/2011,39.625,41.413,39.625,39.922,28920,
01/06/2011,40.817,40.817,38.135,38.73,34970,
02/06/2011,40.221,41.115,40.221,40.817,420,
03/06/2011,39.326,40.518,39.326,40.221,26200,
06/06/2011,37.539,38.73,37.539,37.539,26350,
07/06/2011,37.539,37.838,37.539,37.539,7110,
08/06/2011,37.539,38.135,36.944,37.539,15930,
09/06/2011,39.326,39.326,38.73,38.73,21240,
10/06/2011,41.115,41.115,40.518,40.518,38560,
13/06/2011,41.115,42.305,41.115,42.305,9260,
14/06/2011,41.115,42.008,41.115,41.115,13520,
15/06/2011,41.115,41.413,41.115,41.413,3830,
16/06/2011,40.817,41.115,40.817,41.115,9610,
17/06/2011,39.029,39.625,39.029,39.625,12060,
20/06/2011,38.434,38.73,38.434,38.73,8530,
21/06/2011,40.221,40.221,39.029,39.029,1910,
22/06/2011,38.73,40.221,38.73,40.221,4190,
