transDate,close,high,low,open,volume,event
10/05/2010,28.71,30.22,27.2,30.22,765000,
11/05/2010,30.3,30.3,29.85,30.22,246200,
12/05/2010,28.33,32.04,28.11,32.04,367500,
13/05/2010,26.82,29.09,26.45,28.41,169000,
14/05/2010,25.77,27.5,25.54,25.69,181500,
17/05/2010,24.48,26.37,24.48,26.29,172600,
18/05/2010,23.35,23.5,23.35,23.5,52800,
19/05/2010,21.76,22.67,21.76,21.76,382900,
20/05/2010,22.67,23.05,20.4,21.91,253100,
21/05/2010,21.01,21.91,20.4,21.31,107100,
24/05/2010,22.29,22.29,21.16,21.16,236500,
25/05/2010,21.91,22.67,21.91,22.37,186600,
26/05/2010,22.29,22.52,21.61,22.29,162900,
27/05/2010,22.14,22.37,21.53,21.53,113600,
28/05/2010,23.65,23.65,22.44,22.59,409300,
31/05/2010,24.93,25.09,23.57,23.57,565600,
01/06/2010,24.18,25.61,23.73,25.61,89000,
02/06/2010,23.27,24.18,22.89,24.18,126700,
03/06/2010,23.27,24.18,22.89,24.18,211400,
04/06/2010,22.29,24.03,22.14,23.5,238000,
07/06/2010,21.23,21.69,21.08,21.08,216900,
08/06/2010,22.29,22.67,21.16,21.16,87200,
09/06/2010,21.84,22.52,21.84,22.44,197800,
10/06/2010,21.61,22.52,21.61,22.52,88000,
11/06/2010,21.69,22.29,21.53,21.99,190300,
14/06/2010,22.21,22.21,21.76,22.21,96800,
15/06/2010,22.37,22.82,22.21,22.29,151400,
16/06/2010,24.1,24.1,22.67,22.67,703500,
17/06/2010,25.31,25.31,24.56,25.31,1075300,
18/06/2010,25.69,26.9,25.39,26.75,545900,
21/06/2010,25.54,26.6,24.56,26.6,198300,
22/06/2010,24.1,25.31,24.1,24.71,433500,
23/06/2010,23.8,24.18,22.89,23.8,221700,
24/06/2010,25.31,25.31,23.88,24.25,644900,
25/06/2010,24.18,25.24,24.1,24.1,246400,
28/06/2010,23.88,24.63,23.8,24.63,146200,
29/06/2010,23.88,24.18,23.8,23.8,121400,
30/06/2010,22.89,23.42,22.52,23.42,232300,
01/07/2010,22.74,22.89,21.91,22.74,152000,
02/07/2010,23.12,23.42,22.74,23.42,167300,
05/07/2010,23.05,23.42,22.97,23.42,65700,
06/07/2010,22.29,23.42,22.21,23.42,159900,
07/07/2010,22.06,22.89,21.91,22.67,109600,
08/07/2010,23.05,23.35,22.29,22.67,241700,
09/07/2010,24.25,24.25,23.42,24.25,594100,
12/07/2010,24.48,25.77,24.18,25.77,174900,
13/07/2010,24.78,25.31,24.56,24.93,212300,
