transDate,close,high,low,open,volume,event
27/11/2007,6.667,7.753,6.203,7.753,77400,
28/11/2007,7.125,7.125,6.591,6.821,40200,
29/11/2007,7.653,7.653,7.653,7.653,11900,
30/11/2007,8.41,8.41,7.83,8.41,73600,
03/12/2007,8.297,8.8,7.753,8.41,53000,
04/12/2007,8.373,8.526,8.142,8.142,27800,
05/12/2007,8.061,8.526,8.061,8.526,24600,
06/12/2007,7.984,8.142,7.753,8.142,31000,
07/12/2007,8.297,8.365,7.753,7.753,44000,
10/12/2007,8.242,8.297,8.061,8.219,20600,
11/12/2007,8.219,8.257,8.022,8.211,26600,
12/12/2007,8.138,8.234,8.061,8.069,24300,
13/12/2007,7.968,8.061,7.968,8.061,14600,
14/12/2007,8.121,8.138,7.984,7.984,20100,
17/12/2007,8.138,8.373,8.077,8.149,22700,
18/12/2007,8.273,8.273,8.138,8.138,10800,
19/12/2007,8.52,8.682,8.257,8.257,17800,
20/12/2007,8.219,8.234,8.138,8.138,4100,
21/12/2007,8.45,8.45,8.007,8.007,13900,
24/12/2007,8.45,8.603,8.297,8.438,19400,
25/12/2007,8.357,8.45,8.297,8.302,7600,
26/12/2007,8.365,8.38,8.18,8.234,10100,
27/12/2007,8.373,8.373,8.297,8.297,1400,
28/12/2007,8.257,8.373,8.257,8.257,4000,
02/01/2008,7.984,8.219,7.984,8.033,20900,
03/01/2008,8.022,8.022,7.984,7.984,2600,
04/01/2008,7.907,7.984,7.907,7.907,7100,
07/01/2008,7.51,7.753,7.333,7.503,3100,
08/01/2008,7.365,7.753,7.365,7.503,6300,
09/01/2008,7.133,7.249,6.975,7.121,11000,
10/01/2008,6.783,6.986,6.667,6.863,10800,
11/01/2008,6.859,7.271,6.798,7.145,2100,
14/01/2008,6.278,6.745,6.209,6.626,13600,
15/01/2008,5.893,6.109,5.851,6.0,36200,
16/01/2008,6.448,6.448,5.582,6.243,7700,
17/01/2008,6.317,6.899,6.203,6.779,13800,
18/01/2008,6.821,6.821,6.348,6.348,15800,
21/01/2008,6.355,6.614,6.317,6.498,29500,
22/01/2008,6.24,6.278,6.048,6.048,3200,
23/01/2008,6.203,6.203,6.009,6.14,5600,
24/01/2008,6.309,6.514,6.162,6.394,25100,
25/01/2008,6.355,6.448,6.048,6.278,4800,
28/01/2008,6.203,6.355,6.132,6.271,2200,
29/01/2008,6.707,6.707,6.271,6.271,14400,
30/01/2008,7.057,7.057,6.968,6.979,17200,
31/01/2008,7.171,7.171,6.667,7.057,11100,
01/02/2008,7.365,7.371,7.065,7.071,9700,
12/02/2008,7.071,7.365,6.975,7.365,11200,
13/02/2008,7.28,7.28,7.013,7.133,16200,
14/02/2008,7.21,7.402,7.057,7.294,15400,
15/02/2008,7.094,7.171,7.057,7.171,5800,
18/02/2008,6.975,7.133,6.745,7.133,2100,
19/02/2008,6.899,6.975,6.745,6.968,5500,
20/02/2008,6.371,6.652,6.371,6.652,3800,
21/02/2008,5.863,6.125,5.863,6.048,15200,
22/02/2008,5.697,6.125,5.347,5.347,5100,
25/02/2008,6.14,6.14,6.125,6.132,13900,
