transDate,close,high,low,open,volume,event
15/07/2010,5.609,5.609,5.609,5.609,3000,
16/07/2010,5.609,5.609,5.609,5.609,0,
19/07/2010,5.649,5.816,5.193,5.483,10900,
20/07/2010,6.19,6.19,5.816,5.816,11900,
21/07/2010,6.148,6.23,5.441,6.23,4000,
22/07/2010,5.774,5.774,5.774,5.774,0,
23/07/2010,5.816,5.816,5.816,5.816,600,
26/07/2010,5.816,5.982,5.609,5.982,4200,
27/07/2010,5.816,5.899,5.774,5.816,21500,
28/07/2010,5.899,5.899,5.816,5.816,31900,
29/07/2010,5.816,5.816,5.816,5.816,1700,
30/07/2010,5.816,5.816,5.649,5.816,25000,
02/08/2010,5.899,5.941,5.733,5.816,30200,
03/08/2010,5.816,5.816,5.816,5.816,2670,
04/08/2010,5.941,5.941,5.609,5.609,18140,
05/08/2010,5.941,5.941,5.857,5.857,6080,
06/08/2010,5.941,5.941,5.816,5.816,9920,
09/08/2010,5.816,5.816,5.401,5.816,14500,
10/08/2010,5.774,5.774,5.774,5.774,70,
11/08/2010,5.857,5.857,5.733,5.733,32200,
12/08/2010,5.816,5.816,5.816,5.816,270,
13/08/2010,5.941,5.941,5.317,5.774,42760,
16/08/2010,5.649,5.899,5.649,5.816,1050,
17/08/2010,5.816,5.816,5.816,5.816,130,
18/08/2010,5.691,5.691,5.691,5.691,600,
19/08/2010,5.691,5.691,5.691,5.691,0,
20/08/2010,5.691,5.691,5.691,5.691,0,
23/08/2010,5.691,5.691,5.691,5.691,0,
24/08/2010,5.691,5.691,5.691,5.691,0,
25/08/2010,5.691,5.691,5.691,5.691,0,
26/08/2010,5.691,5.691,5.691,5.691,0,
27/08/2010,5.816,5.816,5.774,5.774,14500,
30/08/2010,5.816,5.816,5.733,5.733,17700,
31/08/2010,5.816,5.816,5.816,5.816,180,
01/09/2010,5.816,5.816,5.816,5.816,60,
06/09/2010,5.816,5.816,5.774,5.774,27960,
07/09/2010,5.816,5.816,5.816,5.816,210,
08/09/2010,5.816,5.816,5.816,5.816,0,
09/09/2010,5.275,5.275,5.275,5.275,1500,
10/09/2010,5.733,5.733,5.691,5.691,260,
13/09/2010,5.733,5.733,5.733,5.733,0,
14/09/2010,5.733,5.733,5.733,5.733,0,
15/09/2010,5.234,5.234,5.234,5.234,400,
16/09/2010,5.151,5.151,5.151,5.151,400,
17/09/2010,5.151,5.151,5.151,5.151,0,
20/09/2010,5.151,5.151,5.151,5.151,0,
21/09/2010,5.151,5.151,5.151,5.151,0,
22/09/2010,5.151,5.151,5.151,5.151,0,
23/09/2010,5.609,5.609,4.653,4.653,200,
24/09/2010,5.151,5.151,5.151,5.151,0,
27/09/2010,5.151,5.151,5.151,5.151,0,
28/09/2010,5.151,5.151,5.151,5.151,0,
29/09/2010,5.151,5.151,5.151,5.151,4200,
30/09/2010,5.151,5.151,5.151,5.151,0,
01/10/2010,5.151,5.151,5.151,5.151,0,
04/10/2010,5.151,5.151,5.151,5.151,0,
05/10/2010,4.985,4.985,4.985,4.985,700,
06/10/2010,4.777,4.777,4.777,4.777,600,
07/10/2010,4.777,4.777,4.777,4.777,0,
08/10/2010,4.777,4.777,4.777,4.777,0,
11/10/2010,4.777,4.777,4.777,4.777,15000,
12/10/2010,4.777,4.777,4.777,4.777,0,
13/10/2010,4.777,4.777,4.777,4.777,5000,
14/10/2010,4.777,4.777,4.777,4.777,0,
15/10/2010,4.32,4.32,4.32,4.32,100,
18/10/2010,4.32,4.32,4.32,4.32,0,
19/10/2010,4.32,4.32,4.32,4.32,0,
20/10/2010,3.947,3.947,3.947,3.947,1500,
21/10/2010,3.947,3.947,3.947,3.947,0,
22/10/2010,3.947,3.947,3.947,3.947,0,
25/10/2010,3.947,3.947,3.947,3.947,0,
26/10/2010,3.947,3.947,3.947,3.947,0,
27/10/2010,3.947,3.947,3.947,3.947,0,
28/10/2010,3.947,3.947,3.947,3.947,0,
29/10/2010,3.947,3.947,3.947,3.947,0,
01/11/2010,3.947,3.947,3.947,3.947,0,
02/11/2010,3.947,3.947,3.947,3.947,0,
03/11/2010,3.947,3.947,3.947,3.947,0,
04/11/2010,3.947,3.947,3.947,3.947,0,
05/11/2010,3.947,3.947,3.947,3.947,0,
08/11/2010,3.947,3.947,3.947,3.947,0,
09/11/2010,3.947,3.947,3.947,3.947,0,
10/11/2010,3.947,3.947,3.947,3.947,0,
11/11/2010,3.947,3.947,3.947,3.947,0,
12/11/2010,3.947,3.947,3.947,3.947,0,
15/11/2010,3.947,3.947,3.947,3.947,0,
16/11/2010,3.947,3.947,3.947,3.947,0,
17/11/2010,4.32,4.32,4.32,4.32,2600,
18/11/2010,3.904,3.904,3.904,3.904,500,
22/11/2010,3.904,3.904,3.904,3.904,0,
23/11/2010,3.904,3.904,3.904,3.904,0,
24/11/2010,3.904,3.904,3.904,3.904,0,
25/11/2010,3.904,3.904,3.904,3.904,0,
26/11/2010,4.279,4.279,4.279,4.279,100,
29/11/2010,4.694,4.694,4.694,4.694,100,
30/11/2010,4.237,4.237,4.237,4.237,200,
01/12/2010,4.569,4.569,4.154,4.569,10500,
02/12/2010,4.985,4.985,4.985,4.985,5000,
03/12/2010,4.569,4.569,4.569,4.569,500,
06/12/2010,4.569,4.569,4.569,4.569,0,
07/12/2010,4.569,4.569,4.569,4.569,0,
08/12/2010,4.569,4.569,4.569,4.569,0,
09/12/2010,4.902,4.902,4.777,4.777,5000,
10/12/2010,4.819,4.819,4.819,4.819,0,
13/12/2010,4.404,4.404,4.404,4.404,100,
14/12/2010,4.404,4.404,4.404,4.404,0,
15/12/2010,4.404,4.404,4.404,4.404,100,
16/12/2010,4.361,4.361,4.361,4.361,4100,
17/12/2010,4.361,4.569,4.361,4.569,5000,
20/12/2010,4.528,4.528,4.528,4.528,0,
21/12/2010,4.528,4.528,4.528,4.528,0,
22/12/2010,4.528,4.528,4.528,4.528,0,
23/12/2010,4.528,4.528,4.528,4.528,0,
24/12/2010,4.528,4.528,4.528,4.528,0,
27/12/2010,4.528,4.528,4.528,4.528,0,
28/12/2010,4.528,4.528,4.528,4.528,0,
29/12/2010,4.528,4.528,4.528,4.528,0,
30/12/2010,4.528,4.528,4.528,4.528,0,
31/12/2010,4.528,4.528,4.528,4.528,0,
04/01/2011,4.528,4.528,4.528,4.528,0,
05/01/2011,4.528,4.528,4.528,4.528,0,
06/01/2011,4.361,4.361,4.361,4.361,1000,
07/01/2011,4.361,4.361,4.361,4.361,0,
10/01/2011,4.569,4.569,4.569,4.569,2000,
11/01/2011,4.361,4.361,4.361,4.361,5000,
12/01/2011,4.361,4.361,4.361,4.361,0,
13/01/2011,4.154,4.154,4.154,4.154,500,
14/01/2011,4.154,4.154,4.154,4.154,0,
17/01/2011,4.154,4.154,4.154,4.154,0,
18/01/2011,4.154,4.154,4.154,4.154,0,
19/01/2011,4.154,4.154,4.154,4.154,0,
20/01/2011,4.154,4.154,4.154,4.154,0,
21/01/2011,4.154,4.154,4.154,4.154,0,
24/01/2011,4.154,4.154,4.154,4.154,0,
25/01/2011,4.154,4.154,4.154,4.154,0,
26/01/2011,4.154,4.154,4.154,4.154,0,
27/01/2011,4.154,4.154,4.154,4.154,0,
28/01/2011,4.154,4.154,4.154,4.154,0,
08/02/2011,4.154,4.154,4.154,4.154,0,
09/02/2011,4.154,4.154,4.154,4.154,0,
10/02/2011,4.154,4.154,4.154,4.154,0,
11/02/2011,4.154,4.154,4.154,4.154,0,
14/02/2011,4.154,4.154,4.154,4.154,0,
15/02/2011,4.154,4.154,4.154,4.154,0,
16/02/2011,4.154,4.154,4.154,4.154,0,
17/02/2011,3.739,3.739,3.739,3.739,100,
18/02/2011,3.739,3.739,3.739,3.739,0,
21/02/2011,3.739,3.739,3.739,3.739,0,
22/02/2011,3.739,3.739,3.739,3.739,0,
23/02/2011,3.739,3.739,3.739,3.739,0,
24/02/2011,3.739,3.739,3.739,3.739,2600,
25/02/2011,3.739,3.739,3.739,3.739,0,
28/02/2011,3.739,3.739,3.739,3.739,0,
01/03/2011,3.739,3.739,3.739,3.739,200,
02/03/2011,3.739,3.739,3.739,3.739,0,
03/03/2011,3.739,3.739,3.739,3.739,0,
04/03/2011,3.739,3.739,3.739,3.739,0,
07/03/2011,3.739,3.739,3.739,3.739,0,
08/03/2011,3.739,3.739,3.739,3.739,0,
09/03/2011,3.739,3.739,3.739,3.739,0,
10/03/2011,3.739,3.739,3.739,3.739,0,
11/03/2011,3.739,3.739,3.739,3.739,0,
14/03/2011,3.739,3.739,3.739,3.739,0,
15/03/2011,3.739,3.739,3.739,3.739,0,
16/03/2011,3.739,3.739,3.739,3.739,0,
17/03/2011,4.112,4.112,4.112,4.112,300,
18/03/2011,4.154,4.154,4.154,4.154,200,
21/03/2011,4.154,4.154,4.154,4.154,0,
22/03/2011,4.569,4.569,4.569,4.569,100,
23/03/2011,4.569,4.569,4.569,4.569,0,
24/03/2011,4.569,4.569,4.569,4.569,0,
25/03/2011,4.569,4.569,4.569,4.569,0,
28/03/2011,4.569,4.569,4.569,4.569,0,
29/03/2011,4.569,4.569,4.569,4.569,1000,
30/03/2011,4.569,4.569,4.569,4.569,0,
31/03/2011,4.569,4.569,4.569,4.569,0,
01/04/2011,4.569,4.569,4.569,4.569,0,
04/04/2011,4.569,4.569,4.569,4.569,0,
05/04/2011,4.569,4.569,4.569,4.569,0,
06/04/2011,4.361,4.361,4.361,4.361,300,
07/04/2011,4.777,4.777,4.777,4.777,7900,
08/04/2011,4.777,4.777,4.777,4.777,0,
13/04/2011,4.777,4.777,4.777,4.777,0,
14/04/2011,4.777,4.777,4.777,4.777,0,
15/04/2011,4.777,4.777,4.777,4.777,0,
18/04/2011,4.361,4.361,4.361,4.361,5000,
19/04/2011,4.361,4.361,4.361,4.361,0,
20/04/2011,4.361,4.361,4.361,4.361,0,
21/04/2011,4.361,4.361,4.361,4.361,10000,
22/04/2011,4.361,4.361,4.361,4.361,0,
