transDate,close,high,low,open,volume,event
01/03/2011,0.0,0.0,0.0,0.0,0,
02/03/2011,5.116,5.116,5.116,5.116,100,
03/03/2011,5.116,5.116,5.116,5.116,0,
04/03/2011,5.116,5.116,5.116,5.116,0,
07/03/2011,5.543,5.543,5.543,5.543,100,
08/03/2011,5.116,5.116,5.116,5.116,100,
09/03/2011,5.116,5.116,5.116,5.116,0,
10/03/2011,5.116,5.116,5.116,5.116,0,
11/03/2011,5.628,5.628,5.628,5.628,100,
14/03/2011,5.628,5.628,5.628,5.628,0,
15/03/2011,5.628,5.628,5.628,5.628,0,
16/03/2011,6.01,6.01,6.01,6.01,100,
17/03/2011,6.565,6.565,6.565,6.565,100,
18/03/2011,7.162,7.162,7.162,7.162,400,
21/03/2011,7.162,7.162,7.162,7.162,0,
22/03/2011,7.162,7.162,7.162,7.162,0,
23/03/2011,7.162,7.162,7.162,7.162,0,
24/03/2011,7.162,7.162,7.162,7.162,0,
25/03/2011,7.162,7.162,7.162,7.162,0,
28/03/2011,7.162,7.162,7.162,7.162,0,
29/03/2011,7.162,7.162,7.162,7.162,0,
30/03/2011,7.162,7.162,7.162,7.162,100,
31/03/2011,7.162,7.162,7.162,7.162,0,
01/04/2011,7.162,7.162,7.162,7.162,0,
04/04/2011,7.162,7.162,7.162,7.162,0,
05/04/2011,7.162,7.162,7.162,7.162,0,
06/04/2011,7.162,7.162,7.162,7.162,0,
07/04/2011,7.162,7.162,7.162,7.162,0,
08/04/2011,7.162,7.162,7.162,7.162,0,
13/04/2011,7.162,7.162,7.162,7.162,0,
14/04/2011,7.162,7.162,7.162,7.162,0,
15/04/2011,7.162,7.162,7.162,7.162,0,
18/04/2011,7.162,7.162,7.162,7.162,0,
19/04/2011,7.162,7.162,7.162,7.162,0,
20/04/2011,7.162,7.162,7.162,7.162,0,
21/04/2011,7.162,7.162,7.162,7.162,0,
22/04/2011,7.162,7.162,7.162,7.162,0,
25/04/2011,7.162,7.162,7.162,7.162,0,
26/04/2011,7.162,7.162,7.162,7.162,0,
27/04/2011,6.48,6.48,6.48,6.48,200,
28/04/2011,6.48,6.48,6.48,6.48,0,
29/04/2011,6.48,6.48,6.48,6.48,0,
04/05/2011,6.48,6.48,6.48,6.48,0,
05/05/2011,6.48,6.48,6.48,6.48,0,
06/05/2011,6.48,6.48,6.48,6.48,0,
09/05/2011,6.48,6.48,6.48,6.48,0,
10/05/2011,6.48,6.48,6.48,6.48,0,
11/05/2011,6.48,6.48,6.48,6.48,0,
12/05/2011,6.48,6.48,6.48,6.48,0,
13/05/2011,6.48,6.48,6.48,6.48,0,
16/05/2011,6.48,6.48,6.48,6.48,0,
17/05/2011,6.48,6.48,6.48,6.48,0,
18/05/2011,6.608,6.608,6.608,6.608,100,
19/05/2011,6.608,6.608,6.608,6.608,0,
20/05/2011,6.608,6.608,6.608,6.608,0,
23/05/2011,6.608,6.608,6.608,6.608,0,
24/05/2011,6.608,6.608,6.608,6.608,0,
25/05/2011,6.608,6.608,6.608,6.608,0,
26/05/2011,6.608,6.608,6.608,6.608,0,
27/05/2011,6.608,6.608,6.608,6.608,0,
30/05/2011,6.608,6.608,6.608,6.608,0,
31/05/2011,6.608,6.608,6.608,6.608,0,
01/06/2011,6.608,6.608,6.608,6.608,0,
02/06/2011,6.608,6.608,6.608,6.608,0,
03/06/2011,5.967,5.967,5.967,5.967,100,
06/06/2011,5.967,5.967,5.967,5.967,0,
07/06/2011,5.967,5.967,5.967,5.967,0,
08/06/2011,5.967,5.967,5.967,5.967,0,DIVIDEND
09/06/2011,5.967,5.967,5.967,5.967,0,
10/06/2011,5.967,5.967,5.967,5.967,0,
13/06/2011,5.967,5.967,5.967,5.967,0,
14/06/2011,5.409,5.409,5.409,5.409,500,
15/06/2011,4.897,4.897,4.897,4.897,100,
16/06/2011,4.429,4.429,4.429,4.429,100,
17/06/2011,4.01,4.01,4.01,4.01,200,
20/06/2011,3.636,3.636,3.636,3.636,2000,
21/06/2011,3.404,3.404,3.404,3.404,1000,
22/06/2011,3.309,3.309,3.309,3.309,2000,
23/06/2011,3.077,3.636,3.077,3.636,4100,
24/06/2011,3.171,3.171,3.171,3.171,0,
27/06/2011,3.171,3.171,3.171,3.171,0,
28/06/2011,3.171,3.171,3.171,3.171,0,
29/06/2011,2.936,3.45,2.936,3.45,6100,
30/06/2011,3.124,3.124,2.751,2.751,1100,
01/07/2011,3.03,3.03,3.03,3.03,3000,
04/07/2011,3.263,3.263,2.936,2.936,3100,
05/07/2011,2.936,2.936,2.936,2.936,0,
06/07/2011,2.936,2.936,2.936,2.936,0,
07/07/2011,2.936,2.936,2.936,2.936,0,
08/07/2011,2.936,2.936,2.936,2.936,190,
11/07/2011,2.936,2.936,2.936,2.936,0,
12/07/2011,2.936,2.936,2.936,2.936,0,
13/07/2011,2.936,2.936,2.936,2.936,0,
14/07/2011,2.936,2.936,2.936,2.936,0,
15/07/2011,2.657,2.657,2.657,2.657,100,
18/07/2011,2.657,2.657,2.657,2.657,0,
19/07/2011,2.657,2.657,2.657,2.657,0,
20/07/2011,2.657,2.657,2.657,2.657,0,
21/07/2011,2.657,2.657,2.657,2.657,0,
22/07/2011,2.657,2.657,2.657,2.657,0,
25/07/2011,2.657,2.657,2.657,2.657,0,
26/07/2011,2.798,2.798,2.798,2.798,2000,
27/07/2011,2.891,3.077,2.891,3.077,200,
28/07/2011,2.985,2.985,2.985,2.985,0,
29/07/2011,2.985,2.985,2.985,2.985,250,
01/08/2011,2.985,2.985,2.985,2.985,0,
02/08/2011,2.985,2.985,2.985,2.985,0,
03/08/2011,2.798,2.798,2.798,2.798,100,
04/08/2011,2.798,2.798,2.751,2.751,6300,
05/08/2011,2.798,2.798,2.798,2.798,0,
08/08/2011,2.798,2.798,2.798,2.798,0,
09/08/2011,2.518,2.518,2.518,2.518,100,
10/08/2011,2.286,2.286,2.286,2.286,100,
11/08/2011,2.098,2.098,2.098,2.098,100,
12/08/2011,2.098,2.098,2.098,2.098,0,
15/08/2011,2.098,2.098,2.098,2.098,0,
16/08/2011,2.098,2.098,2.098,2.098,30000,
17/08/2011,2.098,2.098,2.098,2.098,250,
18/08/2011,2.098,2.098,2.098,2.098,0,
19/08/2011,2.098,2.098,2.098,2.098,0,
22/08/2011,1.912,1.912,1.912,1.912,100,
23/08/2011,1.912,1.912,1.912,1.912,0,
24/08/2011,1.912,1.912,1.912,1.912,0,
25/08/2011,1.725,1.725,1.725,1.725,14830,
26/08/2011,1.586,1.586,1.586,1.586,860,
29/08/2011,1.586,1.586,1.586,1.586,0,
30/08/2011,1.586,1.586,1.586,1.586,1370,
31/08/2011,1.586,1.586,1.586,1.586,780,
01/09/2011,1.445,1.445,1.445,1.445,100,
05/09/2011,1.445,1.445,1.445,1.445,0,
06/09/2011,1.445,1.445,1.445,1.445,0,
07/09/2011,1.445,1.445,1.445,1.445,0,
08/09/2011,1.445,1.445,1.445,1.445,0,
09/09/2011,1.586,1.586,1.586,1.586,100,
12/09/2011,1.586,1.586,1.586,1.586,0,
13/09/2011,1.725,1.725,1.725,1.725,100,
14/09/2011,1.865,1.865,1.865,1.865,100,
15/09/2011,1.865,1.865,1.865,1.865,0,
16/09/2011,2.051,2.051,2.051,2.051,100,
19/09/2011,1.865,1.865,1.865,1.865,100,
20/09/2011,1.678,1.678,1.678,1.678,100,
21/09/2011,1.678,1.678,1.678,1.678,0,
22/09/2011,1.818,1.818,1.818,1.818,100,
23/09/2011,1.958,1.958,1.958,1.958,100,
26/09/2011,2.098,2.098,1.773,1.773,300,
27/09/2011,2.051,2.051,2.051,2.051,200,
28/09/2011,2.051,2.051,2.051,2.051,0,
29/09/2011,2.237,2.237,1.958,1.958,200,
30/09/2011,2.098,2.098,2.098,2.098,0,
03/10/2011,2.286,2.286,2.286,2.286,100,
04/10/2011,2.098,2.098,2.098,2.098,100,
05/10/2011,2.286,2.286,1.912,1.912,200,
06/10/2011,1.912,1.912,1.912,1.912,100,
07/10/2011,2.098,2.098,2.098,2.098,100,
10/10/2011,2.286,2.286,2.144,2.144,400,
11/10/2011,2.005,2.005,2.005,2.005,100,
12/10/2011,2.191,2.191,2.191,2.191,100,
13/10/2011,2.378,2.378,2.378,2.378,100,
14/10/2011,2.611,2.611,2.611,2.611,100,
17/10/2011,2.378,2.378,2.378,2.378,100,
18/10/2011,2.378,2.378,2.378,2.378,0,
19/10/2011,2.144,2.144,2.144,2.144,100,
20/10/2011,2.33,2.33,2.33,2.33,100,
21/10/2011,2.564,2.564,2.564,2.564,100,
24/10/2011,2.564,2.564,2.564,2.564,0,
25/10/2011,2.798,2.798,2.798,2.798,100,
26/10/2011,2.798,2.798,2.798,2.798,0,
27/10/2011,2.798,2.798,2.798,2.798,0,
28/10/2011,3.077,3.077,2.518,2.518,200,
31/10/2011,3.077,3.077,3.077,3.077,100,
01/11/2011,3.357,3.357,3.357,3.357,100,
