transDate,close,high,low,open,volume,event
04/09/2008,19.0,35.0,14.0,35.0,160600,
05/09/2008,17.4,17.4,17.4,17.4,85600,
08/09/2008,18.6,18.6,18.6,18.6,59500,
09/09/2008,19.9,19.9,19.8,19.9,137800,
10/09/2008,18.7,21.2,18.6,21.2,129800,
11/09/2008,19.1,19.1,19.1,19.1,4600,
12/09/2008,17.8,17.8,17.8,17.8,400,
15/09/2008,16.6,16.6,16.6,16.6,37800,
16/09/2008,15.5,15.5,15.5,15.5,1200,
17/09/2008,14.5,14.5,14.5,14.5,2000,
18/09/2008,13.5,13.5,13.5,13.5,500,
19/09/2008,14.4,14.4,12.6,12.6,60400,
22/09/2008,14.6,14.6,14.6,14.6,14300,
23/09/2008,13.7,15.0,13.6,15.0,27900,
24/09/2008,12.9,13.0,12.9,12.9,18400,
25/09/2008,13.0,13.0,12.0,13.0,25600,
26/09/2008,13.3,13.4,12.7,13.4,10700,
29/09/2008,12.3,13.6,12.3,13.6,15000,
30/09/2008,11.8,12.0,11.8,12.0,7800,
01/10/2008,11.6,12.0,11.1,11.1,11700,
02/10/2008,12.4,12.4,11.0,11.5,14200,
03/10/2008,13.0,13.0,12.2,13.0,36700,
06/10/2008,13.0,13.8,12.0,13.5,9600,
07/10/2008,11.6,11.6,11.6,11.6,8300,
08/10/2008,10.8,11.5,10.8,10.9,39100,
09/10/2008,10.9,11.5,10.2,10.2,34500,
10/10/2008,10.2,10.3,9.8,10.3,15400,
13/10/2008,10.0,10.0,9.3,10.0,20600,
14/10/2008,10.0,10.0,10.0,10.0,400,
15/10/2008,10.5,10.7,10.1,10.7,26700,
16/10/2008,10.0,10.5,9.9,10.5,11100,
17/10/2008,10.1,10.5,10.1,10.5,8200,
20/10/2008,10.0,10.2,9.6,10.2,1900,
21/10/2008,9.7,10.0,9.7,9.8,3900,
22/10/2008,9.4,9.7,9.4,9.5,7700,
23/10/2008,8.9,9.6,8.9,9.6,12500,
24/10/2008,9.2,9.2,9.0,9.0,3100,
27/10/2008,8.4,8.6,8.4,8.4,4200,
28/10/2008,8.2,8.2,7.9,7.9,4600,
29/10/2008,8.3,8.4,8.3,8.4,8700,
30/10/2008,7.9,8.2,7.9,7.9,10800,
31/10/2008,7.8,8.0,7.5,7.7,10300,
03/11/2008,8.0,8.0,7.8,7.8,11600,
04/11/2008,8.4,8.4,7.9,8.0,4400,
05/11/2008,8.7,8.7,8.6,8.6,8300,
06/11/2008,8.1,8.7,8.1,8.1,7700,
07/11/2008,7.7,7.9,7.7,7.9,4100,
10/11/2008,7.7,7.7,7.6,7.7,5000,
11/11/2008,7.2,8.2,7.2,8.2,6500,
12/11/2008,7.8,7.8,7.8,7.8,2300,
13/11/2008,7.8,7.8,7.5,7.5,3300,
14/11/2008,8.0,8.2,7.8,8.2,9100,
17/11/2008,7.6,7.6,7.6,7.6,1200,
18/11/2008,7.6,8.0,7.2,7.2,2600,
19/11/2008,7.8,7.8,7.2,7.2,2200,
20/11/2008,7.3,7.8,7.2,7.8,3300,
21/11/2008,7.0,7.0,6.9,7.0,1800,
24/11/2008,7.3,7.3,7.1,7.1,300,
25/11/2008,7.0,7.6,7.0,7.6,3100,
