transDate,close,high,low,open,volume,event
17/12/2009,11.154,12.301,9.841,12.301,121070,
18/12/2009,10.661,11.154,10.661,10.661,127050,
21/12/2009,11.154,11.154,10.827,10.987,13800,
22/12/2009,10.661,11.481,10.661,11.481,23060,
23/12/2009,10.909,11.071,10.498,10.661,66460,
24/12/2009,10.987,10.987,10.579,10.661,22320,
25/12/2009,11.154,11.154,10.498,10.827,77270,
28/12/2009,10.827,11.481,10.827,11.481,22180,
29/12/2009,10.987,10.987,10.661,10.743,18540,
30/12/2009,10.909,10.987,10.743,10.743,57250,
31/12/2009,10.987,11.399,10.827,10.827,86600,
04/01/2010,11.481,11.481,11.234,11.234,115780,
05/01/2010,12.054,12.054,11.729,12.054,188830,
06/01/2010,12.632,12.632,12.135,12.465,216530,
07/01/2010,13.203,13.203,13.203,13.203,145500,
08/01/2010,12.632,13.859,12.632,13.859,295280,
11/01/2010,12.465,12.958,12.135,12.301,132510,
12/01/2010,12.135,12.958,12.135,12.465,64690,
13/01/2010,12.301,12.546,11.564,12.465,130780,
14/01/2010,12.301,12.465,11.973,12.465,59520,
15/01/2010,11.889,12.301,11.811,12.301,79340,
18/01/2010,11.317,11.889,11.317,11.889,87700,
19/01/2010,11.646,11.729,11.317,11.564,46360,
20/01/2010,11.481,11.729,11.481,11.729,54700,
21/01/2010,11.071,11.481,10.987,11.154,143910,
22/01/2010,10.827,11.154,10.827,10.827,59000,
25/01/2010,10.987,11.154,10.498,10.498,27360,
26/01/2010,11.481,11.481,11.154,11.154,70150,
27/01/2010,11.399,11.973,11.317,11.646,79230,
28/01/2010,11.811,11.889,11.811,11.889,240340,
29/01/2010,11.481,11.973,11.317,11.729,78220,
01/02/2010,11.564,11.564,11.234,11.564,20610,
02/02/2010,11.481,11.646,11.399,11.646,9330,
03/02/2010,11.481,11.729,11.154,11.317,74120,
04/02/2010,11.481,11.811,11.481,11.729,26040,
05/02/2010,11.481,11.481,11.317,11.399,48090,
08/02/2010,11.234,11.481,11.234,11.317,17630,
09/02/2010,11.317,11.317,10.987,11.154,33410,
10/02/2010,11.234,11.317,11.234,11.234,8050,
11/02/2010,11.234,11.234,11.234,11.234,8010,
12/02/2010,11.564,11.729,11.317,11.317,16740,
22/02/2010,11.564,11.646,11.317,11.646,25050,
23/02/2010,11.234,11.481,11.234,11.317,50900,
24/02/2010,11.234,11.234,11.071,11.071,5520,
25/02/2010,11.481,11.481,11.154,11.317,24040,
26/02/2010,11.317,11.481,11.234,11.481,8070,
01/03/2010,11.399,11.399,11.317,11.317,7160,
02/03/2010,11.317,11.399,11.317,11.317,24470,
03/03/2010,11.399,11.399,11.234,11.234,5180,
04/03/2010,11.811,11.889,11.564,11.564,81720,
05/03/2010,11.564,11.889,11.564,11.889,31500,
08/03/2010,11.811,11.973,11.564,11.564,30000,
09/03/2010,11.889,11.889,11.564,11.564,45950,
10/03/2010,11.564,11.973,11.564,11.973,28470,
11/03/2010,11.811,11.811,11.564,11.811,44980,
12/03/2010,11.811,11.889,11.564,11.889,60110,
15/03/2010,11.811,11.973,11.729,11.889,35210,
16/03/2010,11.646,11.729,11.646,11.646,68700,
17/03/2010,11.481,11.646,11.481,11.646,49070,
18/03/2010,11.646,11.811,11.646,11.729,20780,
19/03/2010,11.811,11.811,11.646,11.729,43580,
22/03/2010,11.481,11.811,11.481,11.811,29980,
23/03/2010,11.317,11.481,11.317,11.481,7310,
24/03/2010,11.646,11.729,11.399,11.729,12050,
25/03/2010,11.317,11.646,11.317,11.646,11190,
26/03/2010,11.399,11.564,11.317,11.317,9020,
29/03/2010,11.317,11.564,11.317,11.317,13150,
30/03/2010,11.317,11.317,11.154,11.317,47530,
31/03/2010,11.811,11.811,11.564,11.564,145240,
01/04/2010,12.386,12.386,11.973,12.135,562280,
02/04/2010,12.386,12.546,12.135,12.135,289780,
05/04/2010,12.712,12.712,12.386,12.386,88410,
06/04/2010,12.546,12.792,12.546,12.792,74660,
07/04/2010,12.386,12.546,12.301,12.386,137080,
08/04/2010,12.632,12.632,12.386,12.386,106240,
09/04/2010,13.122,13.203,12.632,12.632,193160,
12/04/2010,13.776,13.776,13.776,13.776,250820,
13/04/2010,13.693,13.776,13.288,13.776,156100,
14/04/2010,13.941,13.941,13.448,13.613,193010,
15/04/2010,14.105,14.105,13.776,13.776,179710,
16/04/2010,13.941,14.105,13.859,14.023,114500,
19/04/2010,13.448,13.941,13.367,13.941,127360,
20/04/2010,13.533,13.776,13.367,13.367,139210,
21/04/2010,13.859,13.859,13.533,13.693,110120,
22/04/2010,14.023,14.188,13.859,13.859,109440,
26/04/2010,13.693,13.776,13.613,13.776,48340,
27/04/2010,13.613,13.776,13.533,13.776,55310,
28/04/2010,13.533,13.776,13.533,13.776,119100,
29/04/2010,13.776,13.776,13.448,13.613,173300,
04/05/2010,14.436,14.436,14.188,14.436,268960,
05/05/2010,15.091,15.091,14.76,15.091,632650,
06/05/2010,15.828,15.828,15.416,15.416,208280,
07/05/2010,15.663,16.075,15.173,16.075,215990,
10/05/2010,15.173,16.075,15.008,16.075,154110,
11/05/2010,15.173,15.58,15.091,15.091,274450,
12/05/2010,14.436,15.091,14.436,15.091,193600,
13/05/2010,14.271,14.68,14.105,14.436,171030,
14/05/2010,14.188,14.349,13.941,14.349,87090,
17/05/2010,14.188,14.271,14.023,14.271,75540,
18/05/2010,14.368,14.662,13.776,14.564,15460,DIVIDEND
19/05/2010,13.679,14.368,13.679,13.876,79960,
20/05/2010,14.17,14.17,13.188,13.188,65090,
21/05/2010,13.481,13.876,13.481,13.481,194880,
24/05/2010,13.58,13.776,13.384,13.776,67350,
25/05/2010,14.17,14.17,13.188,13.776,40440,
26/05/2010,14.86,14.86,14.564,14.76,64100,
27/05/2010,14.96,15.351,14.271,15.351,70490,
28/05/2010,15.156,15.451,14.564,14.564,237010,
31/05/2010,14.76,15.351,14.564,15.156,99960,
01/06/2010,14.76,14.76,14.368,14.368,10860,
02/06/2010,14.368,14.96,14.271,14.467,90960,
03/06/2010,14.071,14.76,14.071,14.368,182930,
04/06/2010,14.368,14.368,13.973,13.973,2260,
07/06/2010,13.776,14.564,13.776,13.776,17260,
08/06/2010,13.973,14.17,13.481,13.481,15290,
09/06/2010,13.876,14.17,13.876,14.17,39780,
10/06/2010,14.071,14.17,13.384,14.17,83150,
11/06/2010,14.271,14.271,14.17,14.17,9320,
14/06/2010,14.271,14.368,13.973,14.368,15530,
15/06/2010,13.876,14.271,13.876,13.876,16020,
16/06/2010,13.776,13.973,13.679,13.973,40460,
17/06/2010,13.679,14.368,13.679,13.973,48010,
18/06/2010,13.776,13.776,13.776,13.776,22940,
21/06/2010,13.679,14.071,13.679,14.071,61080,
22/06/2010,13.776,13.876,13.679,13.679,6120,
23/06/2010,13.679,13.776,13.58,13.776,28320,
24/06/2010,13.776,13.973,13.679,13.776,20270,
25/06/2010,13.679,13.776,13.58,13.776,36540,
28/06/2010,13.876,13.876,13.776,13.776,4950,
29/06/2010,13.679,13.876,13.679,13.876,7090,
30/06/2010,13.876,13.876,13.58,13.58,21570,
01/07/2010,13.776,13.776,13.58,13.58,5840,
02/07/2010,13.876,13.876,13.679,13.876,7270,
05/07/2010,13.876,13.876,13.58,13.58,970,
06/07/2010,13.776,13.973,13.679,13.973,10550,
07/07/2010,13.58,13.776,13.58,13.679,21630,
08/07/2010,13.679,13.776,13.481,13.481,46650,
09/07/2010,13.679,13.679,13.481,13.481,1540,
12/07/2010,13.679,13.776,13.58,13.776,2650,
13/07/2010,13.776,13.876,13.776,13.776,24140,
14/07/2010,13.58,13.876,13.58,13.876,16000,
15/07/2010,13.58,13.58,13.481,13.481,32360,
16/07/2010,13.776,13.776,13.58,13.776,2580,
19/07/2010,13.384,14.071,13.384,14.071,36840,
20/07/2010,13.776,13.776,13.384,13.776,21610,
21/07/2010,13.481,13.58,13.481,13.58,9250,
22/07/2010,13.481,13.776,13.384,13.776,21940,
23/07/2010,13.481,13.679,13.384,13.481,7880,
26/07/2010,13.481,13.58,13.288,13.288,10840,
27/07/2010,13.288,13.679,13.288,13.481,209440,
28/07/2010,12.991,13.188,12.991,13.188,19090,
29/07/2010,12.991,12.991,12.792,12.792,26050,
30/07/2010,12.991,13.188,12.89,13.088,11410,
02/08/2010,12.792,12.89,12.792,12.89,14290,
03/08/2010,12.89,13.384,12.203,12.991,50310,
04/08/2010,12.792,12.792,12.695,12.792,12260,
05/08/2010,12.792,12.991,12.498,12.991,16610,
06/08/2010,12.792,13.088,12.301,13.088,33430,
09/08/2010,12.792,12.792,12.301,12.399,15380,
10/08/2010,12.203,12.792,12.203,12.792,44260,
11/08/2010,12.792,12.792,12.695,12.792,860,
12/08/2010,12.008,12.792,12.008,12.008,9090,DIVIDEND
13/08/2010,12.399,12.399,11.611,12.008,61530,
