transDate,close,high,low,open,volume,event
21/12/2006,17.126,17.126,17.126,17.126,2600,
22/12/2006,17.277,17.719,17.277,17.277,4840,
25/12/2006,17.277,17.277,17.277,17.277,380,
26/12/2006,16.542,16.839,16.542,16.839,730,
27/12/2006,15.804,16.542,15.804,16.542,1300,
28/12/2006,15.062,15.062,15.062,15.062,1200,
29/12/2006,14.324,14.324,14.324,14.324,400,
02/01/2007,13.615,13.615,13.615,13.615,2800,
03/01/2007,12.937,12.998,12.937,12.998,2000,
04/01/2007,12.319,12.404,12.319,12.404,9100,
05/01/2007,12.911,12.911,12.699,12.699,15800,
08/01/2007,13.53,13.53,13.292,13.292,4950,
09/01/2007,14.18,14.18,14.18,14.18,16990,
10/01/2007,13.74,14.18,13.74,14.18,5920,
11/01/2007,13.049,13.049,13.049,13.049,2030,
12/01/2007,12.404,12.404,12.404,12.404,10450,
15/01/2007,12.998,12.998,12.998,12.998,4300,
16/01/2007,12.998,12.998,12.998,12.998,2520,
17/01/2007,12.998,12.998,12.998,12.998,600,
18/01/2007,12.345,12.998,12.345,12.998,1300,
19/01/2007,12.345,12.345,12.134,12.345,5150,
22/01/2007,12.115,12.115,12.115,12.115,970,
23/01/2007,12.115,12.115,11.845,12.115,3300,
24/01/2007,12.115,12.115,11.524,12.115,7690,
25/01/2007,11.516,12.109,11.516,12.109,4600,
26/01/2007,11.516,11.78,11.516,11.516,8200,
29/01/2007,11.516,11.516,10.984,11.516,3100,
30/01/2007,12.082,12.082,12.082,12.082,1110,
31/01/2007,12.115,12.404,12.115,12.115,5000,
01/02/2007,12.404,12.404,12.226,12.226,1370,
02/02/2007,13.021,13.021,13.021,13.021,7270,
05/02/2007,13.615,13.675,13.588,13.588,26290,
06/02/2007,14.292,14.292,14.292,14.292,29050,
07/02/2007,14.916,14.916,14.621,14.621,36270,
08/02/2007,15.654,15.654,15.358,15.358,31980,
09/02/2007,14.916,15.654,14.916,15.654,20470,
12/02/2007,14.772,14.772,14.324,14.772,21280,
13/02/2007,15.009,15.009,14.404,15.009,19020,DIVIDEND
14/02/2007,15.312,15.463,15.312,15.312,21450,
15/02/2007,15.312,15.312,15.312,15.312,11560,
26/02/2007,16.061,16.061,16.061,16.061,16910,
27/02/2007,16.811,16.811,16.207,16.207,25930,
