transDate,close,high,low,open,volume,event
24/12/2007,7.83,8.965,7.579,8.965,143660,
25/12/2007,7.83,7.957,7.83,7.83,75990,
26/12/2007,7.83,7.83,7.579,7.704,18760,
27/12/2007,7.83,7.83,7.766,7.83,14660,
28/12/2007,8.019,8.019,7.766,7.83,64510,
02/01/2008,7.83,7.957,7.83,7.957,21700,
03/01/2008,7.579,7.83,7.579,7.83,16300,
04/01/2008,7.452,7.452,7.452,7.452,5800,
07/01/2008,7.135,7.199,7.135,7.199,14350,
08/01/2008,6.82,7.072,6.82,7.007,29290,
09/01/2008,6.693,6.946,6.567,6.946,21010,
10/01/2008,6.441,6.567,6.441,6.567,2500,
11/01/2008,6.755,6.755,6.693,6.755,8220,
14/01/2008,6.946,7.072,6.946,7.072,3110,
15/01/2008,6.755,7.199,6.693,7.199,5000,
16/01/2008,7.007,7.007,6.946,6.946,47500,
17/01/2008,6.693,7.007,6.693,7.007,44120,
18/01/2008,6.693,6.882,6.693,6.882,18610,
21/01/2008,6.82,6.946,6.693,6.946,4410,
22/01/2008,6.502,6.693,6.502,6.502,13010,
23/01/2008,6.188,6.25,6.188,6.25,9120,
24/01/2008,5.887,6.441,5.887,6.441,57950,
25/01/2008,6.061,6.061,6.061,6.061,38120,
28/01/2008,5.759,5.935,5.759,5.822,50500,
29/01/2008,6.036,6.036,5.759,5.759,3180,
30/01/2008,6.315,6.315,5.873,6.188,142300,
31/01/2008,6.0,6.315,6.0,6.315,94640,
01/02/2008,6.188,6.25,6.125,6.238,95740,
12/02/2008,6.301,6.441,5.935,5.948,88040,
13/02/2008,6.188,6.301,6.188,6.301,3900,
14/02/2008,6.124,6.315,6.124,6.315,12880,
15/02/2008,6.188,6.188,6.113,6.188,30890,
18/02/2008,5.935,6.124,5.935,6.124,33910,
19/02/2008,5.935,6.061,5.835,5.835,2150,
20/02/2008,5.685,6.0,5.685,5.685,21170,
21/02/2008,5.404,5.404,5.404,5.404,78100,
22/02/2008,5.179,5.179,5.141,5.179,81470,
25/02/2008,5.433,5.433,5.433,5.433,4940,
26/02/2008,5.179,5.558,5.166,5.558,24560,
27/02/2008,5.179,5.433,5.179,5.179,3090,
28/02/2008,5.179,5.179,5.179,5.179,600,DIVIDEND
29/02/2008,5.28,5.306,5.048,5.112,12280,
03/03/2008,5.022,5.243,5.022,5.243,29610,
04/03/2008,4.777,4.777,4.777,4.777,62410,
05/03/2008,4.545,4.545,4.545,4.545,8780,
06/03/2008,4.764,4.764,4.545,4.545,20920,
07/03/2008,4.997,4.997,4.726,4.726,35730,
10/03/2008,5.179,5.243,5.179,5.243,80620,
11/03/2008,4.918,5.179,4.918,5.179,4150,
12/03/2008,4.674,5.048,4.674,4.918,34370,
13/03/2008,4.439,4.906,4.439,4.79,26870,
14/03/2008,4.531,4.531,4.531,4.531,17470,
17/03/2008,4.531,4.531,4.531,4.531,6630,
18/03/2008,4.311,4.402,4.311,4.311,25530,
19/03/2008,4.503,4.503,4.103,4.116,42960,
20/03/2008,4.284,4.297,4.284,4.284,920,
21/03/2008,4.078,4.143,4.078,4.143,23100,
24/03/2008,3.885,3.885,3.885,3.885,11440,
25/03/2008,3.689,3.701,3.689,3.689,92900,
26/03/2008,3.872,3.872,3.507,3.507,25190,
27/03/2008,3.898,3.898,3.898,3.898,210,
28/03/2008,3.937,3.937,3.937,3.937,500,
31/03/2008,3.975,3.975,3.975,3.975,30,
01/04/2008,4.014,4.014,4.014,4.014,20,
02/04/2008,4.053,4.053,4.053,4.053,100,
03/04/2008,4.09,4.09,4.09,4.09,900,
04/04/2008,4.13,4.13,4.13,4.13,970,
07/04/2008,4.207,4.207,4.207,4.207,2830,
08/04/2008,4.284,4.284,4.207,4.207,2630,
09/04/2008,4.361,4.361,4.361,4.361,1320,
10/04/2008,4.284,4.361,4.284,4.361,110200,
11/04/2008,4.207,4.207,4.207,4.207,31070,
16/04/2008,4.13,4.13,4.13,4.13,1030,
17/04/2008,4.053,4.053,4.053,4.053,58270,
18/04/2008,4.13,4.13,3.975,4.13,93730,
21/04/2008,4.053,4.13,4.053,4.13,1310,
22/04/2008,3.975,3.975,3.975,3.975,5200,
23/04/2008,3.898,3.898,3.898,3.898,12200,
24/04/2008,3.82,3.82,3.82,3.82,19200,
25/04/2008,3.82,3.82,3.756,3.756,97700,
28/04/2008,3.885,3.885,3.885,3.885,2200,
29/04/2008,3.962,3.962,3.962,3.962,75020,
05/05/2008,3.885,4.039,3.885,4.039,1300,
06/05/2008,3.962,3.962,3.962,3.962,21670,
07/05/2008,4.039,4.039,4.026,4.039,65930,DIVIDEND
08/05/2008,3.962,4.001,3.962,3.962,15800,
09/05/2008,3.882,3.882,3.882,3.882,68920,
12/05/2008,3.818,3.818,3.818,3.818,5000,
13/05/2008,3.75,3.818,3.75,3.75,85100,
14/05/2008,3.686,3.686,3.686,3.686,25400,
15/05/2008,3.619,3.619,3.619,3.619,73570,
16/05/2008,3.619,3.619,3.554,3.554,121700,
19/05/2008,3.606,3.606,3.554,3.554,8300,
20/05/2008,3.539,3.58,3.539,3.58,40110,
21/05/2008,3.475,3.475,3.475,3.475,23200,
22/05/2008,3.408,3.408,3.408,3.408,22010,
23/05/2008,3.344,3.408,3.344,3.344,108940,
26/05/2008,3.276,3.276,3.276,3.276,100,
27/05/2008,3.104,3.104,3.104,3.104,0,
28/05/2008,3.104,3.104,3.104,3.104,0,
29/05/2008,3.104,3.104,3.104,3.104,0,
30/05/2008,3.224,3.224,3.224,3.224,6290,
02/06/2008,4.191,4.191,4.191,4.191,0,
