transDate,close,high,low,open,volume,event
09/01/2017,10.279,13.224,9.447,13.224,346000,
10/01/2017,10.39,10.612,10.279,10.612,234947,
11/01/2017,10.279,10.39,10.168,10.39,173442,
12/01/2017,9.334,10.002,9.334,10.002,52349,
13/01/2017,8.446,9.057,8.39,9.057,70740,
16/01/2017,8.501,8.556,8.279,8.556,134435,
17/01/2017,8.724,8.724,8.335,8.335,40175,
18/01/2017,8.779,8.779,8.612,8.724,20408,
19/01/2017,8.891,8.891,8.668,8.724,73089,
20/01/2017,8.835,9.168,8.779,8.779,52135,
23/01/2017,9.002,9.391,9.002,9.168,42247,
24/01/2017,9.447,9.447,9.28,9.28,63225,
25/01/2017,9.391,9.391,9.391,9.391,1610,
02/02/2017,9.057,9.391,8.946,9.391,9810,
03/02/2017,9.28,9.391,8.946,8.946,7890,
06/02/2017,9.168,9.224,9.168,9.224,75013,
07/02/2017,9.168,9.168,9.168,9.168,23900,
08/02/2017,9.057,9.168,9.057,9.168,11454,
09/02/2017,9.112,9.334,9.112,9.168,27845,
10/02/2017,9.391,9.391,9.168,9.168,12638,
13/02/2017,9.334,9.334,9.112,9.112,24240,
14/02/2017,9.224,9.28,9.224,9.224,17715,
15/02/2017,9.28,9.447,9.168,9.168,53610,
16/02/2017,9.447,9.557,9.391,9.391,62280,
17/02/2017,9.334,9.334,9.334,9.334,1540,
20/02/2017,9.391,9.557,9.334,9.334,20599,
21/02/2017,9.447,9.447,9.334,9.391,12750,
22/02/2017,9.391,9.501,9.391,9.447,41019,
23/02/2017,9.334,9.447,9.334,9.447,60220,
24/02/2017,9.447,9.447,9.391,9.447,30064,
27/02/2017,9.447,9.447,9.391,9.447,16720,
28/02/2017,9.501,9.557,9.391,9.391,13447,
01/03/2017,9.613,9.724,9.501,9.501,8158,
02/03/2017,9.724,10.168,9.667,9.78,17246,
03/03/2017,9.835,9.835,9.78,9.78,13301,
06/03/2017,9.724,9.835,9.724,9.835,20752,
