transDate,close,high,low,open,volume,event
12/01/2017,10.992,10.992,10.992,10.992,81700,
13/01/2017,12.618,12.618,12.618,12.618,29800,
16/01/2017,12.153,14.475,12.153,14.475,41400,
17/01/2017,11.766,11.998,11.766,11.766,17800,
18/01/2017,11.689,11.689,11.611,11.689,9300,
19/01/2017,10.605,11.224,10.45,11.224,6000,
20/01/2017,11.92,12.076,11.92,12.076,300,
23/01/2017,10.218,10.295,10.218,10.295,21600,
24/01/2017,11.146,11.224,11.146,11.146,2700,
25/01/2017,10.838,10.838,10.838,10.838,3000,
02/02/2017,10.838,10.838,10.838,10.838,1000,
03/02/2017,10.45,10.838,10.218,10.759,37700,
06/02/2017,10.527,10.759,10.45,10.759,29000,
07/02/2017,10.45,10.682,10.45,10.682,2700,
08/02/2017,10.45,10.45,9.057,9.057,9600,
09/02/2017,10.527,10.914,10.45,10.45,51200,
10/02/2017,10.527,10.527,10.527,10.527,0,
13/02/2017,10.527,10.527,10.527,10.527,2800,
14/02/2017,10.527,10.527,10.45,10.45,18100,
15/02/2017,10.527,10.838,10.527,10.838,4100,
16/02/2017,10.527,10.838,9.289,9.289,16800,
17/02/2017,10.605,10.605,10.373,10.373,300,
20/02/2017,10.295,10.295,10.295,10.295,100,
21/02/2017,10.527,10.838,9.289,9.289,3500,
22/02/2017,10.295,10.295,10.295,10.295,3000,
23/02/2017,10.295,10.295,10.295,10.295,0,
24/02/2017,11.069,11.611,10.838,10.838,12200,
27/02/2017,11.146,11.224,11.069,11.069,3800,
28/02/2017,11.146,11.146,11.146,11.146,0,
01/03/2017,11.146,11.146,11.146,11.146,5000,
02/03/2017,10.992,11.456,10.992,11.456,8100,
03/03/2017,11.224,11.224,11.224,11.224,100,
06/03/2017,11.224,11.224,10.527,10.527,11800,
07/03/2017,10.914,10.914,10.14,10.14,300,
08/03/2017,11.069,11.92,11.069,11.689,7000,
09/03/2017,11.611,11.611,9.753,9.753,900,
10/03/2017,11.611,11.689,11.533,11.689,15600,
13/03/2017,12.231,12.231,10.838,10.838,300,
14/03/2017,10.992,12.385,10.759,10.759,5200,
15/03/2017,12.308,12.308,12.308,12.308,0,
16/03/2017,11.998,11.998,10.914,10.914,2100,
17/03/2017,11.766,12.385,11.766,12.308,1200,
20/03/2017,12.385,12.385,12.385,12.385,3000,
21/03/2017,11.379,11.379,11.379,11.379,100,
22/03/2017,11.379,11.379,11.379,11.379,0,
23/03/2017,11.766,11.766,10.914,10.914,700,
24/03/2017,11.766,11.766,11.766,11.766,500,
27/03/2017,11.766,11.766,11.766,11.766,0,
28/03/2017,11.766,11.766,11.766,11.766,0,
29/03/2017,11.766,11.766,11.766,11.766,0,
30/03/2017,12.308,12.308,12.308,12.308,100,
31/03/2017,12.308,12.308,12.308,12.308,0,
03/04/2017,11.224,11.224,11.224,11.224,500,
04/04/2017,11.224,11.224,11.224,11.224,0,
05/04/2017,11.224,11.224,11.224,11.224,0,
07/04/2017,11.224,11.224,11.224,11.224,500,
10/04/2017,11.224,11.224,11.224,11.224,0,
11/04/2017,11.611,11.611,11.456,11.456,2000,
12/04/2017,11.533,11.533,11.533,11.533,0,
13/04/2017,11.533,11.533,11.533,11.533,0,
14/04/2017,12.308,12.308,12.308,12.308,100,
17/04/2017,12.308,12.308,12.308,12.308,0,
18/04/2017,12.308,12.308,12.308,12.308,0,
19/04/2017,12.308,12.308,12.308,12.308,0,
20/04/2017,12.308,12.308,12.308,12.308,0,
21/04/2017,10.914,11.224,10.914,11.224,400,
24/04/2017,10.838,10.914,10.838,10.914,2600,
25/04/2017,10.838,10.838,10.838,10.838,500,
26/04/2017,10.838,10.838,10.838,10.838,0,
27/04/2017,10.605,10.605,10.605,10.605,100,
28/04/2017,10.605,10.605,10.605,10.605,0,
03/05/2017,11.611,11.611,9.831,9.831,200,
04/05/2017,10.759,10.759,10.759,10.759,0,
05/05/2017,10.759,10.759,10.759,10.759,0,
08/05/2017,12.231,12.231,12.231,12.231,100,
09/05/2017,10.838,10.838,10.838,10.838,2200,
10/05/2017,11.456,11.456,11.456,11.456,100,
11/05/2017,11.611,11.92,11.611,11.92,3900,
12/05/2017,11.611,11.611,11.611,11.611,0,
15/05/2017,12.385,12.385,12.385,12.385,100,
16/05/2017,11.533,11.533,11.533,11.533,200,
17/05/2017,12.385,12.385,12.385,12.385,100,
18/05/2017,12.385,12.385,12.385,12.385,0,
19/05/2017,12.385,12.385,12.385,12.385,0,
22/05/2017,12.385,12.385,12.385,12.385,0,
23/05/2017,11.611,11.611,11.611,11.611,100,
24/05/2017,12.308,12.308,12.308,12.308,100,
25/05/2017,10.838,10.838,10.838,10.838,1000,
26/05/2017,10.063,10.063,10.063,10.063,100,
29/05/2017,9.599,9.986,9.599,9.986,3500,
30/05/2017,10.992,10.992,10.914,10.914,1500,
31/05/2017,10.914,10.914,10.914,10.914,0,
01/06/2017,10.063,10.45,10.063,10.45,3200,
02/06/2017,10.063,10.063,10.063,10.063,0,
05/06/2017,10.063,10.063,10.063,10.063,0,
06/06/2017,10.063,10.063,10.063,10.063,0,
07/06/2017,10.527,11.456,10.527,11.456,5100,
08/06/2017,10.838,11.998,10.527,11.998,2400,
09/06/2017,10.682,10.682,10.682,10.682,0,
12/06/2017,12.153,12.153,12.153,12.153,100,
13/06/2017,12.153,12.153,12.153,12.153,0,
14/06/2017,12.153,12.153,12.153,12.153,0,
15/06/2017,12.153,12.153,12.153,12.153,0,
16/06/2017,10.45,12.463,10.373,12.463,5700,
19/06/2017,9.908,11.456,9.908,11.456,300,
20/06/2017,10.682,10.682,9.676,9.676,300,
21/06/2017,9.753,9.753,9.753,9.753,200,
22/06/2017,10.063,10.063,10.063,10.063,1800,
23/06/2017,10.063,10.063,10.063,10.063,1100,
26/06/2017,10.063,10.063,10.063,10.063,0,
27/06/2017,10.45,10.682,9.986,10.682,700,
28/06/2017,10.373,10.373,10.373,10.373,1100,
29/06/2017,11.146,11.146,10.992,10.992,300,
30/06/2017,11.069,11.069,11.069,11.069,0,
03/07/2017,11.069,11.069,11.069,11.069,0,
04/07/2017,10.759,12.618,10.759,12.618,300,
05/07/2017,10.759,10.759,10.759,10.759,100,
06/07/2017,10.45,10.759,10.14,10.14,5300,
07/07/2017,10.838,10.838,10.45,10.45,1500,
10/07/2017,10.838,11.146,10.373,11.146,54600,
11/07/2017,10.373,10.759,10.373,10.682,11300,
12/07/2017,10.45,10.527,10.373,10.45,6200,
13/07/2017,10.45,10.527,10.45,10.527,15300,
14/07/2017,10.527,10.527,10.527,10.527,6200,
17/07/2017,10.45,10.605,10.373,10.605,6900,
18/07/2017,10.45,10.45,10.45,10.45,300,
19/07/2017,10.45,10.45,10.45,10.45,1100,
20/07/2017,10.838,10.838,10.838,10.838,100,
21/07/2017,10.373,10.373,10.373,10.373,200,
24/07/2017,10.373,10.373,10.373,10.373,0,
25/07/2017,11.843,11.843,11.843,11.843,100,
26/07/2017,10.14,10.14,10.14,10.14,16900,
27/07/2017,10.14,10.14,8.669,10.14,1800,
28/07/2017,10.14,10.218,10.14,10.14,7700,
31/07/2017,10.218,10.218,10.218,10.218,4000,
01/08/2017,10.218,10.218,10.14,10.14,15100,
02/08/2017,10.218,10.45,10.218,10.218,2600,
03/08/2017,10.218,10.218,10.218,10.218,0,
04/08/2017,10.218,10.218,10.14,10.14,10500,
07/08/2017,10.218,10.218,10.218,10.218,6100,
08/08/2017,10.218,10.218,10.218,10.218,0,
09/08/2017,10.14,10.14,8.825,8.825,500,
10/08/2017,10.218,10.218,8.515,8.515,200,
11/08/2017,10.295,10.295,10.295,10.295,100,
14/08/2017,10.295,10.295,10.295,10.295,0,
15/08/2017,10.295,10.295,10.295,10.295,0,
16/08/2017,10.14,10.295,10.14,10.295,3300,
17/08/2017,10.14,10.14,10.14,10.14,2500,
18/08/2017,10.14,10.14,10.14,10.14,0,
21/08/2017,10.14,10.14,10.14,10.14,0,
22/08/2017,10.14,10.14,10.14,10.14,0,
23/08/2017,10.14,10.14,10.14,10.14,0,
24/08/2017,10.14,10.14,10.14,10.14,0,
25/08/2017,10.14,10.14,10.14,10.14,0,
28/08/2017,10.14,10.14,10.14,10.14,0,
29/08/2017,10.063,10.063,10.063,10.063,2800,
