transDate,close,high,low,open,volume,event
08/12/2010,6.744,7.056,6.537,7.004,566700,
09/12/2010,5.753,6.098,5.36,6.098,185600,
10/12/2010,5.925,5.972,5.747,5.925,189600,
13/12/2010,5.925,6.098,5.488,5.707,177600,
14/12/2010,5.88,5.88,5.575,5.793,230100,
15/12/2010,5.707,6.104,5.575,5.707,143500,
16/12/2010,5.707,5.972,5.62,5.62,108400,
17/12/2010,5.925,5.925,5.661,5.707,26500,
20/12/2010,5.753,5.925,5.707,5.753,143600,
21/12/2010,5.839,5.839,5.575,5.707,124100,
22/12/2010,5.707,5.793,5.707,5.707,175600,
23/12/2010,5.753,5.753,5.62,5.62,130700,
24/12/2010,5.707,5.793,5.661,5.661,163200,
27/12/2010,5.707,5.839,5.62,5.661,105600,
28/12/2010,5.753,5.793,5.661,5.707,133300,
29/12/2010,5.88,5.925,5.753,5.753,84400,
30/12/2010,6.278,6.278,5.795,5.795,238900,
31/12/2010,6.497,6.497,6.278,6.497,228300,
04/01/2011,6.936,6.936,6.936,6.936,14600,
05/01/2011,7.418,7.418,6.98,7.418,691600,
06/01/2011,7.376,7.77,7.376,7.594,195600,
07/01/2011,7.331,7.331,7.156,7.286,120100,
10/01/2011,6.98,7.156,6.936,6.936,171300,
11/01/2011,7.024,7.199,6.936,6.936,175800,
12/01/2011,7.506,7.506,7.068,7.068,228700,
13/01/2011,7.902,7.902,7.77,7.814,210300,
14/01/2011,8.385,8.385,7.946,7.946,293500,
17/01/2011,8.077,8.56,7.814,8.341,156600,
18/01/2011,8.341,8.78,7.726,7.814,733000,
19/01/2011,8.428,8.912,8.21,8.21,184100,
20/01/2011,8.034,8.693,8.034,8.693,217800,
21/01/2011,7.77,7.99,7.638,7.683,210600,
24/01/2011,7.594,7.683,7.464,7.464,175900,
25/01/2011,7.683,7.726,7.376,7.464,193800,
26/01/2011,7.683,7.814,7.594,7.594,162200,
27/01/2011,7.902,7.99,7.594,7.683,156100,
28/01/2011,7.858,7.946,7.814,7.814,79900,
08/02/2011,7.814,7.902,7.814,7.858,71700,
09/02/2011,7.858,7.946,7.814,7.814,227300,
10/02/2011,8.385,8.385,7.814,7.858,535200,
11/02/2011,8.824,8.824,8.253,8.253,583400,
14/02/2011,9.175,9.394,8.867,9.086,512200,
15/02/2011,9.263,9.526,8.78,9.482,385000,
16/02/2011,8.912,9.219,8.867,9.219,154400,
17/02/2011,8.517,9.0,8.517,9.0,175600,
18/02/2011,8.428,8.56,8.341,8.428,198100,
21/02/2011,7.858,8.472,7.858,8.472,281700,
22/02/2011,8.121,8.341,8.034,8.034,187000,
23/02/2011,8.21,8.385,8.121,8.21,180400,
24/02/2011,8.121,8.341,7.814,8.253,115600,
25/02/2011,8.21,8.21,7.726,8.121,109300,
28/02/2011,7.99,8.341,7.946,8.165,119700,
01/03/2011,7.858,8.165,7.683,8.121,107500,
02/03/2011,7.331,7.902,7.331,7.858,213800,
03/03/2011,7.594,7.726,7.331,7.594,58400,
04/03/2011,7.726,7.902,7.464,7.638,153300,
07/03/2011,7.726,7.77,7.331,7.726,113000,
08/03/2011,7.552,7.726,7.156,7.683,101500,
09/03/2011,7.506,7.726,6.936,7.199,228800,
10/03/2011,7.814,7.902,7.506,7.506,378000,
11/03/2011,8.121,8.296,7.77,7.77,327800,
14/03/2011,7.814,8.21,7.552,8.077,90300,
15/03/2011,7.638,8.034,7.506,8.034,60900,
16/03/2011,7.506,7.638,7.244,7.638,117800,
17/03/2011,7.464,7.683,7.199,7.552,85800,
18/03/2011,7.638,7.638,7.464,7.594,176000,
21/03/2011,8.077,8.077,7.552,7.552,415300,
22/03/2011,8.517,8.517,8.077,8.077,354700,
23/03/2011,8.56,8.955,8.077,8.472,483800,
24/03/2011,8.21,8.605,8.077,8.517,135900,
25/03/2011,7.726,8.21,7.726,8.21,178200,
28/03/2011,7.506,7.726,7.376,7.726,84700,
29/03/2011,7.683,7.683,7.464,7.464,127000,
30/03/2011,7.902,8.034,7.464,7.506,238900,
31/03/2011,7.726,7.902,7.726,7.902,86300,
01/04/2011,7.638,7.902,7.552,7.77,91800,
04/04/2011,7.506,7.726,7.418,7.464,114000,
05/04/2011,7.418,7.594,7.244,7.552,50600,
06/04/2011,7.552,7.638,7.418,7.464,142300,
07/04/2011,7.506,7.638,7.376,7.552,135900,
08/04/2011,7.376,7.594,7.376,7.506,47400,
13/04/2011,7.418,7.506,7.286,7.506,62800,
14/04/2011,7.376,7.464,7.244,7.418,26900,
15/04/2011,7.244,7.376,7.024,7.376,35900,
