transDate,close,high,low,open,volume,event
04/08/2010,8.215,10.273,7.801,8.177,42900,
05/08/2010,7.643,7.643,7.643,7.643,10500,
06/08/2010,7.643,7.643,7.103,7.103,13100,
09/08/2010,6.983,6.983,6.983,6.983,600,
10/08/2010,6.983,7.392,6.529,6.529,7200,
11/08/2010,6.983,7.314,6.983,6.983,6700,
12/08/2010,6.529,6.529,6.529,6.529,3000,
13/08/2010,6.245,6.983,6.245,6.983,9000,
16/08/2010,6.78,6.78,6.695,6.734,20300,
17/08/2010,7.103,7.103,7.103,7.103,200,
18/08/2010,6.945,7.392,6.945,7.392,1600,
19/08/2010,6.529,7.432,6.529,7.432,3900,
20/08/2010,6.529,6.898,6.529,6.898,11500,
23/08/2010,6.983,6.983,6.983,6.983,1300,
24/08/2010,6.945,6.983,6.945,6.983,5400,
25/08/2010,6.569,6.569,6.529,6.529,2000,
26/08/2010,6.12,6.12,6.12,6.12,400,
27/08/2010,7.586,7.586,7.586,7.586,0,
30/08/2010,5.713,6.286,5.713,6.286,7300,
31/08/2010,6.16,6.16,5.588,6.16,2600,
01/09/2010,6.201,6.201,6.12,6.12,1300,
06/09/2010,6.366,6.569,6.366,6.569,1000,
07/09/2010,6.734,6.734,6.734,6.734,100,
08/09/2010,6.569,6.569,6.569,6.569,600,
09/09/2010,6.12,6.12,6.12,6.12,6700,
10/09/2010,5.713,5.752,5.713,5.752,11100,
13/09/2010,5.423,5.752,5.382,5.752,24500,
14/09/2010,5.628,5.665,5.133,5.133,10700,
15/09/2010,5.957,5.957,5.463,5.831,7600,
16/09/2010,6.082,6.082,6.082,6.082,5100,
17/09/2010,6.082,6.16,6.082,6.16,10300,
20/09/2010,5.831,6.16,5.831,6.16,2700,
21/09/2010,5.752,5.871,5.752,5.871,3100,
22/09/2010,5.871,6.082,5.423,5.423,9100,
23/09/2010,5.957,6.451,5.957,6.451,7600,
24/09/2010,5.791,6.16,5.752,6.16,400,
27/09/2010,5.752,6.16,5.752,6.16,5100,
28/09/2010,5.871,6.12,5.871,6.12,500,
29/09/2010,5.916,5.916,5.916,5.916,300,
30/09/2010,5.916,5.916,5.916,5.916,0,
01/10/2010,5.503,5.503,5.503,5.503,1600,
04/10/2010,5.503,5.503,5.503,5.503,0,
