transDate,close,high,low,open,volume,event
22/09/2016,14.399,14.399,14.399,14.399,0,
23/09/2016,14.399,14.399,14.399,14.399,0,
26/09/2016,20.143,20.143,20.143,20.143,100,
27/09/2016,20.143,20.143,20.143,20.143,0,
28/09/2016,20.143,20.143,20.143,20.143,0,
29/09/2016,20.143,20.143,20.143,20.143,0,
30/09/2016,20.143,20.143,20.143,20.143,0,
03/10/2016,23.129,23.129,23.129,23.129,100,
04/10/2016,26.576,26.576,26.576,26.576,100,
05/10/2016,30.558,30.558,30.558,30.558,800,
06/10/2016,30.558,30.558,30.558,30.558,50,
07/10/2016,30.558,30.558,30.558,30.558,0,
10/10/2016,30.558,30.558,30.558,30.558,0,
11/10/2016,30.558,30.558,30.558,30.558,0,
12/10/2016,30.558,30.558,30.558,30.558,0,
13/10/2016,35.076,35.076,35.076,35.076,100,
14/10/2016,39.825,39.825,35.076,35.076,2200,
17/10/2016,35.23,35.23,35.23,35.23,200,
18/10/2016,35.23,35.23,35.23,35.23,1800,
19/10/2016,35.23,35.23,35.23,35.23,0,
20/10/2016,39.059,39.059,39.059,39.059,1100,
21/10/2016,39.059,39.059,39.059,39.059,0,
24/10/2016,39.059,39.059,39.059,39.059,0,
25/10/2016,39.059,39.059,39.059,39.059,0,
26/10/2016,39.059,39.059,39.059,39.059,0,
27/10/2016,39.059,39.059,39.059,39.059,0,
28/10/2016,39.059,39.059,39.059,39.059,0,
31/10/2016,38.294,38.294,33.238,33.238,400,
01/11/2016,29.409,29.486,29.409,29.486,1900,
02/11/2016,26.805,27.187,26.805,26.805,2800,
03/11/2016,31.018,31.018,23.742,23.742,2000,
04/11/2016,27.724,31.86,26.499,31.86,1200,
07/11/2016,31.093,31.093,31.093,31.093,0,
08/11/2016,33.698,33.698,32.932,32.932,2000,
09/11/2016,37.527,37.527,37.527,37.527,300,
10/11/2016,34.464,34.464,32.932,32.932,3350,
11/11/2016,33.621,33.621,33.621,33.621,0,
14/11/2016,33.621,33.621,33.621,33.621,0,
15/11/2016,33.698,33.698,29.869,29.869,200,
16/11/2016,31.783,31.783,31.783,31.783,0,
17/11/2016,31.783,31.783,31.783,31.783,0,
18/11/2016,30.635,30.635,29.486,29.486,1200,
21/11/2016,30.635,30.635,30.635,30.635,1700,
22/11/2016,34.464,34.464,31.018,31.018,700,
23/11/2016,31.018,31.018,31.018,31.018,2300,
24/11/2016,31.018,31.018,31.018,31.018,0,
25/11/2016,31.018,31.018,31.018,31.018,0,
28/11/2016,31.018,31.018,31.018,31.018,0,
29/11/2016,29.869,29.869,29.869,29.869,1000,
30/11/2016,31.018,31.018,31.018,31.018,1700,
01/12/2016,31.018,31.018,31.018,31.018,0,
02/12/2016,31.018,31.018,31.018,31.018,0,
05/12/2016,31.018,31.018,31.018,31.018,0,
06/12/2016,26.881,26.881,26.881,26.881,100,
07/12/2016,30.864,30.864,23.819,30.864,1400,
08/12/2016,30.328,30.328,30.328,30.328,0,
09/12/2016,30.328,30.328,30.328,30.328,0,
12/12/2016,30.328,30.328,30.328,30.328,0,
13/12/2016,30.328,30.328,30.328,30.328,0,
14/12/2016,30.328,30.328,30.328,30.328,0,
15/12/2016,30.328,30.328,30.328,30.328,0,
16/12/2016,30.328,30.328,30.328,30.328,0,
19/12/2016,30.328,30.328,30.328,30.328,0,
20/12/2016,30.328,30.328,30.328,30.328,0,
21/12/2016,30.328,30.328,30.328,30.328,0,
22/12/2016,26.805,26.805,26.805,26.805,1200,
23/12/2016,26.805,26.805,26.805,26.805,0,
26/12/2016,26.805,26.805,26.805,26.805,0,
27/12/2016,26.805,26.805,26.805,26.805,0,
28/12/2016,26.805,26.805,26.805,26.805,0,
29/12/2016,26.805,26.805,26.805,26.805,0,
30/12/2016,26.805,26.805,26.805,26.805,0,
03/01/2017,26.805,26.805,26.805,26.805,0,
04/01/2017,30.787,30.787,30.787,30.787,100,
05/01/2017,33.698,33.698,33.698,33.698,100,
06/01/2017,33.698,33.698,33.698,33.698,0,
09/01/2017,33.698,33.698,33.698,33.698,0,
10/01/2017,38.752,38.752,38.752,38.752,100,
11/01/2017,44.42,44.496,36.379,44.496,700,
12/01/2017,35.995,35.995,35.995,35.995,100,
13/01/2017,39.825,39.825,39.825,39.825,100,
16/01/2017,35.995,35.995,35.995,35.995,100,
17/01/2017,30.635,30.635,30.635,30.635,100,
18/01/2017,35.23,35.23,35.23,35.23,100,
19/01/2017,30.635,30.635,30.635,30.635,700,
20/01/2017,30.635,30.635,30.635,30.635,0,
23/01/2017,30.635,30.635,30.635,30.635,0,
24/01/2017,30.635,30.635,30.635,30.635,0,
25/01/2017,30.635,30.635,30.635,30.635,0,
02/02/2017,30.635,30.635,30.635,30.635,0,
03/02/2017,30.635,30.635,30.635,30.635,0,
06/02/2017,34.081,34.081,34.081,34.081,100,
07/02/2017,38.294,38.294,38.294,38.294,100,
08/02/2017,37.679,37.91,37.679,37.91,200,
09/02/2017,37.833,37.833,37.833,37.833,0,
10/02/2017,37.833,37.833,37.833,37.833,0,
13/02/2017,37.833,37.833,37.833,37.833,0,
14/02/2017,38.216,38.216,38.216,38.216,100,
15/02/2017,38.216,38.216,38.216,38.216,0,
16/02/2017,42.122,42.122,42.122,42.122,100,
17/02/2017,38.294,38.294,38.294,38.294,100,
20/02/2017,38.294,38.294,38.294,38.294,0,
21/02/2017,39.825,39.825,32.932,32.932,900,
22/02/2017,38.141,38.141,38.141,38.141,0,
23/02/2017,38.141,38.141,38.141,38.141,0,
24/02/2017,39.059,39.059,38.294,38.294,200,
27/02/2017,39.825,39.825,38.294,38.294,1000,
28/02/2017,38.294,38.294,38.294,38.294,100,
01/03/2017,35.995,39.825,35.995,39.059,1700,
02/03/2017,38.675,38.675,38.675,38.675,0,
03/03/2017,38.675,38.675,38.675,38.675,0,
06/03/2017,39.059,39.825,39.059,39.059,1400,
