transDate,close,high,low,open,volume,event
21/12/2010,21.074,21.797,20.127,21.797,83690,
22/12/2010,21.074,21.074,20.055,20.055,46800,
23/12/2010,21.074,21.074,20.707,21.074,29530,
24/12/2010,20.922,21.002,20.922,21.002,14300,
27/12/2010,19.912,20.341,19.912,20.341,50480,
28/12/2010,18.965,20.341,18.965,19.037,57700,
29/12/2010,18.019,19.618,18.019,19.618,70820,
30/12/2010,15.414,15.542,15.222,15.222,37700,
31/12/2010,16.121,16.185,15.414,16.057,12830,
04/01/2011,16.763,16.827,15.542,16.827,14110,
05/01/2011,16.699,16.699,16.377,16.57,9230,
06/01/2011,15.864,16.634,15.864,16.377,37090,
07/01/2011,15.864,15.864,15.864,15.864,5110,
10/01/2011,16.057,16.057,16.057,16.057,7200,
11/01/2011,15.414,15.992,15.286,15.992,27000,
12/01/2011,15.672,15.672,15.479,15.479,2110,
13/01/2011,16.249,16.249,15.093,15.093,2110,
14/01/2011,16.57,16.699,15.479,16.377,12300,
17/01/2011,16.121,16.377,15.928,16.057,11010,
18/01/2011,15.928,16.377,15.928,16.377,11010,
19/01/2011,16.057,16.185,15.735,16.185,30,
20/01/2011,16.313,16.377,15.607,15.607,7100,
21/01/2011,16.249,16.699,15.735,16.634,23070,
24/01/2011,15.607,15.607,15.607,15.607,260,
25/01/2011,15.735,16.313,15.607,16.313,25110,
26/01/2011,15.799,15.799,15.735,15.735,3390,
27/01/2011,16.057,16.057,15.799,15.799,3120,
28/01/2011,16.377,16.377,16.057,16.185,11120,
08/02/2011,16.377,16.377,16.377,16.377,240,
09/02/2011,15.864,16.442,15.864,16.377,22400,
10/02/2011,16.057,16.634,15.414,16.057,13060,
11/02/2011,16.057,16.057,16.057,16.057,0,
14/02/2011,15.286,15.414,15.286,15.414,5420,
15/02/2011,14.771,14.771,14.771,14.771,990,
16/02/2011,14.771,14.771,14.066,14.066,1250,
17/02/2011,14.066,14.07,14.066,14.07,6080,
18/02/2011,14.708,14.708,13.488,13.488,130,
21/02/2011,14.708,14.708,14.708,14.708,0,
22/02/2011,14.708,14.708,14.708,14.708,10,
23/02/2011,14.001,14.001,14.001,14.001,1010,
24/02/2011,13.359,13.359,13.359,13.359,4070,
25/02/2011,14.001,14.001,12.717,12.717,2010,
28/02/2011,14.001,14.001,14.001,14.001,4000,
01/03/2011,14.579,14.579,13.359,13.359,3010,
02/03/2011,15.157,15.157,13.873,13.873,4010,
03/03/2011,14.451,14.451,14.451,14.451,500,
04/03/2011,15.157,15.157,13.744,13.744,1530,
07/03/2011,14.451,14.579,14.451,14.579,920,
08/03/2011,13.744,13.809,13.744,13.809,1130,
09/03/2011,13.68,13.744,13.102,13.102,4060,
10/03/2011,13.488,13.488,13.038,13.038,14590,
11/03/2011,13.809,13.873,13.744,13.744,7390,
14/03/2011,13.488,13.873,13.488,13.873,1020,
15/03/2011,13.488,14.13,13.359,14.13,6490,
16/03/2011,14.13,14.13,13.488,13.488,2010,
17/03/2011,13.423,14.13,13.423,14.13,35780,
18/03/2011,13.488,13.488,13.488,13.488,2000,
21/03/2011,14.001,14.001,12.845,13.359,5060,
22/03/2011,14.001,14.001,14.001,14.001,0,
23/03/2011,13.488,13.49,13.488,13.49,1000,
24/03/2011,13.937,13.937,12.974,13.167,4320,
25/03/2011,13.295,13.295,13.295,13.295,390,
28/03/2011,13.488,13.488,13.488,13.488,40,
29/03/2011,14.066,14.13,13.744,13.744,36250,
30/03/2011,14.515,14.515,14.451,14.515,10420,
31/03/2011,14.13,14.708,14.13,14.708,4610,
01/04/2011,14.13,14.13,14.001,14.13,5890,
04/04/2011,14.066,14.13,13.937,13.937,21330,
05/04/2011,13.775,14.138,13.775,14.138,8420,DIVIDEND
06/04/2011,13.775,13.993,13.63,13.775,2050,
07/04/2011,13.775,13.775,13.775,13.775,5710,
08/04/2011,13.558,13.703,13.558,13.703,18720,
13/04/2011,12.905,13.051,12.905,13.051,9010,
14/04/2011,12.325,13.486,12.325,13.486,20890,
15/04/2011,12.325,12.325,12.325,12.325,2000,
18/04/2011,12.181,12.325,12.181,12.325,502,
19/04/2011,11.963,11.963,11.963,11.963,4000,
20/04/2011,11.89,12.035,11.601,11.601,5530,
21/04/2011,11.601,11.89,11.601,11.89,4310,
22/04/2011,11.601,11.601,11.601,11.601,10,
25/04/2011,11.601,11.673,11.093,11.093,12220,
26/04/2011,11.528,11.601,11.528,11.601,5000,
27/04/2011,11.746,11.746,11.383,11.746,12620,
28/04/2011,11.89,11.89,11.166,11.166,110,
29/04/2011,11.31,11.31,11.31,11.31,40,
04/05/2011,10.875,11.528,10.875,11.528,50,
05/05/2011,10.875,10.875,10.875,10.875,500,
06/05/2011,10.803,11.383,10.803,11.383,2080,
09/05/2011,10.296,11.166,10.296,10.875,1420,
10/05/2011,9.861,10.368,9.861,10.222,2710,
11/05/2011,9.498,9.5,9.498,9.5,1000,
12/05/2011,9.063,9.28,9.063,9.28,1390,
13/05/2011,8.773,9.063,8.773,9.063,6630,
16/05/2011,8.483,8.773,8.483,8.628,3610,
17/05/2011,8.555,8.555,8.337,8.337,5020,
18/05/2011,8.7,8.7,8.628,8.628,900,
19/05/2011,8.337,8.7,8.337,8.7,3730,
20/05/2011,8.265,8.265,8.265,8.265,3000,
23/05/2011,8.41,8.41,8.12,8.193,5010,
24/05/2011,8.193,8.265,8.193,8.265,2290,
25/05/2011,7.976,7.976,7.976,7.976,5620,
26/05/2011,7.83,8.337,7.83,7.83,1550,
27/05/2011,8.12,8.12,8.12,8.12,10,
30/05/2011,8.193,8.193,7.976,7.976,80,
31/05/2011,7.976,8.12,7.976,8.12,3040,
01/06/2011,7.83,8.337,7.83,8.265,440,
02/06/2011,8.193,8.193,8.193,8.193,3460,
03/06/2011,7.83,7.83,7.83,7.83,190,
06/06/2011,7.541,7.541,7.541,7.541,60,
07/06/2011,7.902,7.902,7.83,7.83,320,
08/06/2011,7.902,7.902,7.902,7.902,0,
09/06/2011,8.193,8.193,8.193,8.193,210,
10/06/2011,8.555,8.555,8.555,8.555,40,
13/06/2011,8.918,8.918,8.7,8.7,400,
14/06/2011,9.353,9.353,9.28,9.28,6710,
15/06/2011,9.353,9.353,9.353,9.353,750,
16/06/2011,9.353,9.353,9.353,9.353,520,
17/06/2011,9.28,9.353,9.28,9.353,170,
20/06/2011,9.28,9.28,9.28,9.28,0,
21/06/2011,9.426,9.426,9.28,9.28,400,
22/06/2011,9.861,9.861,9.715,9.715,5100,
23/06/2011,10.005,10.005,10.005,10.005,140,
24/06/2011,10.296,10.296,10.296,10.296,100,
27/06/2011,10.296,10.296,10.296,10.296,0,
28/06/2011,10.296,10.296,10.296,10.296,0,
29/06/2011,10.296,10.296,10.296,10.296,0,
30/06/2011,10.296,10.296,10.296,10.296,0,
01/07/2011,10.296,10.296,10.296,10.296,0,
04/07/2011,10.296,10.296,10.296,10.296,0,
05/07/2011,10.15,10.15,10.15,10.15,200,
06/07/2011,10.15,10.15,10.15,10.15,0,
07/07/2011,9.643,9.643,9.643,9.643,1000,
08/07/2011,9.788,9.788,9.788,9.788,1000,
11/07/2011,9.788,9.788,9.788,9.788,0,
12/07/2011,9.788,9.788,9.788,9.788,0,
13/07/2011,9.788,9.788,9.788,9.788,0,
14/07/2011,9.788,9.788,9.788,9.788,0,
15/07/2011,9.788,9.788,9.788,9.788,0,
18/07/2011,9.788,9.788,9.788,9.788,0,
19/07/2011,9.788,9.788,9.788,9.788,0,
20/07/2011,10.15,10.15,9.57,9.57,1010,
21/07/2011,10.15,10.15,10.15,10.15,0,
22/07/2011,9.788,9.788,9.788,9.788,550,
25/07/2011,9.788,9.788,9.788,9.788,0,
26/07/2011,9.788,9.788,9.788,9.788,0,
27/07/2011,9.788,9.788,9.788,9.788,0,
28/07/2011,9.788,9.788,9.788,9.788,0,
29/07/2011,9.788,9.788,9.788,9.788,0,
01/08/2011,9.788,9.788,9.788,9.788,0,
02/08/2011,9.788,9.788,9.788,9.788,0,
03/08/2011,9.788,9.788,9.788,9.788,0,
04/08/2011,9.788,9.788,9.788,9.788,0,
05/08/2011,9.788,9.788,9.788,9.788,0,
08/08/2011,9.788,9.788,9.788,9.788,0,
09/08/2011,9.426,9.426,9.426,9.426,1500,
10/08/2011,9.788,9.788,9.28,9.28,100,
11/08/2011,9.788,9.788,9.788,9.788,0,
12/08/2011,9.426,9.426,9.353,9.353,1610,
15/08/2011,9.426,9.426,9.426,9.426,100,
16/08/2011,9.426,9.426,9.426,9.426,1600,
17/08/2011,9.426,9.57,9.28,9.28,2520,
18/08/2011,9.426,9.426,9.426,9.426,1600,
19/08/2011,9.063,9.135,9.063,9.135,2500,
22/08/2011,9.208,9.208,8.7,9.208,1700,
23/08/2011,9.208,9.208,9.208,9.208,0,
24/08/2011,9.208,9.208,9.208,9.208,0,
25/08/2011,9.208,9.208,9.208,9.208,0,
26/08/2011,9.426,9.426,9.353,9.353,450,
29/08/2011,9.788,9.788,9.788,9.788,10,
30/08/2011,10.15,10.15,10.15,10.15,210,
31/08/2011,10.15,10.15,10.15,10.15,0,
01/09/2011,10.078,10.078,10.078,10.078,170,
05/09/2011,10.078,10.078,10.078,10.078,0,
06/09/2011,9.643,9.643,9.643,9.643,30,
