transDate,close,high,low,open,volume,event
30/09/2010,12.026,12.439,12.026,12.026,205700,
01/10/2010,11.425,12.403,11.425,12.403,120220,
04/10/2010,10.86,11.088,10.86,10.901,43300,
05/10/2010,10.86,10.86,10.372,10.372,193400,
06/10/2010,11.239,11.239,10.901,10.977,99810,
07/10/2010,11.088,11.163,10.901,10.901,95910,
08/10/2010,10.937,11.088,10.901,11.088,108420,
11/10/2010,10.977,11.123,10.977,11.088,164130,
12/10/2010,11.011,11.163,10.901,11.163,77620,
13/10/2010,10.937,11.046,10.901,11.046,86770,
14/10/2010,10.709,10.937,10.709,10.86,107830,
15/10/2010,10.709,11.046,10.487,11.046,175820,
18/10/2010,10.563,10.709,10.522,10.709,59680,
19/10/2010,10.563,10.75,10.447,10.563,44110,
20/10/2010,10.634,10.634,10.487,10.563,16180,
21/10/2010,10.87,10.986,10.79,10.986,97000,DIVIDEND
22/10/2010,10.905,10.986,10.79,10.87,112840,
25/10/2010,10.87,10.87,10.75,10.831,103020,
26/10/2010,11.063,11.063,10.87,10.986,114110,
27/10/2010,10.947,11.26,10.79,10.986,126370,
28/10/2010,10.905,11.102,10.715,10.87,145560,
29/10/2010,10.947,11.063,10.831,10.905,139920,
01/11/2010,10.673,10.79,10.634,10.634,84500,
02/11/2010,10.986,10.986,10.482,10.598,50950,
03/11/2010,10.75,10.905,10.75,10.79,62110,
04/11/2010,10.79,10.87,10.75,10.75,123900,
05/11/2010,11.063,11.063,10.715,11.063,136310,
08/11/2010,11.063,11.26,10.986,11.26,121600,
09/11/2010,10.831,11.102,10.75,11.063,179080,
10/11/2010,10.831,10.905,10.75,10.905,211700,
11/11/2010,10.79,11.137,10.715,10.831,145120,
12/11/2010,10.482,10.87,10.442,10.87,195640,
15/11/2010,10.482,10.558,10.402,10.482,260440,
16/11/2010,10.558,10.558,10.442,10.482,149980,
17/11/2010,10.558,10.673,10.442,10.673,139430,
18/11/2010,10.79,10.87,10.518,10.558,156370,
19/11/2010,10.673,10.947,10.634,10.79,315460,
22/11/2010,10.673,10.673,10.558,10.673,95850,
23/11/2010,10.598,10.715,10.598,10.673,109500,
24/11/2010,10.518,10.79,10.482,10.673,86750,
25/11/2010,10.79,10.905,10.518,10.87,157150,
26/11/2010,10.634,10.87,10.598,10.87,142760,
29/11/2010,10.558,11.063,10.362,11.063,382380,
30/11/2010,10.79,11.021,10.558,11.021,210840,
01/12/2010,10.75,10.831,10.634,10.79,114370,
02/12/2010,10.75,10.831,10.673,10.831,89160,
03/12/2010,10.75,10.905,10.715,10.87,100210,
06/12/2010,11.178,11.26,10.362,10.75,234560,
07/12/2010,11.722,11.722,11.021,11.137,437240,
08/12/2010,11.995,12.071,11.409,11.409,147950,
09/12/2010,12.418,12.576,11.409,11.643,272010,
10/12/2010,12.772,13.002,11.799,12.963,419550,
13/12/2010,12.152,12.368,11.385,11.461,306440,
14/12/2010,12.344,12.534,12.075,12.075,185320,
15/12/2010,11.995,12.615,11.995,12.615,260830,
16/12/2010,11.409,12.227,11.409,11.409,402090,
17/12/2010,11.879,11.879,10.947,11.409,252930,
20/12/2010,11.838,12.152,11.335,11.879,200640,
21/12/2010,11.643,11.954,11.26,11.451,189780,
22/12/2010,11.063,11.682,11.063,11.294,134240,
23/12/2010,10.87,11.294,10.518,10.634,130020,
24/12/2010,10.75,10.947,10.482,10.87,227800,
27/12/2010,11.063,11.063,10.326,10.75,440670,
28/12/2010,11.526,11.526,10.715,10.87,327530,
29/12/2010,11.722,11.995,10.986,11.26,252490,
30/12/2010,11.139,11.721,11.139,11.139,184990,
31/12/2010,11.179,11.373,10.868,10.868,258530,
