transDate,close,high,low,open,volume,event
08/09/2010,12.82,14.69,12.82,12.82,1181130,
09/09/2010,13.45,13.45,13.27,13.36,2797970,
10/09/2010,14.07,14.07,14.07,14.07,1353710,
13/09/2010,14.25,14.69,13.8,14.69,707490,
14/09/2010,13.53,13.98,13.53,13.8,813000,
15/09/2010,12.91,13.36,12.91,13.0,898640,
16/09/2010,13.27,13.53,12.73,12.91,402070,
17/09/2010,13.36,13.53,13.0,13.27,427980,
20/09/2010,13.0,13.36,12.91,13.36,414710,
21/09/2010,12.82,13.09,12.64,13.0,568170,
22/09/2010,12.91,12.91,12.73,12.82,358880,
23/09/2010,12.55,13.0,12.38,12.82,511310,
24/09/2010,12.47,12.64,12.29,12.38,202710,
27/09/2010,12.02,12.47,12.02,12.47,244000,
28/09/2010,11.84,12.29,11.84,12.11,350700,
29/09/2010,11.58,11.93,11.58,11.84,477010,
30/09/2010,11.58,11.58,11.4,11.4,246410,
01/10/2010,11.4,11.49,11.4,11.4,255840,
04/10/2010,10.86,11.49,10.86,11.49,313610,
05/10/2010,10.77,10.86,10.51,10.51,295820,
06/10/2010,11.04,11.04,10.68,11.04,324040,
07/10/2010,10.86,11.13,10.77,10.95,199550,
08/10/2010,10.68,10.86,10.6,10.68,137870,
11/10/2010,10.68,10.77,10.6,10.68,176300,
12/10/2010,10.33,10.68,10.33,10.6,72030,
13/10/2010,10.24,10.42,10.15,10.15,231980,
14/10/2010,10.15,10.33,10.15,10.33,241340,
15/10/2010,10.42,10.51,10.06,10.15,466120,
18/10/2010,10.42,10.51,10.33,10.42,144240,
19/10/2010,10.24,10.42,10.15,10.42,233230,
20/10/2010,9.79,10.15,9.79,10.15,327650,
21/10/2010,9.79,9.88,9.44,9.71,639990,
22/10/2010,9.71,9.79,9.53,9.79,274960,
25/10/2010,9.71,9.71,9.53,9.71,147780,
26/10/2010,9.88,10.15,9.71,9.79,343770,
27/10/2010,9.62,9.97,9.62,9.88,145590,
28/10/2010,9.44,9.62,9.44,9.62,128370,
29/10/2010,9.44,9.53,9.26,9.53,82920,
01/11/2010,9.26,9.35,9.26,9.26,56870,
02/11/2010,8.99,9.26,8.99,9.26,79640,
03/11/2010,8.9,8.99,8.73,8.99,115990,
04/11/2010,8.82,8.9,8.73,8.9,79730,
05/11/2010,9.17,9.17,8.99,8.99,187290,
08/11/2010,9.08,9.53,8.82,9.53,164000,
09/11/2010,8.73,8.9,8.64,8.9,218740,
10/11/2010,8.9,9.08,8.73,8.99,181150,
11/11/2010,8.64,8.99,8.64,8.99,125370,
12/11/2010,8.37,8.55,8.28,8.46,296640,
15/11/2010,8.37,8.55,8.1,8.37,165870,
16/11/2010,8.01,8.37,8.01,8.1,149400,
17/11/2010,8.01,8.28,7.84,7.84,142930,
18/11/2010,8.28,8.37,8.19,8.19,120600,
19/11/2010,8.19,8.37,8.1,8.28,106690,
22/11/2010,8.01,8.01,7.84,7.84,112940,
23/11/2010,8.1,8.1,7.84,7.84,49110,
24/11/2010,8.19,8.19,8.01,8.01,68060,
25/11/2010,8.28,8.46,8.1,8.19,250360,
26/11/2010,8.28,8.46,8.28,8.37,135030,
29/11/2010,8.37,8.37,8.19,8.28,59920,
30/11/2010,8.73,8.73,8.64,8.64,469430,
01/12/2010,8.73,8.9,8.46,8.73,395960,
02/12/2010,9.08,9.08,8.73,8.73,374120,
03/12/2010,9.53,9.53,9.53,9.53,360930,
06/12/2010,9.97,9.97,9.79,9.97,677290,
07/12/2010,10.06,10.42,9.97,9.97,1127680,
08/12/2010,9.62,10.15,9.62,9.97,512940,
09/12/2010,9.79,9.97,9.35,9.62,306510,
10/12/2010,10.24,10.24,9.71,9.79,663780,
13/12/2010,10.68,10.68,10.42,10.68,558870,
14/12/2010,10.15,10.6,10.15,10.24,375880,
15/12/2010,10.33,10.6,9.97,9.97,746020,
16/12/2010,9.88,10.06,9.88,9.88,438400,
17/12/2010,9.97,10.06,9.53,9.88,177090,
20/12/2010,9.62,9.97,9.53,9.97,245580,
21/12/2010,10.06,10.06,9.88,10.06,863340,
22/12/2010,10.42,10.51,10.42,10.51,979970,
23/12/2010,9.97,10.42,9.97,10.42,288770,
24/12/2010,9.71,10.15,9.71,9.97,143620,
27/12/2010,9.71,9.97,9.71,9.97,154400,
28/12/2010,10.06,10.15,9.71,9.71,199680,
29/12/2010,9.79,10.24,9.79,10.24,139900,
30/12/2010,9.795,9.884,9.705,9.884,120040,
31/12/2010,9.795,9.884,9.705,9.884,110510,
04/01/2011,9.705,9.973,9.705,9.884,62470,
05/01/2011,9.349,9.705,9.349,9.616,183350,
06/01/2011,9.349,9.616,9.349,9.616,112520,
07/01/2011,9.26,9.438,9.171,9.438,84100,
10/01/2011,9.082,9.26,8.993,9.082,102920,
11/01/2011,8.726,8.904,8.726,8.904,148290,
12/01/2011,8.904,8.993,8.815,8.904,100260,
13/01/2011,8.993,9.082,8.815,8.815,96180,
14/01/2011,8.993,9.171,8.815,8.904,267500,
17/01/2011,9.082,9.349,8.993,9.082,193640,
18/01/2011,9.082,9.171,8.993,9.082,171360,
19/01/2011,8.904,9.26,8.904,9.26,161310,
20/01/2011,8.904,8.993,8.815,8.815,51400,
21/01/2011,8.904,8.993,8.815,8.904,59810,
24/01/2011,8.637,8.904,8.637,8.904,47290,
25/01/2011,8.459,8.726,8.459,8.637,78500,
26/01/2011,8.459,8.637,8.37,8.637,71890,
27/01/2011,8.637,8.637,8.459,8.459,86020,
28/01/2011,8.726,8.726,8.637,8.637,84220,
08/02/2011,8.904,8.904,8.726,8.904,40210,
09/02/2011,8.904,8.993,8.815,8.993,32090,
10/02/2011,8.904,8.904,8.726,8.726,73580,
11/02/2011,8.548,8.904,8.459,8.726,2286420,
14/02/2011,8.548,8.726,8.548,8.637,192150,
15/02/2011,8.459,8.637,8.459,8.548,84680,
16/02/2011,8.459,8.637,8.37,8.637,54720,
17/02/2011,8.103,8.281,8.103,8.192,615840,
18/02/2011,8.014,8.192,7.925,8.014,271640,
21/02/2011,7.658,7.747,7.658,7.747,261530,
22/02/2011,7.658,7.658,7.39,7.39,153180,
23/02/2011,7.658,7.925,7.568,7.925,124250,
24/02/2011,7.479,7.658,7.301,7.39,95750,
25/02/2011,7.479,7.747,7.479,7.479,103240,
28/02/2011,7.39,7.658,7.39,7.658,228920,
01/03/2011,7.212,7.301,7.212,7.212,118160,
02/03/2011,6.856,7.212,6.856,7.123,588050,
03/03/2011,6.589,6.856,6.589,6.678,246380,
04/03/2011,6.678,6.856,6.589,6.767,76230,
07/03/2011,6.678,6.767,6.411,6.678,127780,
08/03/2011,6.589,6.678,6.5,6.678,178270,
09/03/2011,6.5,6.767,6.5,6.767,268110,
10/03/2011,6.767,6.767,6.5,6.5,307000,
11/03/2011,7.034,7.034,6.767,6.767,483450,
14/03/2011,6.767,7.034,6.767,7.034,258080,
15/03/2011,6.589,6.767,6.589,6.767,245570,
16/03/2011,6.589,6.767,6.5,6.5,192440,
17/03/2011,6.589,6.678,6.411,6.589,154510,
18/03/2011,6.767,6.856,6.589,6.589,169040,
21/03/2011,6.678,6.856,6.678,6.767,205400,
22/03/2011,6.856,6.856,6.678,6.678,292980,
23/03/2011,7.6,7.7,7.6,7.6,77010,
24/03/2011,6.767,6.767,6.678,6.767,165950,
25/03/2011,6.678,6.767,6.678,6.767,141750,
28/03/2011,6.767,6.856,6.678,6.767,90480,
29/03/2011,6.767,6.856,6.678,6.856,115500,
30/03/2011,6.678,6.678,6.589,6.678,111440,
31/03/2011,6.767,6.767,6.589,6.678,61410,
01/04/2011,6.589,6.767,6.589,6.589,120160,
04/04/2011,6.589,6.767,6.589,6.678,215210,
05/04/2011,6.589,6.678,6.589,6.589,188270,
06/04/2011,6.589,6.678,6.589,6.678,58240,
07/04/2011,6.589,6.678,6.5,6.589,191560,
08/04/2011,6.589,6.678,6.5,6.5,121880,
13/04/2011,6.5,6.678,6.5,6.678,25700,
14/04/2011,6.5,6.589,6.5,6.5,70640,
15/04/2011,6.5,6.589,6.5,6.5,188180,
18/04/2011,6.5,6.589,6.411,6.589,16324,
19/04/2011,6.411,6.411,6.411,6.411,137940,
20/04/2011,6.411,6.5,6.411,6.5,78110,
21/04/2011,6.411,6.411,6.322,6.411,213560,
22/04/2011,6.5,6.5,6.233,6.322,193910,
25/04/2011,6.5,6.589,6.411,6.5,60200,
26/04/2011,6.411,6.5,6.411,6.5,65220,
27/04/2011,6.233,6.411,6.233,6.233,107270,
28/04/2011,6.233,6.411,6.233,6.322,47400,
29/04/2011,6.322,6.322,6.322,6.322,32190,
04/05/2011,6.322,6.322,6.233,6.322,81030,
05/05/2011,6.411,6.411,6.233,6.411,135910,
06/05/2011,6.411,6.5,6.322,6.411,65700,
09/05/2011,6.589,6.678,6.411,6.5,96270,
10/05/2011,6.5,6.678,6.5,6.589,91100,
11/05/2011,6.589,6.589,6.411,6.5,46310,
12/05/2011,6.589,6.589,6.5,6.589,34370,
13/05/2011,6.5,6.589,6.5,6.589,113550,
16/05/2011,6.3,6.6,6.3,6.6,80910,DIVIDEND
17/05/2011,6.1,6.3,6.1,6.3,74170,
18/05/2011,6.0,6.1,5.9,6.1,60670,
19/05/2011,5.9,6.1,5.9,5.9,60010,
20/05/2011,5.8,6.0,5.8,5.9,113950,
23/05/2011,5.6,5.8,5.6,5.8,44670,
24/05/2011,5.4,5.6,5.4,5.6,126690,
25/05/2011,5.2,5.3,5.2,5.3,38510,
26/05/2011,5.4,5.4,5.0,5.1,141900,
27/05/2011,5.6,5.6,5.4,5.6,272290,
30/05/2011,5.4,5.7,5.4,5.7,91840,
31/05/2011,5.3,5.5,5.2,5.5,75030,
01/06/2011,5.4,5.5,5.3,5.3,91130,
02/06/2011,5.6,5.6,5.5,5.6,238300,
03/06/2011,5.6,5.8,5.5,5.8,252650,
06/06/2011,5.6,5.6,5.5,5.6,105220,
07/06/2011,5.7,5.8,5.6,5.7,232130,
08/06/2011,5.6,5.7,5.6,5.7,222670,
09/06/2011,5.6,5.7,5.5,5.5,142500,
10/06/2011,5.8,5.8,5.7,5.8,172600,
13/06/2011,5.9,6.0,5.8,5.8,190590,
14/06/2011,5.9,6.1,5.8,5.9,541480,
15/06/2011,5.7,5.9,5.7,5.8,147270,
16/06/2011,5.6,5.7,5.5,5.6,303860,
17/06/2011,5.5,5.6,5.4,5.6,262270,
20/06/2011,5.4,5.6,5.3,5.5,112750,
21/06/2011,5.5,5.5,5.3,5.5,29580,
22/06/2011,5.4,5.6,5.4,5.6,172880,
23/06/2011,5.3,5.5,5.3,5.4,123560,
24/06/2011,5.3,5.4,5.3,5.4,20210,
27/06/2011,5.3,5.3,5.2,5.3,67000,
28/06/2011,5.3,5.3,5.2,5.3,87380,
