transDate,close,high,low,open,volume,event
07/10/2009,9.4,10.0,9.4,10.0,4200,
08/10/2009,9.5,9.5,9.5,9.5,8000,
09/10/2009,9.7,9.7,9.5,9.7,17095,
12/10/2009,10.2,10.3,9.7,9.7,100,
13/10/2009,10.2,10.2,9.6,9.6,2030,
14/10/2009,9.5,10.0,9.5,9.8,1900,
15/10/2009,10.0,10.0,9.5,9.7,117265,
16/10/2009,10.7,10.7,10.0,10.0,35119,
19/10/2009,11.0,11.0,11.0,11.0,0,
20/10/2009,12.1,12.1,12.1,12.1,4850,
21/10/2009,13.3,13.3,13.1,13.3,10150,
22/10/2009,14.0,14.6,14.0,14.6,8350,
23/10/2009,12.7,15.5,12.7,15.0,9400,
26/10/2009,12.3,12.3,12.3,12.3,12400,
27/10/2009,11.1,11.1,11.1,11.1,8700,
28/10/2009,10.0,11.0,10.0,10.3,10900,
29/10/2009,10.0,10.3,9.5,9.6,4420,
30/10/2009,10.0,10.7,10.0,10.5,7000,
02/11/2009,10.0,10.0,10.0,10.0,2000,
03/11/2009,10.0,10.0,10.0,10.0,0,
04/11/2009,10.5,10.5,9.8,9.8,2000,
05/11/2009,11.2,11.2,11.2,11.2,10,
06/11/2009,10.5,12.3,10.1,12.3,620,
09/11/2009,10.2,10.2,10.2,10.2,1000,
10/11/2009,10.6,10.6,9.2,9.5,3200,
11/11/2009,11.0,11.0,11.0,11.0,10,
12/11/2009,10.0,10.0,10.0,10.0,3250,
13/11/2009,9.0,10.2,9.0,10.0,2010,
16/11/2009,9.0,9.0,9.0,9.0,300,
17/11/2009,9.0,9.5,9.0,9.0,3200,
18/11/2009,9.0,9.0,9.0,9.0,0,
19/11/2009,9.0,9.0,9.0,9.0,0,
20/11/2009,8.6,8.6,8.6,8.6,1000,
23/11/2009,8.6,8.6,8.6,8.6,2100,
24/11/2009,8.6,8.6,8.6,8.6,0,
25/11/2009,7.8,7.8,7.8,7.8,10,
26/11/2009,7.8,7.8,7.8,7.8,0,
27/11/2009,7.8,7.8,7.8,7.8,1000,
30/11/2009,7.8,7.8,7.8,7.8,3000,
01/12/2009,8.5,8.5,8.5,8.5,10,
02/12/2009,7.8,7.8,7.8,7.8,1000,
03/12/2009,8.5,8.5,8.5,8.5,10,
04/12/2009,9.3,9.3,9.3,9.3,10,
07/12/2009,8.4,8.4,8.4,8.4,1150,
08/12/2009,9.2,9.2,9.2,9.2,10,
09/12/2009,9.2,9.2,9.2,9.2,0,
10/12/2009,9.2,9.2,9.2,9.2,0,
11/12/2009,8.3,8.3,8.3,8.3,1000,
14/12/2009,9.0,9.0,9.0,9.0,10,
15/12/2009,8.1,8.1,8.1,8.1,1000,
16/12/2009,7.3,7.5,7.3,7.5,1600,
17/12/2009,6.6,6.6,6.6,6.6,2000,
18/12/2009,6.0,6.6,6.0,6.6,6800,
21/12/2009,6.0,6.0,6.0,6.0,1100,
22/12/2009,6.0,6.0,5.4,6.0,8050,
23/12/2009,6.1,6.1,6.1,6.1,80,
24/12/2009,6.7,6.7,6.7,6.7,2500,
25/12/2009,7.3,7.3,7.3,7.3,1450,
28/12/2009,8.0,8.0,7.0,7.0,1150,
29/12/2009,7.0,7.0,7.0,7.0,800,
30/12/2009,7.7,7.7,7.7,7.7,850,
31/12/2009,7.3,7.5,7.1,7.5,3200,
04/01/2010,7.9,7.9,7.5,7.9,9050,
05/01/2010,7.5,8.6,7.5,8.0,3640,
06/01/2010,6.9,7.0,6.9,7.0,2290,
07/01/2010,6.3,6.3,6.3,6.3,210,
08/01/2010,6.3,6.3,6.3,6.3,0,
11/01/2010,5.7,6.9,5.7,6.9,40,
12/01/2010,6.6,6.6,6.6,6.6,2480,
13/01/2010,6.0,7.2,6.0,7.2,40,
14/01/2010,6.9,6.9,6.9,6.9,10,
15/01/2010,6.9,6.9,6.9,6.9,0,
18/01/2010,6.3,6.4,6.3,6.3,2500,
19/01/2010,5.7,6.9,5.7,6.9,190,
20/01/2010,6.7,6.9,6.7,6.9,1010,
21/01/2010,6.1,6.1,6.1,6.1,2990,
22/01/2010,5.5,5.5,5.5,5.5,20,
25/01/2010,5.0,5.0,5.0,5.0,20,
26/01/2010,5.5,5.5,5.5,5.5,30,
27/01/2010,6.0,6.0,6.0,6.0,620,
28/01/2010,5.4,6.6,5.4,6.6,40,
29/01/2010,5.2,6.2,5.2,6.2,2360,
01/02/2010,6.0,6.0,6.0,6.0,10,
02/02/2010,6.6,6.6,6.6,6.6,10,
03/02/2010,7.2,7.2,6.0,6.0,120,
04/02/2010,6.3,6.3,6.3,6.3,10,
05/02/2010,6.3,6.3,6.3,6.3,0,
08/02/2010,6.9,6.9,6.9,6.9,100,
09/02/2010,6.9,6.9,6.9,6.9,0,
10/02/2010,6.4,7.0,6.4,6.9,2500,
11/02/2010,6.7,6.7,6.7,6.7,10,
12/02/2010,6.6,6.6,6.6,6.6,1000,
22/02/2010,6.6,7.0,6.6,7.0,1400,
23/02/2010,6.5,7.2,6.4,7.2,1550,
24/02/2010,6.5,6.6,6.5,6.6,180,
25/02/2010,6.0,6.0,6.0,6.0,10,
26/02/2010,6.2,6.6,6.1,6.2,14420,
01/03/2010,6.8,6.8,6.8,6.8,2500,
02/03/2010,6.3,6.6,6.3,6.6,2000,
03/03/2010,6.9,7.0,6.9,7.0,700,
04/03/2010,6.4,7.0,6.4,6.9,2300,
05/03/2010,6.1,6.2,6.1,6.2,10500,
08/03/2010,6.7,6.7,5.5,6.3,570,
09/03/2010,6.5,6.5,6.5,6.5,500,
10/03/2010,6.8,6.8,6.4,6.8,2300,
11/03/2010,6.0,6.0,6.0,6.0,1000,
12/03/2010,6.5,6.5,6.5,6.5,25,
15/03/2010,6.1,6.1,5.9,6.0,2500,
16/03/2010,6.0,6.0,6.0,6.0,1000,
17/03/2010,5.9,6.0,5.8,6.0,6000,
18/03/2010,6.4,6.4,5.4,5.4,30,
19/03/2010,6.2,6.2,6.2,6.2,110,
22/03/2010,6.8,6.8,5.6,6.8,50,
23/03/2010,5.7,5.7,5.7,5.7,20,
24/03/2010,6.1,6.2,5.2,6.2,2530,
25/03/2010,6.7,6.7,5.5,5.5,90,
26/03/2010,5.7,6.2,5.7,6.2,1030,
29/03/2010,6.8,6.8,6.8,6.8,10,
30/03/2010,6.2,6.2,6.2,6.2,2500,
31/03/2010,6.9,6.9,6.5,6.5,160,
01/04/2010,7.1,7.1,6.4,6.4,350,
02/04/2010,6.4,6.5,6.4,6.4,2450,
05/04/2010,5.9,6.5,5.9,6.5,140,
06/04/2010,6.9,6.9,5.8,5.8,60,
07/04/2010,6.5,6.6,6.1,6.3,26700,
08/04/2010,5.9,7.1,5.9,6.3,4760,
09/04/2010,6.9,7.0,6.7,6.7,9855,
12/04/2010,7.1,7.1,6.5,6.5,50600,
13/04/2010,7.4,7.5,7.1,7.3,8950,
14/04/2010,6.5,7.9,6.5,7.9,55,
15/04/2010,6.2,7.4,6.2,7.4,14500,
16/04/2010,7.0,7.0,7.0,7.0,570,
19/04/2010,7.7,7.7,7.6,7.6,11310,
20/04/2010,8.4,8.4,8.4,8.4,8900,
21/04/2010,9.2,9.2,9.2,9.2,30700,
22/04/2010,9.2,9.2,9.0,9.2,2300,
26/04/2010,8.3,8.3,8.3,8.3,0,
27/04/2010,8.3,9.1,7.5,7.6,7630,
28/04/2010,8.5,8.6,8.3,8.3,6870,
29/04/2010,8.4,9.0,8.4,9.0,4010,
04/05/2010,9.2,9.2,7.6,7.6,32024,
