transDate,close,high,low,open,volume,event
09/09/2009,8.872,8.872,8.872,8.872,500,
10/09/2009,9.345,9.345,9.345,9.345,200,
11/09/2009,9.814,9.814,9.814,9.814,500,
14/09/2009,10.318,10.318,10.318,10.318,700,
15/09/2009,10.846,10.846,10.846,10.846,500,
16/09/2009,11.403,11.403,11.403,11.403,800,
17/09/2009,11.984,11.984,11.984,11.984,6700,
18/09/2009,12.569,12.569,12.569,12.569,2000,
21/09/2009,13.237,13.237,13.237,13.237,500,
22/09/2009,13.903,13.903,13.903,13.903,1000,
23/09/2009,14.6,14.6,14.6,14.6,1000,
24/09/2009,15.296,15.296,15.296,15.296,930,
25/09/2009,15.991,15.991,15.991,15.991,5960,
28/09/2009,16.825,16.825,16.825,16.825,500,
29/09/2009,17.66,17.66,17.66,17.66,2700,
30/09/2009,18.353,18.353,18.353,18.353,6320,
01/10/2009,19.327,19.327,19.327,19.327,8200,
02/10/2009,20.299,20.299,20.299,20.299,93380,
05/10/2009,21.134,21.134,21.134,21.134,9620,
06/10/2009,22.248,22.248,22.248,22.248,1010,
07/10/2009,23.359,23.359,23.359,23.359,6510,
08/10/2009,24.471,24.471,24.471,24.471,74700,
09/10/2009,25.722,25.722,25.722,25.722,42680,
12/10/2009,26.698,26.698,26.698,26.698,21030,
13/10/2009,28.087,28.087,28.087,28.087,23460,
14/10/2009,29.479,29.479,29.479,29.479,24290,
15/10/2009,30.591,30.591,30.591,30.591,18310,
16/10/2009,31.98,31.98,31.98,31.98,39210,
19/10/2009,30.591,33.417,30.334,33.417,148490,
20/10/2009,29.479,30.771,29.479,29.735,100340,
21/10/2009,30.591,30.591,28.021,28.021,72320,
22/10/2009,30.591,31.103,29.304,31.103,26480,
23/10/2009,29.479,29.479,29.479,29.479,26840,
26/10/2009,28.087,28.087,28.087,28.087,3740,
27/10/2009,26.698,26.698,26.698,26.698,530,
28/10/2009,25.584,25.584,25.584,25.584,2110,
29/10/2009,24.334,24.334,24.334,24.334,2880,
30/10/2009,23.222,23.477,23.222,23.222,70590,
02/11/2009,21.968,21.968,21.968,21.968,29490,
03/11/2009,20.857,20.857,20.857,20.857,6300,
04/11/2009,19.884,20.782,19.884,19.884,42350,
05/11/2009,20.857,20.857,19.055,19.055,30800,
06/11/2009,21.83,21.83,21.574,21.83,61680,
09/11/2009,20.857,20.857,20.857,20.857,6130,
10/11/2009,19.745,19.745,19.745,19.745,7420,
11/11/2009,18.772,18.772,18.772,18.772,12100,
12/11/2009,19.606,19.733,18.835,18.835,53980,
13/11/2009,20.022,20.022,18.738,18.738,18320,
