transDate,close,high,low,open,volume,event
09/01/2008,10.199,10.778,10.199,10.199,96510,
10/01/2008,9.707,10.199,9.707,9.952,63590,
11/01/2008,9.873,10.118,9.707,9.707,60040,
14/01/2008,9.462,10.118,9.462,9.707,28870,
15/01/2008,9.049,9.213,9.049,9.213,8710,
16/01/2008,9.462,9.462,9.049,9.049,24170,
17/01/2008,9.296,9.544,9.131,9.462,27040,
18/01/2008,9.462,9.462,9.296,9.378,18510,
21/01/2008,9.049,9.462,9.049,9.462,27850,
22/01/2008,8.635,9.213,8.635,8.718,30590,
23/01/2008,8.228,8.309,8.228,8.309,23670,
24/01/2008,7.855,8.392,7.855,8.228,41820,
25/01/2008,7.979,8.146,7.897,7.979,23710,
28/01/2008,8.309,8.309,8.228,8.309,42340,
29/01/2008,8.718,8.718,8.718,8.718,1170,
30/01/2008,9.131,9.131,9.131,9.131,260,
31/01/2008,9.544,9.544,9.544,9.544,22480,
01/02/2008,9.952,9.952,9.952,9.952,15470,
12/02/2008,10.447,10.447,10.447,10.447,8490,
13/02/2008,10.365,10.778,9.952,10.778,146090,
14/02/2008,10.859,10.859,10.778,10.778,76170,
15/02/2008,11.351,11.351,10.694,10.694,81380,
18/02/2008,10.859,10.859,10.859,10.859,22300,
19/02/2008,10.447,10.694,10.365,10.365,72820,
20/02/2008,9.952,10.447,9.952,9.952,53480,
21/02/2008,9.462,9.462,9.462,9.462,30660,
22/02/2008,9.049,9.049,9.049,9.049,62780,
25/02/2008,9.462,9.462,9.378,9.378,48970,
26/02/2008,9.049,9.049,9.049,9.049,40020,
27/02/2008,8.635,9.213,8.635,8.635,63030,
28/02/2008,8.469,8.718,8.309,8.718,40500,
29/02/2008,8.228,8.469,8.228,8.469,40020,
03/03/2008,7.816,8.062,7.816,8.062,45940,
04/03/2008,7.446,7.446,7.446,7.446,7560,
05/03/2008,7.077,7.077,7.077,7.077,8730,
06/03/2008,7.401,7.401,7.401,7.401,12550,
07/03/2008,7.776,7.776,7.776,7.776,103810,
10/03/2008,7.897,8.146,7.816,8.146,79070,
11/03/2008,7.528,8.017,7.528,7.528,65280,
12/03/2008,7.732,7.816,7.528,7.732,34470,
13/03/2008,7.816,7.897,7.732,7.897,24120,
14/03/2008,7.486,7.732,7.486,7.61,65610,
17/03/2008,7.115,7.155,7.115,7.115,44800,
18/03/2008,6.785,6.785,6.785,6.785,16800,
19/03/2008,6.459,6.746,6.459,6.498,72570,
20/03/2008,6.169,6.417,6.169,6.251,111310,
21/03/2008,5.963,6.047,5.926,5.926,78880,
24/03/2008,5.677,5.677,5.677,5.677,93240,
25/03/2008,5.429,5.429,5.429,5.429,89070,
26/03/2008,5.677,5.677,5.386,5.677,59990,
27/03/2008,5.718,5.718,5.718,5.718,15130,
28/03/2008,5.76,5.76,5.718,5.718,120,
31/03/2008,5.799,5.799,5.799,5.799,2020,
01/04/2008,5.842,5.842,5.842,5.842,10020,
02/04/2008,5.882,5.882,5.882,5.882,5320,
03/04/2008,5.926,5.926,5.926,5.926,5010,
04/04/2008,5.963,5.963,5.963,5.963,10,
07/04/2008,6.047,6.047,6.047,6.047,5000,
08/04/2008,6.047,6.128,5.963,6.128,117780,
09/04/2008,5.963,6.047,5.963,6.047,32590,
10/04/2008,5.882,5.882,5.882,5.882,5450,
11/04/2008,5.799,5.799,5.799,5.799,8070,
16/04/2008,5.718,5.718,5.718,5.718,3220,
17/04/2008,5.799,5.799,5.634,5.634,62840,
18/04/2008,5.718,5.799,5.718,5.718,20260,
21/04/2008,5.634,5.634,5.634,5.634,7360,
22/04/2008,5.552,5.552,5.552,5.552,3050,
23/04/2008,5.469,5.469,5.469,5.469,200,
24/04/2008,5.386,5.429,5.386,5.386,39480,
25/04/2008,5.348,5.469,5.309,5.348,27990,
28/04/2008,5.386,5.429,5.266,5.266,32860,
29/04/2008,5.386,5.469,5.305,5.469,21190,
05/05/2008,5.305,5.386,5.305,5.348,12000,
06/05/2008,5.225,5.225,5.225,5.225,3200,
07/05/2008,5.143,5.143,5.143,5.143,60,
08/05/2008,5.06,5.06,5.06,5.06,10,
09/05/2008,4.978,4.978,4.978,4.978,20,
12/05/2008,4.896,4.896,4.896,4.896,500,
13/05/2008,4.813,4.813,4.813,4.813,10,
14/05/2008,4.729,4.813,4.729,4.813,500,
15/05/2008,4.648,4.648,4.648,4.648,10,
16/05/2008,4.566,4.566,4.566,4.566,5190,
19/05/2008,4.482,4.566,4.482,4.566,710,
20/05/2008,4.401,4.401,4.401,4.401,10,
21/05/2008,4.319,4.319,4.319,4.319,10,
22/05/2008,4.278,4.278,4.278,4.278,2000,
23/05/2008,4.196,4.196,4.196,4.196,1050,
26/05/2008,4.113,4.113,4.113,4.113,520,
27/05/2008,3.388,3.388,3.388,3.388,0,
28/05/2008,3.388,3.388,3.388,3.388,0,
29/05/2008,3.388,3.388,3.388,3.388,0,
30/05/2008,4.031,4.031,4.031,4.031,910,
02/06/2008,3.956,3.956,3.956,3.956,30,
03/06/2008,3.881,3.881,3.881,3.881,5010,
04/06/2008,3.806,3.806,3.806,3.806,6170,
05/06/2008,3.74,3.74,3.74,3.74,7020,DIVIDEND
06/06/2008,3.673,3.673,3.673,3.673,8400,
09/06/2008,3.602,3.602,3.602,3.602,2010,
10/06/2008,3.532,3.532,3.532,3.532,10,
11/06/2008,3.602,3.602,3.466,3.466,43200,
12/06/2008,3.673,3.673,3.673,3.673,22490,
13/06/2008,3.74,3.74,3.74,3.74,4040,
16/06/2008,3.812,3.812,3.812,3.812,3760,
17/06/2008,3.879,3.879,3.879,3.879,200,
18/06/2008,3.812,3.948,3.812,3.948,46570,
19/06/2008,3.7,3.753,3.7,3.753,3510,
20/06/2008,3.602,3.602,3.595,3.595,20310,
23/06/2008,3.7,3.7,3.557,3.557,32640,
24/06/2008,3.812,3.812,3.812,3.812,810,
25/06/2008,3.918,3.918,3.918,3.918,6540,
26/06/2008,3.918,4.027,3.918,4.027,86110,
27/06/2008,4.027,4.027,3.812,3.831,50200,
30/06/2008,4.146,4.146,3.918,4.146,14330,
01/07/2008,4.262,4.262,4.262,4.262,9200,
02/07/2008,4.385,4.385,4.314,4.385,65660,
03/07/2008,4.509,4.509,4.509,4.509,9100,
04/07/2008,4.639,4.639,4.639,4.639,9420,
07/07/2008,4.601,4.778,4.562,4.778,98190,
08/07/2008,4.726,4.726,4.492,4.601,100440,
09/07/2008,4.868,4.868,4.868,4.868,20,
10/07/2008,4.986,4.986,4.986,4.986,3250,
11/07/2008,5.137,5.137,5.137,5.137,750,
14/07/2008,5.281,5.281,5.281,5.281,24450,
15/07/2008,5.429,5.429,5.429,5.429,12300,
16/07/2008,5.579,5.579,5.579,5.579,50970,
17/07/2008,5.726,5.726,5.726,5.726,8760,
18/07/2008,5.873,5.873,5.579,5.579,127430,
21/07/2008,5.726,5.726,5.726,5.726,35330,
22/07/2008,5.579,5.579,5.579,5.579,22300,
23/07/2008,5.429,5.429,5.429,5.429,7920,
24/07/2008,5.281,5.579,5.281,5.331,215060,
25/07/2008,5.429,5.429,5.281,5.429,131290,
28/07/2008,5.579,5.579,5.579,5.579,8310,
29/07/2008,5.726,5.726,5.726,5.726,700,
30/07/2008,5.873,5.873,5.726,5.873,118720,
31/07/2008,6.023,6.023,5.926,6.023,118550,
01/08/2008,6.169,6.169,6.169,6.169,35200,
04/08/2008,6.169,6.319,6.023,6.319,147500,
05/08/2008,6.023,6.07,6.023,6.023,142880,
06/08/2008,5.972,5.972,5.972,5.972,49500,DIVIDEND
07/08/2008,6.07,6.121,6.07,6.121,57390,
08/08/2008,6.22,6.22,6.121,6.22,84620,
11/08/2008,6.37,6.37,6.37,6.37,10750,
12/08/2008,6.515,6.515,6.515,6.515,45580,
13/08/2008,6.663,6.663,6.612,6.663,55460,
14/08/2008,6.859,6.859,6.859,6.859,81970,
15/08/2008,7.057,7.057,7.057,7.057,6600,
18/08/2008,7.401,7.401,7.401,7.401,12340,
19/08/2008,7.75,7.75,7.75,7.75,96220,
20/08/2008,8.094,8.094,8.094,8.094,92050,
21/08/2008,8.492,8.492,8.295,8.392,82390,
22/08/2008,8.687,8.885,8.687,8.885,102520,
25/08/2008,9.084,9.084,8.885,9.084,115780,
26/08/2008,8.738,9.528,8.738,9.528,53040,
27/08/2008,8.738,9.131,8.539,8.539,129940,
28/08/2008,8.34,8.438,8.34,8.392,98290,
29/08/2008,8.34,8.34,7.947,7.947,73620,
03/09/2008,8.738,8.738,8.687,8.738,35910,
04/09/2008,8.687,8.885,8.34,8.885,21030,
05/09/2008,8.295,8.34,8.295,8.295,19540,
08/09/2008,7.897,7.996,7.897,7.897,65590,
09/09/2008,8.243,8.243,7.505,7.505,55740,
10/09/2008,7.845,8.295,7.845,8.191,33780,
11/09/2008,7.505,7.505,7.505,7.505,13760,
12/09/2008,7.159,7.159,7.159,7.159,16480,
15/09/2008,6.813,7.505,6.813,6.813,68060,
16/09/2008,6.515,6.813,6.515,6.813,105720,
17/09/2008,6.22,6.417,6.22,6.22,46120,
18/09/2008,5.926,6.22,5.926,5.926,65320,
19/09/2008,6.22,6.22,5.926,5.926,5020,
22/09/2008,6.515,6.515,6.515,6.515,210,
23/09/2008,6.813,6.813,6.813,6.813,81780,
24/09/2008,6.911,7.108,6.911,6.911,43240,
25/09/2008,7.257,7.257,7.009,7.009,36990,
26/09/2008,7.602,7.602,7.505,7.602,75820,
29/09/2008,7.649,7.947,7.602,7.897,56230,
30/09/2008,7.305,7.305,7.305,7.305,20590,
01/10/2008,7.206,7.356,6.959,7.305,43080,
02/10/2008,7.401,7.401,7.206,7.401,10550,
03/10/2008,7.356,7.401,7.159,7.159,13800,
