transDate,close,high,low,open,volume,event
17/07/2017,12.448,13.554,11.756,13.554,32500,
18/07/2017,11.203,13.139,11.203,13.139,12400,
19/07/2017,11.133,11.133,10.097,10.857,16200,
20/07/2017,10.027,10.166,10.027,10.027,16300,
21/07/2017,10.027,10.027,10.027,10.027,5300,
24/07/2017,10.097,10.097,10.027,10.097,2500,
25/07/2017,10.027,10.097,9.889,10.097,7000,
26/07/2017,9.958,9.958,9.958,9.958,1100,
27/07/2017,9.958,9.958,9.958,9.958,0,
28/07/2017,9.819,9.819,9.819,9.819,1200,
31/07/2017,9.682,9.682,9.682,9.682,1800,
01/08/2017,9.543,9.682,9.543,9.543,4300,
02/08/2017,9.543,9.543,9.543,9.543,0,
03/08/2017,9.405,9.543,9.405,9.543,2000,
04/08/2017,9.405,10.027,9.405,10.027,200,
07/08/2017,9.543,9.543,9.543,9.543,100,
08/08/2017,9.405,9.613,9.405,9.613,3000,
09/08/2017,9.405,9.958,9.335,9.958,12200,
10/08/2017,9.474,9.543,9.405,9.474,17000,
11/08/2017,9.543,9.613,9.543,9.613,2000,
14/08/2017,10.441,10.441,9.543,9.543,17500,
15/08/2017,10.373,10.373,9.958,9.958,6800,
16/08/2017,10.373,10.373,10.373,10.373,6000,
17/08/2017,10.373,10.373,10.304,10.373,4300,
18/08/2017,10.373,10.373,10.027,10.097,10000,
21/08/2017,10.824,11.199,10.298,11.199,300,DIVIDEND
22/08/2017,9.997,11.125,9.997,11.125,1300,
23/08/2017,10.148,10.148,10.148,10.148,2000,
24/08/2017,10.223,10.749,9.997,9.997,300,
25/08/2017,10.523,10.523,10.523,10.523,300,
28/08/2017,10.223,10.223,10.223,10.223,10700,
29/08/2017,10.223,10.223,10.223,10.223,0,
30/08/2017,10.223,10.223,10.223,10.223,8500,
31/08/2017,10.223,10.223,10.223,10.223,100,
01/09/2017,10.223,10.298,10.223,10.298,2900,
05/09/2017,10.223,10.223,10.223,10.223,100,
06/09/2017,10.448,10.448,9.246,9.246,3200,
07/09/2017,10.448,10.448,10.448,10.448,0,
08/09/2017,10.448,10.448,10.448,10.448,0,
11/09/2017,10.223,10.223,9.471,9.471,200,
12/09/2017,10.523,10.523,10.523,10.523,100,
13/09/2017,9.546,9.546,9.546,9.546,100,
14/09/2017,9.546,9.546,9.546,9.546,0,
15/09/2017,9.546,9.546,9.546,9.546,0,
18/09/2017,9.772,10.148,9.546,10.148,5000,
19/09/2017,9.621,9.621,9.621,9.621,1000,
20/09/2017,9.621,9.621,9.621,9.621,700,
21/09/2017,9.621,9.621,9.02,9.621,13000,
22/09/2017,9.621,9.621,9.621,9.621,0,
25/09/2017,9.621,9.621,9.621,9.621,0,
26/09/2017,9.471,9.471,9.471,9.471,4400,
27/09/2017,9.02,9.02,8.719,8.719,5100,
28/09/2017,9.02,9.02,9.02,9.02,0,
29/09/2017,9.02,9.02,9.02,9.02,0,
02/10/2017,8.118,8.118,8.118,8.118,100,
03/10/2017,8.869,8.869,8.869,8.869,100,
04/10/2017,8.043,8.043,8.043,8.043,100,
05/10/2017,8.043,8.043,8.043,8.043,1000,
06/10/2017,8.043,8.043,8.043,8.043,0,
09/10/2017,8.794,8.794,8.794,8.794,100,
10/10/2017,9.621,9.621,8.043,8.043,200,
11/10/2017,8.719,8.719,8.719,8.719,100,
12/10/2017,8.719,8.719,8.719,8.719,0,
13/10/2017,9.546,9.546,9.546,9.546,100,
16/10/2017,9.02,9.02,9.02,9.02,500,
17/10/2017,8.118,8.118,8.118,8.118,100,
18/10/2017,8.869,8.869,8.869,8.869,100,
19/10/2017,8.043,8.043,8.043,8.043,100,
20/10/2017,8.794,8.794,8.794,8.794,100,
23/10/2017,9.621,9.621,7.968,7.968,400,
24/10/2017,8.719,8.719,8.719,8.719,1000,
25/10/2017,8.268,9.546,7.968,7.968,300,
26/10/2017,8.644,8.644,8.268,8.268,300,
27/10/2017,7.818,7.818,7.818,7.818,100,
30/10/2017,7.818,7.818,7.818,7.818,0,
31/10/2017,7.818,7.818,7.818,7.818,0,
01/11/2017,7.818,7.818,7.818,7.818,0,
02/11/2017,7.818,7.818,7.818,7.818,0,
03/11/2017,8.268,8.268,7.065,7.065,3100,
06/11/2017,7.517,7.517,7.517,7.517,100,
07/11/2017,8.268,8.268,8.268,8.268,100,
08/11/2017,7.517,7.517,7.517,7.517,100,
09/11/2017,8.268,8.268,8.268,8.268,100,
10/11/2017,8.794,8.794,8.794,8.794,400,
13/11/2017,9.02,9.02,8.945,8.945,4000,
14/11/2017,8.869,9.02,8.869,9.02,3300,
15/11/2017,8.869,8.869,8.869,8.869,2700,
16/11/2017,8.869,8.869,8.043,8.043,4900,
17/11/2017,8.869,8.869,8.869,8.869,0,
20/11/2017,8.118,8.118,8.118,8.118,100,
21/11/2017,8.118,8.193,8.118,8.193,1600,
22/11/2017,8.118,8.118,8.118,8.118,0,
23/11/2017,8.118,8.118,8.118,8.118,0,
24/11/2017,7.517,7.517,7.517,7.517,100,
27/11/2017,8.268,8.268,8.268,8.268,100,
28/11/2017,7.667,7.667,7.667,7.667,100,
29/11/2017,8.418,8.418,8.418,8.418,100,
30/11/2017,9.02,9.02,8.794,8.794,3900,
01/12/2017,9.02,9.02,9.02,9.02,100,
04/12/2017,9.02,9.02,8.268,8.268,600,
05/12/2017,8.344,8.344,8.193,8.193,7000,
06/12/2017,8.344,8.344,8.344,8.344,0,
