transDate,close,high,low,open,volume,event
05/06/2018,9.875,9.875,9.875,9.875,1500,
06/06/2018,9.875,9.875,9.875,9.875,0,
07/06/2018,9.875,9.875,9.875,9.875,0,
08/06/2018,9.875,9.875,9.875,9.875,0,
11/06/2018,9.875,9.875,9.875,9.875,0,
12/06/2018,9.875,9.875,9.875,9.875,0,
13/06/2018,8.425,8.425,8.425,8.425,100,
14/06/2018,8.425,8.425,8.425,8.425,0,
15/06/2018,8.425,8.425,8.425,8.425,0,
18/06/2018,8.425,8.425,8.425,8.425,0,
19/06/2018,7.247,7.247,7.247,7.247,100,
20/06/2018,6.16,6.16,6.16,6.16,100,
21/06/2018,5.255,5.255,5.255,5.255,500,
22/06/2018,4.529,4.529,4.529,4.529,100,
25/06/2018,3.896,3.896,3.896,3.896,1000,
26/06/2018,3.353,3.353,3.353,3.353,3000,
27/06/2018,3.533,3.533,2.989,3.17,2600,
28/06/2018,3.261,3.533,2.718,3.533,1300,
29/06/2018,2.809,2.809,2.809,2.809,700,
02/07/2018,2.446,2.537,2.446,2.537,3700,
03/07/2018,2.174,2.265,2.174,2.265,400,
04/07/2018,2.174,2.174,2.174,2.174,0,
05/07/2018,1.993,1.993,1.993,1.993,1800,
06/07/2018,2.174,2.265,1.812,2.265,2100,
09/07/2018,2.083,2.083,2.083,2.083,0,
10/07/2018,2.083,2.083,2.083,2.083,0,
11/07/2018,2.174,2.355,2.174,2.355,300,
12/07/2018,2.265,2.265,2.265,2.265,0,
13/07/2018,2.265,2.265,2.265,2.265,0,
16/07/2018,2.446,2.446,2.355,2.355,600,
17/07/2018,2.446,2.446,2.446,2.446,100,
18/07/2018,2.083,2.083,2.083,2.083,100,
19/07/2018,2.083,2.083,2.083,2.083,0,
20/07/2018,2.355,2.355,2.355,2.355,500,
23/07/2018,2.355,2.355,2.355,2.355,0,
24/07/2018,2.446,2.446,2.446,2.446,500,
25/07/2018,2.174,2.355,2.174,2.174,28600,
26/07/2018,2.265,2.265,2.265,2.265,0,
27/07/2018,2.265,2.265,2.265,2.265,0,
30/07/2018,2.265,2.265,2.265,2.265,0,
31/07/2018,2.265,2.265,2.265,2.265,1400,
01/08/2018,2.265,2.265,2.265,2.265,20,
02/08/2018,2.265,2.265,2.265,2.265,0,
03/08/2018,2.265,2.265,2.265,2.265,0,
06/08/2018,2.265,2.265,2.265,2.265,0,
07/08/2018,2.265,2.265,2.265,2.265,0,
08/08/2018,2.265,2.265,2.265,2.265,0,
09/08/2018,2.537,2.537,2.537,2.537,900,
10/08/2018,2.537,2.537,2.537,2.537,0,
13/08/2018,2.537,2.537,2.537,2.537,0,
14/08/2018,2.537,2.537,2.537,2.537,2,
15/08/2018,2.537,2.537,2.537,2.537,0,
16/08/2018,2.537,2.537,2.537,2.537,2,
17/08/2018,2.537,2.537,2.537,2.537,0,
20/08/2018,2.537,2.537,2.537,2.537,0,
21/08/2018,2.537,2.537,2.537,2.537,0,
22/08/2018,2.537,2.537,2.537,2.537,0,
23/08/2018,2.537,2.537,2.537,2.537,0,
24/08/2018,2.809,2.809,2.809,2.809,100,
27/08/2018,3.17,3.17,3.17,3.17,100,
28/08/2018,3.533,3.533,3.533,3.533,100,
29/08/2018,3.533,3.533,3.533,3.533,0,
30/08/2018,3.533,3.533,3.533,3.533,0,
31/08/2018,3.533,3.533,3.533,3.533,0,
04/09/2018,3.896,3.896,3.896,3.896,100,
05/09/2018,3.896,3.896,3.896,3.896,0,
06/09/2018,3.896,3.896,3.896,3.896,0,
07/09/2018,4.348,4.348,4.348,4.348,100,
10/09/2018,4.892,4.892,4.892,4.892,100,
11/09/2018,4.892,4.892,4.892,4.892,0,
12/09/2018,4.892,4.892,4.892,4.892,0,
13/09/2018,4.892,4.892,4.892,4.892,0,
14/09/2018,4.892,4.892,4.892,4.892,0,
17/09/2018,4.892,4.892,4.892,4.892,0,
18/09/2018,4.892,4.892,4.892,4.892,0,
19/09/2018,4.892,4.892,4.892,4.892,0,
20/09/2018,4.892,4.892,4.892,4.892,0,
21/09/2018,5.344,5.344,5.344,5.344,100,
24/09/2018,5.344,5.344,5.344,5.344,0,
25/09/2018,5.344,5.344,5.344,5.344,0,
26/09/2018,5.344,5.344,5.344,5.344,0,
27/09/2018,5.344,5.344,5.344,5.344,0,
28/09/2018,5.344,5.344,5.344,5.344,0,
01/10/2018,4.62,4.62,4.62,4.62,200,
02/10/2018,5.255,5.255,5.255,5.255,100,
03/10/2018,5.435,5.435,5.435,5.435,800,
04/10/2018,5.435,5.435,5.435,5.435,0,
05/10/2018,5.435,5.435,5.435,5.435,0,
08/10/2018,5.435,5.435,5.435,5.435,0,
09/10/2018,5.435,5.435,5.435,5.435,0,
10/10/2018,5.435,5.435,5.435,5.435,0,
11/10/2018,5.435,5.435,5.435,5.435,0,
12/10/2018,5.435,5.435,5.435,5.435,0,
15/10/2018,5.435,5.435,5.435,5.435,0,
16/10/2018,5.435,5.435,5.435,5.435,0,
17/10/2018,5.435,5.435,5.435,5.435,0,
18/10/2018,5.435,5.435,5.435,5.435,0,
19/10/2018,5.435,5.435,5.435,5.435,0,
