transDate,close,high,low,open,volume,event
29/10/2014,12.706,12.706,12.706,12.706,9000,
30/10/2014,13.941,13.941,13.941,13.941,100,
31/10/2014,15.319,15.319,15.319,15.319,200,
03/11/2014,16.844,16.844,16.844,16.844,119000,
04/11/2014,16.7,18.514,15.973,18.152,39900,
05/11/2014,18.152,18.369,17.062,17.062,62100,
06/11/2014,16.336,17.644,16.336,17.644,31000,
07/11/2014,15.319,16.7,15.319,16.627,8100,
10/11/2014,14.375,16.627,14.303,16.627,12600,
11/11/2014,13.796,13.868,13.07,13.868,23400,
12/11/2014,12.997,13.07,12.415,12.997,43900,
13/11/2014,12.415,13.431,12.415,12.561,37900,
14/11/2014,12.053,12.415,11.69,12.415,21400,
17/11/2014,12.27,12.27,11.544,11.98,11900,
18/11/2014,11.98,12.27,11.69,12.27,7200,
19/11/2014,11.399,11.908,11.399,11.908,9400,
20/11/2014,12.487,12.487,11.835,11.908,13500,
21/11/2014,12.343,12.343,11.69,12.343,11700,
24/11/2014,11.762,11.98,11.762,11.98,23000,
25/11/2014,11.617,11.98,11.617,11.617,14900,
26/11/2014,11.036,11.617,11.036,11.617,16200,
27/11/2014,11.326,11.326,10.963,11.036,4500,
28/11/2014,11.835,11.835,11.326,11.544,16200,
01/12/2014,11.835,11.835,10.818,11.472,113500,
02/12/2014,12.343,12.343,11.182,11.326,47300,
03/12/2014,13.578,13.578,12.343,12.415,51500,
04/12/2014,13.578,14.303,13.578,13.65,55100,
05/12/2014,13.796,13.941,13.214,13.504,48000,
08/12/2014,12.706,14.158,12.706,13.504,74500,
09/12/2014,11.472,12.126,11.472,12.053,35500,
10/12/2014,11.98,11.98,11.472,11.472,37800,
11/12/2014,11.762,11.762,11.69,11.762,1900,
12/12/2014,12.053,12.126,11.762,11.762,4000,
15/12/2014,12.126,12.197,11.98,12.197,12500,
16/12/2014,11.98,12.126,11.69,12.126,5200,
17/12/2014,11.835,11.98,11.326,11.762,35900,
18/12/2014,11.617,12.27,10.673,10.673,8100,
19/12/2014,11.908,11.908,11.835,11.835,3400,
22/12/2014,11.835,11.835,11.835,11.835,100,
23/12/2014,11.617,11.617,11.254,11.617,1500,
24/12/2014,11.69,11.69,11.182,11.617,7600,
25/12/2014,11.182,11.69,11.182,11.69,11500,
26/12/2014,11.254,11.617,11.254,11.472,5300,
29/12/2014,11.254,11.254,10.891,10.963,10400,
30/12/2014,11.399,11.399,10.818,10.963,21000,
31/12/2014,11.544,11.544,11.544,11.544,2200,
05/01/2015,11.109,11.544,11.109,11.544,7900,
06/01/2015,11.326,11.326,11.326,11.326,300,
07/01/2015,11.326,11.326,11.326,11.326,3400,
08/01/2015,11.326,11.472,11.326,11.472,4700,
09/01/2015,11.544,11.544,11.544,11.544,300,
12/01/2015,10.963,10.963,10.963,10.963,2000,
13/01/2015,11.326,11.326,11.182,11.254,1200,
14/01/2015,11.182,11.399,11.182,11.326,1700,
15/01/2015,11.036,11.036,11.036,11.036,1700,
16/01/2015,11.399,11.399,11.399,11.399,200,
19/01/2015,11.399,11.399,11.109,11.109,16400,
20/01/2015,12.053,12.197,11.399,11.399,70900,
21/01/2015,12.126,12.126,11.762,12.053,300,
22/01/2015,12.415,12.634,12.343,12.343,30500,
23/01/2015,12.415,12.415,12.126,12.126,14500,
26/01/2015,12.415,12.415,12.197,12.415,21000,
27/01/2015,11.908,12.415,11.908,12.415,41100,
28/01/2015,12.197,12.197,12.126,12.126,2500,
29/01/2015,12.27,12.27,11.617,12.27,12200,
30/01/2015,12.27,12.27,12.27,12.27,0,
02/02/2015,11.399,11.617,11.399,11.617,9500,
03/02/2015,11.399,11.399,11.399,11.399,3200,
04/02/2015,10.891,11.182,10.818,11.182,29900,
05/02/2015,10.963,10.963,10.528,10.818,17400,
06/02/2015,11.109,11.109,10.891,10.963,4100,
09/02/2015,11.182,11.182,11.036,11.109,2700,
10/02/2015,11.254,11.254,11.109,11.109,1500,
11/02/2015,11.617,11.617,11.326,11.399,4400,
12/02/2015,11.617,11.617,11.254,11.254,1500,
13/02/2015,11.617,11.617,11.617,11.617,3700,
24/02/2015,11.835,11.835,11.835,11.835,600,
25/02/2015,11.326,11.617,11.326,11.544,14700,
26/02/2015,11.326,11.326,11.182,11.326,5700,
27/02/2015,11.399,11.472,11.399,11.472,6000,
02/03/2015,11.472,11.472,11.399,11.399,3000,
03/03/2015,11.544,11.617,11.472,11.472,6000,
04/03/2015,11.617,11.617,11.544,11.617,6000,
05/03/2015,11.617,11.617,11.544,11.617,6000,
06/03/2015,11.617,11.617,11.617,11.617,22100,
09/03/2015,12.126,12.126,11.617,11.617,13700,
10/03/2015,11.98,12.197,11.98,12.126,8500,
11/03/2015,12.053,12.053,11.98,11.98,800,
12/03/2015,12.053,12.053,11.69,11.908,19100,
13/03/2015,11.835,12.053,11.835,12.053,6000,
16/03/2015,12.415,12.415,11.98,11.98,5700,
17/03/2015,12.415,12.415,12.343,12.343,6300,
18/03/2015,12.997,13.07,12.487,12.487,47900,
19/03/2015,12.997,12.997,12.997,12.997,0,
20/03/2015,12.924,12.997,12.924,12.997,17300,
23/03/2015,12.852,12.852,12.706,12.852,12800,
24/03/2015,12.852,12.852,12.27,12.343,18600,
25/03/2015,12.852,12.852,11.98,12.053,5200,
26/03/2015,12.852,12.852,12.852,12.852,0,
27/03/2015,12.852,12.852,12.852,12.852,0,
30/03/2015,11.835,12.126,11.835,12.126,11600,
31/03/2015,12.27,12.27,11.835,11.835,600,
01/04/2015,12.197,12.343,12.053,12.343,21600,
02/04/2015,12.415,12.487,12.126,12.197,44500,
03/04/2015,12.343,12.415,12.27,12.415,19000,
06/04/2015,12.343,12.487,12.343,12.487,22200,
07/04/2015,12.487,12.487,12.415,12.487,11100,
08/04/2015,12.561,12.634,12.487,12.561,40400,
09/04/2015,12.706,12.779,12.561,12.634,38700,
10/04/2015,13.07,13.07,12.779,12.779,34200,
13/04/2015,12.924,13.141,12.924,13.07,24300,
14/04/2015,12.924,12.924,12.924,12.924,4600,
15/04/2015,12.924,13.742,12.924,13.742,7200,DIVIDEND
16/04/2015,12.596,13.006,12.515,13.006,8100,
17/04/2015,12.596,13.006,12.596,13.006,8400,
20/04/2015,12.679,12.842,12.351,12.842,13300,
21/04/2015,12.515,12.596,12.351,12.351,4600,
22/04/2015,12.515,12.596,12.106,12.596,5700,
23/04/2015,12.434,12.434,12.188,12.188,4100,
24/04/2015,12.434,12.434,12.106,12.434,1600,
27/04/2015,12.434,12.434,11.779,11.779,1800,
04/05/2015,12.269,12.434,11.779,12.434,14200,
05/05/2015,12.269,12.434,11.861,12.434,4400,
06/05/2015,12.188,12.188,11.942,11.942,2100,
07/05/2015,12.269,12.269,11.942,11.942,300,
08/05/2015,12.269,12.434,12.188,12.351,3000,
11/05/2015,12.269,12.269,12.269,12.269,0,
12/05/2015,12.269,12.434,11.861,12.434,6000,
13/05/2015,12.269,12.269,12.269,12.269,2000,
14/05/2015,12.269,12.269,12.269,12.269,1000,
15/05/2015,12.269,12.269,12.269,12.269,0,
18/05/2015,12.269,12.269,11.861,11.861,700,
19/05/2015,12.269,12.269,11.861,11.861,700,
20/05/2015,11.861,11.861,11.861,11.861,2600,
21/05/2015,11.861,11.861,11.861,11.861,2100,
22/05/2015,11.861,11.861,11.861,11.861,3000,
25/05/2015,11.942,12.188,11.861,11.861,4500,
26/05/2015,12.106,12.106,12.024,12.024,1400,
27/05/2015,11.942,11.942,11.942,11.942,4900,
28/05/2015,12.188,12.188,11.942,11.942,600,
29/05/2015,12.188,12.188,12.188,12.188,0,
01/06/2015,12.188,12.188,12.188,12.188,1200,
02/06/2015,11.861,11.942,11.861,11.942,2200,
03/06/2015,11.861,11.942,11.861,11.942,1600,
04/06/2015,11.861,11.861,11.861,11.861,2100,
05/06/2015,11.861,11.861,11.861,11.861,0,
08/06/2015,11.615,11.696,10.797,11.534,16600,
09/06/2015,11.615,11.779,11.534,11.534,5200,
10/06/2015,11.615,11.696,11.615,11.696,600,
11/06/2015,11.615,11.615,11.615,11.615,200,
12/06/2015,11.615,11.615,11.123,11.615,1700,
15/06/2015,11.779,12.434,11.615,12.269,13100,
16/06/2015,12.106,12.269,12.106,12.269,3700,
17/06/2015,12.106,12.106,12.106,12.106,0,
18/06/2015,11.534,11.534,11.534,11.534,2100,
19/06/2015,12.188,12.188,12.188,12.188,200,
22/06/2015,12.679,13.006,12.596,13.006,1100,
23/06/2015,12.679,12.679,12.679,12.679,0,
24/06/2015,12.679,12.679,12.679,12.679,0,
25/06/2015,12.679,12.679,12.679,12.679,0,
26/06/2015,12.679,12.679,12.679,12.679,0,
29/06/2015,12.679,12.679,12.679,12.679,0,
30/06/2015,12.679,12.679,12.679,12.679,0,
01/07/2015,12.679,12.679,12.679,12.679,0,
02/07/2015,12.679,12.679,12.679,12.679,0,
03/07/2015,12.106,12.106,11.451,12.106,300,
06/07/2015,12.106,12.106,12.106,12.106,0,
07/07/2015,12.106,12.106,12.106,12.106,1000,
08/07/2015,12.106,12.106,12.106,12.106,0,
09/07/2015,12.106,12.106,11.779,11.779,2200,
10/07/2015,11.779,11.779,11.451,11.696,7400,
13/07/2015,12.106,12.106,12.106,12.106,100,
14/07/2015,12.106,12.106,12.106,12.106,0,
15/07/2015,12.106,12.106,12.106,12.106,0,
16/07/2015,12.106,12.106,12.106,12.106,0,
17/07/2015,12.106,12.106,12.106,12.106,0,
20/07/2015,12.024,12.024,11.043,11.123,5100,
21/07/2015,12.024,12.024,12.024,12.024,0,
22/07/2015,11.861,11.861,11.861,11.861,8000,
23/07/2015,11.861,12.024,11.615,11.942,10200,
24/07/2015,11.861,11.861,11.615,11.615,3100,
27/07/2015,11.861,11.942,11.861,11.942,200,
28/07/2015,11.779,11.861,11.615,11.861,6100,
29/07/2015,11.779,11.779,11.451,11.779,2300,
30/07/2015,11.779,11.779,11.696,11.696,500,
31/07/2015,11.696,11.779,11.696,11.779,700,
03/08/2015,11.696,11.696,11.696,11.696,200,
04/08/2015,11.696,11.779,11.696,11.696,13900,
05/08/2015,11.696,11.779,11.696,11.779,300,
06/08/2015,11.779,12.024,11.779,11.779,14400,
07/08/2015,11.779,11.861,11.779,11.779,1200,
10/08/2015,11.779,11.861,11.779,11.861,3100,
11/08/2015,11.861,11.861,11.779,11.861,2800,
12/08/2015,11.696,11.696,11.615,11.696,7300,
13/08/2015,11.779,11.779,11.779,11.779,3200,
14/08/2015,11.861,11.861,11.861,11.861,100,
17/08/2015,11.779,11.861,11.615,11.861,500,
18/08/2015,11.779,11.779,11.534,11.534,300,
19/08/2015,11.779,11.779,11.779,11.779,100,
20/08/2015,11.779,11.779,11.779,11.779,0,
21/08/2015,11.779,11.779,11.451,11.451,11100,
24/08/2015,11.534,11.534,11.288,11.451,3800,
25/08/2015,11.534,11.534,11.534,11.534,0,
26/08/2015,11.615,11.615,11.615,11.615,100,
27/08/2015,11.615,11.615,11.615,11.615,0,
28/08/2015,11.615,11.615,11.615,11.615,0,
31/08/2015,11.615,11.615,11.615,11.615,0,
01/09/2015,11.615,11.615,11.37,11.37,1200,
03/09/2015,11.615,11.615,11.451,11.451,1500,
