transDate,close,high,low,open,volume,event
18/12/2006,4.08,4.08,4.08,4.08,2700,
19/12/2006,4.154,4.154,4.154,4.154,1400,
20/12/2006,4.206,4.206,4.206,4.206,900,
21/12/2006,4.282,4.282,4.282,4.282,1500,
22/12/2006,4.381,4.381,4.381,4.381,7800,
25/12/2006,4.458,4.458,4.458,4.458,2900,
26/12/2006,4.557,4.557,4.557,4.557,5400,
27/12/2006,4.657,4.657,4.452,4.452,9200,
28/12/2006,4.735,4.763,4.616,4.616,28000,
29/12/2006,4.735,5.329,4.381,5.329,14000,
02/01/2007,4.657,4.657,4.657,4.657,8700,
03/01/2007,4.557,4.557,4.557,4.557,6200,
04/01/2007,4.481,5.326,4.481,4.839,12000,
05/01/2007,4.584,4.584,4.584,4.584,8800,
08/01/2007,4.708,4.789,4.359,4.359,4000,
09/01/2007,4.708,4.894,4.708,4.708,4800,
10/01/2007,4.735,4.811,4.735,4.748,5200,
11/01/2007,7.833,7.833,7.833,7.833,0,
12/01/2007,4.657,4.657,4.657,4.657,200,
15/01/2007,4.684,4.684,4.684,4.684,2000,
16/01/2007,7.553,7.553,7.553,7.553,0,
17/01/2007,4.557,5.013,4.557,4.793,200,
18/01/2007,4.609,4.609,4.526,4.575,500,
19/01/2007,4.584,4.665,4.584,4.632,4500,
22/01/2007,6.999,6.999,6.999,6.999,0,
23/01/2007,6.999,6.999,6.999,6.999,0,
24/01/2007,4.684,4.763,4.684,4.684,5600,
25/01/2007,4.684,4.731,4.37,4.543,2000,
26/01/2007,4.532,4.672,4.532,4.549,3000,
29/01/2007,4.433,4.433,4.433,4.433,100,
30/01/2007,4.86,4.86,4.86,4.86,200,
31/01/2007,4.91,4.91,4.564,4.564,1900,
01/02/2007,5.061,5.061,5.061,5.061,700,
02/02/2007,5.212,5.212,4.616,4.751,10000,
05/02/2007,5.212,5.212,4.888,4.951,8300,
06/02/2007,5.212,5.543,5.212,5.301,8700,
07/02/2007,5.238,5.238,5.085,5.152,2700,
08/02/2007,5.238,5.238,5.07,5.203,5300,
09/02/2007,5.212,5.385,5.212,5.317,1400,
12/02/2007,5.187,5.187,5.187,5.187,900,
13/02/2007,5.187,5.187,5.187,5.187,1000,
14/02/2007,5.139,5.139,4.965,5.033,3300,
15/02/2007,5.212,5.212,5.127,5.127,1900,
26/02/2007,5.238,5.238,4.783,4.783,2800,
27/02/2007,5.389,5.389,5.013,5.013,3800,
28/02/2007,5.565,5.565,5.491,5.491,12000,
01/03/2007,5.767,5.767,5.438,5.438,9000,
02/03/2007,5.841,5.912,5.565,5.565,12600,
05/03/2007,5.894,5.894,5.756,5.756,11200,
06/03/2007,5.918,5.998,5.514,5.702,17000,
07/03/2007,6.017,6.017,5.565,5.565,14200,
08/03/2007,6.27,6.27,6.27,6.27,1200,
09/03/2007,6.547,6.547,6.547,6.547,8300,
12/03/2007,6.848,6.848,6.826,6.826,12800,
13/03/2007,7.025,7.498,6.139,6.816,10200,
14/03/2007,6.826,7.828,6.826,7.46,5400,
15/03/2007,6.472,6.472,6.472,6.472,600,
16/03/2007,6.194,6.194,5.38,5.434,15500,
19/03/2007,6.495,6.495,6.495,6.495,8600,
20/03/2007,6.547,7.017,5.787,6.43,6800,
21/03/2007,6.572,7.116,6.572,6.753,12800,
22/03/2007,6.395,6.766,6.395,6.58,4900,DIVIDEND
23/03/2007,6.12,6.359,6.08,6.131,5500,
26/03/2007,5.867,6.666,5.867,5.894,8500,
27/03/2007,5.642,5.668,5.642,5.656,3100,
28/03/2007,5.44,5.454,5.022,5.161,2300,
29/03/2007,5.665,5.665,5.665,5.665,2000,
30/03/2007,5.894,5.894,5.894,5.894,8600,
02/04/2007,6.094,6.106,5.969,5.969,10700,
03/04/2007,6.043,6.043,6.043,6.043,2000,
04/04/2007,5.969,5.969,5.969,5.969,100,
05/04/2007,5.793,5.984,5.778,5.833,800,
06/04/2007,5.815,5.869,5.803,5.803,2900,
09/04/2007,5.793,5.803,5.656,5.778,4400,
10/04/2007,5.793,5.793,5.301,5.389,1200,
11/04/2007,5.741,5.894,5.741,5.867,700,
12/04/2007,5.793,5.793,5.793,5.793,600,
13/04/2007,5.741,5.756,5.741,5.741,300,
16/04/2007,5.489,5.489,5.489,5.489,1300,
