transDate,close,high,low,open,volume,event
15/05/2014,6.005,6.005,6.005,6.005,100,
16/05/2014,6.005,6.005,6.005,6.005,0,
19/05/2014,6.005,6.545,6.005,6.545,42000,
20/05/2014,6.005,6.005,6.005,6.005,4000,
21/05/2014,6.005,6.005,5.543,5.543,5000,
22/05/2014,6.082,6.159,6.082,6.159,16000,
23/05/2014,6.159,6.159,6.159,6.159,0,
26/05/2014,6.159,6.159,5.773,5.773,16000,
27/05/2014,6.005,6.159,6.005,6.005,29000,
28/05/2014,6.082,6.082,6.082,6.082,0,
29/05/2014,6.082,6.082,5.773,5.773,4500,
30/05/2014,5.928,5.928,5.928,5.928,0,
02/06/2014,5.928,5.928,5.543,5.543,3400,
03/06/2014,5.543,5.543,5.543,5.543,6000,
04/06/2014,5.388,5.465,5.388,5.465,5000,
05/06/2014,4.85,5.312,4.85,5.312,2600,
06/06/2014,4.773,4.773,4.773,4.773,1600,
09/06/2014,4.773,4.773,4.773,4.773,3000,
10/06/2014,4.311,4.311,4.311,4.311,4500,
11/06/2014,4.619,4.619,4.619,4.619,18700,
12/06/2014,4.233,4.233,4.233,4.233,8000,
13/06/2014,4.619,4.619,4.619,4.619,5300,
16/06/2014,4.619,4.619,4.619,4.619,0,
17/06/2014,4.619,4.619,4.619,4.619,0,
18/06/2014,4.619,4.619,4.619,4.619,0,
19/06/2014,4.619,4.619,4.619,4.619,0,
20/06/2014,4.619,4.619,4.619,4.619,0,
23/06/2014,4.619,4.619,4.619,4.619,0,
24/06/2014,4.619,4.619,4.619,4.619,0,
25/06/2014,4.233,4.233,4.158,4.158,1500,
26/06/2014,3.849,3.849,3.849,3.849,500,
27/06/2014,3.464,3.464,3.464,3.464,500,
30/06/2014,3.773,3.773,3.773,3.773,2500,
01/07/2014,10.778,10.778,10.778,10.778,0,
02/07/2014,3.926,3.926,3.541,3.541,2300,
03/07/2014,11.548,11.548,11.548,11.548,0,
04/07/2014,4.233,4.233,3.541,3.541,2500,
07/07/2014,4.081,4.081,4.081,4.081,0,
08/07/2014,4.466,4.466,4.466,4.466,100,
09/07/2014,4.85,4.85,4.695,4.695,200,
10/07/2014,5.235,5.235,5.235,5.235,100,
11/07/2014,5.543,5.697,5.003,5.388,8100,
14/07/2014,5.543,5.543,5.543,5.543,1000,
15/07/2014,5.388,5.388,5.388,5.388,1000,
16/07/2014,5.388,5.388,5.388,5.388,0,
17/07/2014,5.388,5.388,4.927,4.927,42500,
18/07/2014,5.388,5.388,5.388,5.388,12300,
21/07/2014,5.312,5.388,5.312,5.388,5300,
22/07/2014,5.62,5.62,5.543,5.543,10800,
23/07/2014,6.159,6.159,5.543,5.62,30700,
24/07/2014,5.697,5.697,5.388,5.465,4300,
25/07/2014,5.773,5.773,5.773,5.773,2500,
28/07/2014,5.773,5.773,5.773,5.773,10000,
29/07/2014,5.773,5.773,5.543,5.773,18200,
30/07/2014,5.543,5.543,5.543,5.543,2500,
31/07/2014,5.773,5.773,5.62,5.62,16700,
01/08/2014,5.697,5.697,5.697,5.697,0,
04/08/2014,5.773,5.773,5.62,5.62,13300,
05/08/2014,6.005,6.005,5.773,5.773,8900,
