transDate,close,high,low,open,volume,event
06/01/2017,14.771,14.771,14.771,14.771,2000,
09/01/2017,16.985,16.985,16.985,16.985,900,DIVIDEND
10/01/2017,19.471,19.471,19.471,19.471,500,
11/01/2017,19.471,19.471,19.471,19.471,0,
12/01/2017,19.471,19.471,19.471,19.471,0,
13/01/2017,19.471,19.471,19.471,19.471,0,
16/01/2017,19.471,19.471,19.471,19.471,0,
17/01/2017,19.471,19.471,19.471,19.471,0,
18/01/2017,19.471,19.471,19.471,19.471,0,
19/01/2017,19.471,19.471,19.471,19.471,0,
20/01/2017,19.471,19.471,19.471,19.471,0,
23/01/2017,19.471,19.471,19.471,19.471,0,
24/01/2017,19.471,19.471,19.471,19.471,0,
25/01/2017,19.471,19.471,19.471,19.471,0,
02/02/2017,19.471,19.471,19.471,19.471,0,
03/02/2017,16.584,16.584,16.584,16.584,100,
06/02/2017,19.067,19.067,14.099,14.099,300,
07/02/2017,16.113,16.113,16.113,16.113,600,
08/02/2017,16.113,16.113,16.113,16.113,0,
09/02/2017,16.784,16.784,16.784,16.784,300,
10/02/2017,17.12,17.12,16.784,16.784,700,
13/02/2017,14.435,17.12,14.435,16.784,1400,
14/02/2017,15.51,15.51,15.51,15.51,0,
15/02/2017,17.591,17.591,17.591,17.591,700,
16/02/2017,17.927,17.993,14.972,17.993,900,
17/02/2017,16.985,16.985,16.985,16.985,0,
20/02/2017,16.985,16.985,16.985,16.985,0,
21/02/2017,14.502,14.502,14.502,14.502,300,
22/02/2017,15.04,15.04,12.354,12.354,2200,
23/02/2017,14.233,14.233,14.233,14.233,100,
24/02/2017,15.04,15.04,15.04,15.04,100,
27/02/2017,17.188,17.188,17.188,17.188,100,
28/02/2017,17.188,17.188,17.188,17.188,0,
01/03/2017,14.636,19.403,14.636,19.403,200,
02/03/2017,17.054,17.054,17.054,17.054,0,
03/03/2017,17.054,17.054,17.054,17.054,0,
06/03/2017,17.054,17.054,17.054,17.054,0,
07/03/2017,17.054,17.054,17.054,17.054,0,
08/03/2017,17.054,17.054,17.054,17.054,0,
09/03/2017,17.054,17.054,17.054,17.054,0,
10/03/2017,17.054,17.054,17.054,17.054,0,
13/03/2017,17.054,17.054,17.054,17.054,0,
14/03/2017,17.054,17.054,17.054,17.054,0,
15/03/2017,17.054,17.054,17.054,17.054,0,
16/03/2017,17.054,17.054,17.054,17.054,0,
17/03/2017,17.054,17.054,17.054,17.054,0,
20/03/2017,17.054,17.054,17.054,17.054,0,
21/03/2017,17.054,17.054,17.054,17.054,0,
22/03/2017,17.054,17.054,17.054,17.054,0,
23/03/2017,17.054,17.054,17.054,17.054,0,
24/03/2017,19.27,19.27,14.502,14.502,200,
27/03/2017,17.255,17.255,14.435,14.435,200,
28/03/2017,17.927,17.927,17.927,17.927,100,
29/03/2017,17.927,17.927,17.927,17.927,0,
30/03/2017,17.927,17.927,17.927,17.927,0,
31/03/2017,17.927,17.927,17.927,17.927,0,
03/04/2017,17.927,17.927,17.927,17.927,0,
04/04/2017,17.927,17.927,17.927,17.927,0,
05/04/2017,17.927,17.927,17.927,17.927,0,
07/04/2017,17.927,17.927,17.927,17.927,0,
10/04/2017,17.927,17.927,17.927,17.927,0,
11/04/2017,17.927,17.927,17.927,17.927,0,
12/04/2017,17.927,17.927,17.927,17.927,0,
13/04/2017,17.927,17.927,17.927,17.927,0,
14/04/2017,17.927,17.927,17.927,17.927,0,
17/04/2017,15.241,20.076,15.241,15.241,2100,
18/04/2017,17.658,17.658,17.658,17.658,100,
19/04/2017,15.04,15.04,15.04,15.04,100,
20/04/2017,15.04,15.04,15.04,15.04,0,
21/04/2017,15.04,15.04,15.04,15.04,0,
24/04/2017,15.04,15.04,15.04,15.04,0,
25/04/2017,15.04,15.04,15.04,15.04,0,
26/04/2017,15.04,15.04,15.04,15.04,0,
27/04/2017,15.04,15.04,15.04,15.04,0,
28/04/2017,15.04,15.04,15.04,15.04,0,
03/05/2017,15.04,15.04,15.04,15.04,0,
04/05/2017,15.04,15.04,15.04,15.04,28,
05/05/2017,15.04,15.04,15.04,15.04,0,
08/05/2017,15.04,15.04,15.04,15.04,0,
09/05/2017,15.04,15.04,15.04,15.04,0,
10/05/2017,15.04,15.04,15.04,15.04,0,
11/05/2017,15.04,15.04,15.04,15.04,0,
12/05/2017,15.04,15.04,15.04,15.04,0,
15/05/2017,15.04,15.04,15.04,15.04,0,
16/05/2017,15.04,15.04,15.04,15.04,0,
17/05/2017,15.04,15.04,15.04,15.04,0,DIVIDEND
18/05/2017,15.04,15.04,15.04,15.04,0,
19/05/2017,15.04,15.04,15.04,15.04,0,
