transDate,close,high,low,open,volume,event
15/07/2010,0.0,0.0,0.0,0.0,0,
16/07/2010,0.0,0.0,0.0,0.0,0,
19/07/2010,0.0,0.0,0.0,0.0,0,
20/07/2010,0.0,0.0,0.0,0.0,0,
21/07/2010,0.0,0.0,0.0,0.0,0,
22/07/2010,0.0,0.0,0.0,0.0,0,
23/07/2010,0.0,0.0,0.0,0.0,0,
26/07/2010,0.0,0.0,0.0,0.0,0,
27/07/2010,0.0,0.0,0.0,0.0,0,
28/07/2010,0.0,0.0,0.0,0.0,0,
29/07/2010,0.0,0.0,0.0,0.0,0,
30/07/2010,50.0,50.0,30.0,50.0,500,
02/08/2010,40.0,40.0,40.0,40.0,0,
03/08/2010,40.0,40.0,40.0,40.0,0,
04/08/2010,40.0,40.0,40.0,40.0,0,
05/08/2010,40.0,40.0,40.0,40.0,0,
06/08/2010,40.0,40.0,40.0,40.0,0,
09/08/2010,40.0,40.0,40.0,40.0,0,
10/08/2010,40.0,40.0,40.0,40.0,0,
11/08/2010,40.0,40.0,40.0,40.0,0,
12/08/2010,40.0,40.0,40.0,40.0,0,
13/08/2010,40.0,40.0,40.0,40.0,0,
16/08/2010,40.0,40.0,40.0,40.0,0,
17/08/2010,40.0,40.0,40.0,40.0,0,
18/08/2010,40.0,40.0,40.0,40.0,0,
19/08/2010,40.0,40.0,40.0,40.0,0,
20/08/2010,40.0,40.0,40.0,40.0,0,
23/08/2010,40.0,40.0,40.0,40.0,0,
24/08/2010,40.0,40.0,40.0,40.0,0,
25/08/2010,40.0,40.0,40.0,40.0,0,
26/08/2010,40.0,40.0,40.0,40.0,0,
27/08/2010,40.0,40.0,40.0,40.0,0,
30/08/2010,40.0,40.0,40.0,40.0,0,
31/08/2010,40.0,40.0,40.0,40.0,0,
01/09/2010,40.0,40.0,40.0,40.0,0,
06/09/2010,40.0,40.0,40.0,40.0,0,
07/09/2010,40.0,40.0,40.0,40.0,0,
08/09/2010,40.0,40.0,40.0,40.0,0,
09/09/2010,30.0,36.0,30.0,36.0,1100,
10/09/2010,33.3,33.3,33.3,33.3,0,
13/09/2010,33.3,33.3,33.3,33.3,0,
14/09/2010,33.3,33.3,33.3,33.3,0,
15/09/2010,33.3,33.3,33.3,33.3,0,
16/09/2010,30.0,30.0,30.0,30.0,400,
17/09/2010,30.0,30.0,30.0,30.0,0,
20/09/2010,30.0,30.0,30.0,30.0,0,
21/09/2010,30.0,30.0,30.0,30.0,0,
22/09/2010,30.0,30.0,30.0,30.0,0,
23/09/2010,27.0,27.0,27.0,27.0,100,
24/09/2010,24.3,24.3,24.3,24.3,100,
27/09/2010,21.9,21.9,21.9,21.9,100,
28/09/2010,21.9,21.9,21.9,21.9,0,
29/09/2010,21.9,21.9,21.9,21.9,0,
30/09/2010,21.9,21.9,21.9,21.9,0,
01/10/2010,21.9,21.9,21.9,21.9,0,
04/10/2010,19.8,19.8,19.8,19.8,100,
05/10/2010,17.9,17.9,17.9,17.9,100,
06/10/2010,16.2,16.2,16.2,16.2,100,
07/10/2010,16.2,16.2,16.2,16.2,0,
08/10/2010,14.6,14.6,14.6,14.6,100,
11/10/2010,14.6,14.6,14.6,14.6,0,
12/10/2010,14.6,14.6,14.6,14.6,0,
13/10/2010,14.6,14.6,14.6,14.6,0,
14/10/2010,14.6,14.6,14.6,14.6,0,
15/10/2010,13.5,13.5,13.5,13.5,100,
18/10/2010,13.5,13.5,13.5,13.5,0,
19/10/2010,12.2,12.2,12.2,12.2,300,
20/10/2010,12.0,12.0,12.0,12.0,1000,
21/10/2010,10.8,11.8,10.8,11.8,800,
22/10/2010,10.2,10.2,10.2,10.2,400,
25/10/2010,10.2,10.2,10.2,10.2,0,
26/10/2010,10.2,10.2,10.2,10.2,222900,
27/10/2010,10.2,10.2,10.2,10.2,0,
28/10/2010,10.2,10.2,10.2,10.2,300,
29/10/2010,10.2,10.2,10.2,10.2,0,
01/11/2010,10.2,10.2,10.2,10.2,0,
02/11/2010,10.2,10.2,10.2,10.2,0,
03/11/2010,10.0,10.0,10.0,10.0,500,
04/11/2010,10.0,10.0,10.0,10.0,0,
05/11/2010,10.0,10.0,10.0,10.0,0,
08/11/2010,10.0,10.0,10.0,10.0,0,
09/11/2010,10.0,10.0,10.0,10.0,0,
10/11/2010,10.0,10.0,10.0,10.0,0,
11/11/2010,9.0,9.0,9.0,9.0,500,
12/11/2010,9.2,9.2,9.0,9.0,500,
15/11/2010,9.1,9.1,9.1,9.1,0,
16/11/2010,9.1,9.1,9.1,9.1,0,
17/11/2010,9.0,9.0,9.0,9.0,500,
18/11/2010,9.0,9.0,9.0,9.0,0,
19/11/2010,9.0,9.0,9.0,9.0,100,
22/11/2010,9.0,9.0,9.0,9.0,100,
23/11/2010,9.0,9.0,9.0,9.0,0,
24/11/2010,9.0,9.0,9.0,9.0,0,
25/11/2010,9.0,9.0,9.0,9.0,0,
26/11/2010,9.0,9.0,9.0,9.0,0,
29/11/2010,9.0,9.0,9.0,9.0,0,
30/11/2010,8.1,8.1,8.1,8.1,200,
01/12/2010,8.5,8.5,8.5,8.5,100,
02/12/2010,8.5,8.5,8.5,8.5,0,
03/12/2010,9.3,9.3,9.2,9.2,1500,
06/12/2010,9.2,9.2,9.2,9.2,0,
07/12/2010,9.2,9.2,9.2,9.2,0,
08/12/2010,9.2,9.2,9.2,9.2,900,
09/12/2010,9.2,9.2,9.2,9.2,100,
10/12/2010,9.2,9.2,9.2,9.2,0,
13/12/2010,9.2,9.2,9.2,9.2,0,
14/12/2010,9.2,9.2,9.2,9.2,0,
15/12/2010,9.2,9.2,9.2,9.2,0,
16/12/2010,9.2,9.2,9.2,9.2,0,
17/12/2010,9.2,9.2,9.2,9.2,0,
20/12/2010,9.2,9.2,9.2,9.2,0,
21/12/2010,9.0,9.0,9.0,9.0,2500,
22/12/2010,9.0,9.0,9.0,9.0,0,
23/12/2010,9.0,9.0,9.0,9.0,0,
24/12/2010,9.0,9.0,9.0,9.0,0,
27/12/2010,9.0,9.0,9.0,9.0,0,
28/12/2010,9.0,9.0,9.0,9.0,0,
29/12/2010,9.0,9.0,9.0,9.0,0,
30/12/2010,9.0,9.0,9.0,9.0,0,
31/12/2010,9.0,9.0,9.0,9.0,0,
04/01/2011,9.0,9.0,9.0,9.0,0,
05/01/2011,9.0,9.0,9.0,9.0,0,
06/01/2011,9.0,9.0,9.0,9.0,0,
07/01/2011,9.0,9.0,9.0,9.0,0,
10/01/2011,9.0,9.0,9.0,9.0,0,
11/01/2011,9.0,9.0,9.0,9.0,0,
12/01/2011,9.0,9.0,9.0,9.0,0,
13/01/2011,9.0,9.0,9.0,9.0,0,
14/01/2011,9.0,9.0,9.0,9.0,0,
17/01/2011,9.0,9.0,9.0,9.0,0,
18/01/2011,9.0,9.0,9.0,9.0,0,
19/01/2011,9.0,9.0,9.0,9.0,0,
20/01/2011,9.0,9.0,9.0,9.0,0,
21/01/2011,9.0,9.0,9.0,9.0,0,
