transDate,close,high,low,open,volume,event
25/11/2014,15.9,25.2,15.9,25.2,26900,
26/11/2014,19.7,19.7,19.7,19.7,0,
27/11/2014,19.7,19.7,19.7,19.7,0,
28/11/2014,19.7,19.7,19.7,19.7,0,
01/12/2014,19.7,19.7,19.7,19.7,0,
02/12/2014,19.7,19.7,19.7,19.7,0,
03/12/2014,19.7,19.7,19.7,19.7,0,
04/12/2014,19.7,19.7,19.7,19.7,0,
05/12/2014,19.7,19.7,19.7,19.7,0,
08/12/2014,19.7,19.7,19.7,19.7,0,
09/12/2014,19.7,19.7,19.7,19.7,0,
10/12/2014,19.7,19.7,19.7,19.7,0,
11/12/2014,19.7,19.7,19.7,19.7,0,
12/12/2014,19.7,19.7,19.7,19.7,0,
15/12/2014,17.8,17.8,17.8,17.8,100,
16/12/2014,17.8,17.8,17.8,17.8,0,
17/12/2014,17.8,17.8,17.8,17.8,0,
18/12/2014,17.8,17.8,17.8,17.8,0,
19/12/2014,16.1,16.1,16.1,16.1,100,
22/12/2014,14.5,14.5,14.5,14.5,100,
23/12/2014,14.5,14.5,14.5,14.5,0,
24/12/2014,13.1,13.1,13.1,13.1,100,
25/12/2014,13.1,13.1,13.1,13.1,0,
26/12/2014,13.1,13.1,13.1,13.1,0,
29/12/2014,13.1,13.1,13.1,13.1,0,
30/12/2014,11.8,11.8,11.8,11.8,100,
31/12/2014,10.7,10.7,10.7,10.7,100,
05/01/2015,9.7,9.7,9.7,9.7,100,
06/01/2015,8.8,8.8,8.8,8.8,200,
07/01/2015,8.0,8.0,8.0,8.0,200,
08/01/2015,7.2,7.2,7.2,7.2,1500,
09/01/2015,6.5,6.6,6.5,6.6,14400,
12/01/2015,7.1,7.1,6.5,6.5,33000,
13/01/2015,7.8,7.8,7.8,7.8,11100,
14/01/2015,8.5,8.5,8.5,8.5,3000,
15/01/2015,9.3,9.3,9.3,9.3,200,
16/01/2015,10.2,10.2,10.2,10.2,60240,
19/01/2015,11.2,11.2,11.2,11.2,27262,
20/01/2015,12.3,12.3,12.3,12.3,52910,
21/01/2015,13.5,13.5,13.5,13.5,231929,
22/01/2015,14.8,14.8,14.8,14.8,86145,
23/01/2015,15.6,16.2,15.1,16.2,99264,
26/01/2015,15.5,17.8,15.0,17.8,425776,
27/01/2015,14.3,15.3,14.3,15.3,179920,
28/01/2015,15.8,15.8,13.2,14.4,183361,
29/01/2015,15.7,16.7,15.2,15.8,91387,
30/01/2015,15.1,16.2,15.0,15.5,92153,
02/02/2015,14.0,14.9,14.0,14.5,55173,
03/02/2015,12.8,14.0,12.8,13.7,76700,
04/02/2015,12.0,12.5,11.9,12.5,117200,
05/02/2015,13.2,13.3,12.0,12.9,23800,
06/02/2015,12.5,13.3,12.5,12.7,24500,
09/02/2015,12.7,13.2,12.7,13.1,17300,
10/02/2015,12.0,12.7,12.0,12.7,20700,
11/02/2015,12.3,12.7,12.0,12.0,9222,
12/02/2015,12.8,12.8,12.4,12.8,14700,
13/02/2015,13.0,13.0,12.6,12.8,33720,
24/02/2015,14.0,14.0,13.0,13.0,31530,
25/02/2015,15.1,15.1,14.6,15.0,135639,
26/02/2015,14.8,15.5,14.5,15.2,67788,
27/02/2015,15.0,15.0,14.7,14.8,36902,
02/03/2015,14.7,15.1,14.7,15.0,39058,
03/03/2015,14.8,14.8,14.5,14.7,45900,
04/03/2015,16.1,16.1,14.7,14.7,232864,
05/03/2015,17.0,17.3,16.0,16.1,262061,
06/03/2015,18.9,18.9,16.9,17.3,242540,
09/03/2015,20.4,20.4,19.2,19.2,49206,
10/03/2015,21.0,22.3,20.5,22.3,164517,
11/03/2015,23.0,24.4,20.1,21.0,346651,
12/03/2015,20.1,20.1,20.1,20.1,16805,
13/03/2015,18.1,20.0,18.1,18.1,627583,
16/03/2015,18.1,19.9,17.1,17.5,53287,
17/03/2015,19.2,19.2,17.3,18.5,65400,
18/03/2015,19.1,20.2,19.0,20.2,75300,
19/03/2015,17.9,19.4,17.6,19.4,70100,
20/03/2015,17.4,17.8,16.8,17.0,41000,
23/03/2015,17.0,18.1,16.9,17.2,89910,
24/03/2015,16.3,17.4,15.9,17.0,78325,
25/03/2015,15.0,16.8,14.9,16.3,137100,
26/03/2015,15.7,16.4,14.9,15.0,28914,
27/03/2015,15.7,16.5,15.6,16.3,27800,
30/03/2015,15.3,16.0,15.0,16.0,14510,
31/03/2015,14.9,15.1,14.4,15.0,40400,
01/04/2015,13.4,14.8,13.4,14.8,58710,
02/04/2015,12.5,13.3,12.3,13.0,73300,
03/04/2015,13.7,13.7,12.2,12.5,81130,
06/04/2015,14.6,14.6,14.5,14.6,21116,
07/04/2015,15.6,16.0,14.6,15.8,55203,
08/04/2015,14.2,15.8,14.2,15.8,28900,
09/04/2015,14.5,15.2,14.0,14.0,24200,
10/04/2015,14.5,14.9,14.3,14.5,15600,
13/04/2015,14.5,15.2,14.0,15.2,7800,
14/04/2015,14.5,14.5,13.5,14.1,19100,
15/04/2015,14.7,15.2,14.0,14.3,50700,
16/04/2015,14.6,14.9,13.8,14.9,26000,
17/04/2015,14.7,14.9,14.7,14.7,13000,
20/04/2015,13.9,14.6,13.9,14.6,4900,
21/04/2015,13.0,13.6,13.0,13.5,50500,
22/04/2015,13.8,13.8,12.8,13.6,44600,
23/04/2015,13.8,14.0,13.2,13.7,35300,
24/04/2015,13.6,13.7,13.1,13.7,1800,
27/04/2015,13.0,13.2,12.7,13.1,17200,
04/05/2015,12.0,12.8,11.6,12.8,50600,
05/05/2015,11.5,12.0,10.8,11.5,30300,
06/05/2015,10.5,11.5,10.5,11.5,28800,
07/05/2015,10.1,10.4,10.0,10.4,20600,
08/05/2015,10.1,11.1,9.5,9.5,20979,
11/05/2015,10.5,10.8,10.5,10.8,500,
12/05/2015,9.8,11.4,9.8,11.3,14000,
13/05/2015,9.9,10.6,9.9,10.6,44800,
14/05/2015,9.3,9.6,9.2,9.6,16513,
15/05/2015,9.4,10.2,8.5,10.2,35000,
18/05/2015,9.4,9.6,9.0,9.3,44300,
19/05/2015,8.9,9.5,8.6,9.5,17200,
20/05/2015,9.9,9.9,9.0,9.8,18600,
21/05/2015,9.7,10.0,8.8,8.8,10900,
22/05/2015,9.6,9.6,9.4,9.6,7700,
25/05/2015,9.1,9.4,9.0,9.1,20700,
26/05/2015,9.5,9.7,9.0,9.2,25200,
27/05/2015,9.0,9.3,9.0,9.3,44530,
28/05/2015,9.2,9.2,9.1,9.2,13650,
29/05/2015,9.0,9.1,8.5,9.1,15548,
01/06/2015,8.7,9.1,8.4,8.9,35300,
02/06/2015,8.4,8.9,8.3,8.9,45300,
03/06/2015,8.7,9.1,8.0,9.1,3100,
04/06/2015,8.5,8.6,8.2,8.5,44000,
05/06/2015,9.3,9.3,8.6,8.6,26702,
08/06/2015,9.9,9.9,9.9,9.9,1310,
09/06/2015,10.8,10.8,10.7,10.8,98700,
10/06/2015,10.8,11.8,10.8,11.8,136428,
11/06/2015,11.0,11.1,10.5,10.9,17900,
12/06/2015,9.9,10.6,9.9,10.0,19700,
15/06/2015,9.8,10.0,9.0,10.0,24810,
16/06/2015,9.6,10.4,9.6,9.7,15275,
17/06/2015,9.5,10.0,9.0,9.6,91700,
18/06/2015,9.6,10.0,9.5,10.0,4600,
19/06/2015,10.4,10.4,10.0,10.0,61100,
22/06/2015,9.9,10.4,9.8,10.4,20100,
23/06/2015,10.0,10.0,10.0,10.0,15800,
24/06/2015,9.8,10.0,9.8,10.0,13900,
25/06/2015,9.1,10.0,9.1,10.0,10600,
26/06/2015,9.7,9.9,9.1,9.9,2700,
29/06/2015,9.6,9.6,9.1,9.1,5600,
30/06/2015,9.2,9.3,9.1,9.2,7500,
01/07/2015,9.3,9.8,9.3,9.6,2500,
02/07/2015,9.2,9.6,9.0,9.0,9300,
03/07/2015,9.7,10.0,9.3,9.9,18100,
06/07/2015,9.1,9.2,9.1,9.2,23700,
07/07/2015,9.0,9.1,8.6,8.7,26400,
08/07/2015,8.8,8.9,8.1,8.1,8100,
09/07/2015,8.9,9.6,8.6,8.6,14120,
10/07/2015,8.7,9.8,8.7,9.8,13700,
13/07/2015,9.0,9.1,8.3,9.0,8700,
14/07/2015,8.7,9.1,8.7,8.8,12700,
15/07/2015,8.4,9.7,8.3,9.7,13600,
16/07/2015,8.5,9.2,8.5,9.1,12800,
17/07/2015,9.1,9.1,8.8,8.8,1000,
20/07/2015,8.9,9.9,8.3,9.9,19600,
21/07/2015,9.1,9.1,8.4,8.4,600,
22/07/2015,9.1,9.1,8.6,9.0,6400,
23/07/2015,8.9,9.0,8.6,8.6,2100,
24/07/2015,8.5,9.2,8.5,9.2,5800,
27/07/2015,9.1,9.1,8.6,8.8,4700,
28/07/2015,8.7,8.8,8.5,8.7,9000,
29/07/2015,8.4,8.6,8.4,8.5,16900,
30/07/2015,8.5,8.9,8.4,8.4,2300,
31/07/2015,8.3,8.4,8.3,8.4,8600,
03/08/2015,8.4,8.4,8.1,8.4,13900,
04/08/2015,8.9,9.0,8.9,9.0,200,
05/08/2015,10.3,10.3,9.0,9.0,73200,
06/08/2015,10.5,11.3,10.5,11.3,99838,
07/08/2015,9.8,10.9,9.8,10.7,3500,
10/08/2015,9.8,10.2,9.1,10.2,26900,
11/08/2015,9.5,9.5,8.0,8.8,4900,
12/08/2015,9.0,9.5,9.0,9.1,1200,
13/08/2015,9.0,9.5,8.8,9.5,8530,
14/08/2015,9.0,9.1,8.8,9.0,5713,
17/08/2015,9.0,9.0,8.7,8.8,4700,
18/08/2015,8.8,10.1,8.8,9.7,4800,
19/08/2015,9.0,9.0,8.3,8.9,3400,
20/08/2015,8.8,9.0,8.5,9.0,5900,
21/08/2015,8.6,8.6,7.8,8.1,11300,
24/08/2015,8.2,9.0,7.7,8.7,36200,
25/08/2015,8.0,8.2,8.0,8.1,13800,
26/08/2015,8.3,8.8,8.0,8.0,14400,
27/08/2015,8.8,9.4,8.3,8.4,22913,
28/08/2015,8.7,9.4,8.7,8.8,29300,
31/08/2015,9.1,10.0,8.9,10.0,19200,
01/09/2015,9.0,9.3,8.6,8.7,5000,
03/09/2015,10.0,10.0,8.7,8.7,59900,
04/09/2015,9.9,10.8,9.8,10.0,48800,
07/09/2015,9.3,10.0,9.3,10.0,17500,
08/09/2015,9.2,9.5,8.9,8.9,12300,
09/09/2015,9.0,9.1,9.0,9.1,13300,
10/09/2015,9.0,9.1,8.9,9.1,25800,
11/09/2015,9.0,9.4,9.0,9.4,3600,
14/09/2015,8.3,9.0,8.0,9.0,12800,
15/09/2015,8.8,8.8,8.5,8.5,5900,
16/09/2015,9.2,9.2,8.9,8.9,7700,
17/09/2015,8.8,9.2,8.8,9.0,20800,
18/09/2015,8.7,9.1,7.7,9.1,40100,
21/09/2015,8.7,8.7,8.6,8.6,1300,
22/09/2015,8.2,8.9,8.2,8.9,2100,
23/09/2015,8.1,8.2,8.1,8.2,8700,
24/09/2015,8.4,8.4,8.1,8.1,4300,
25/09/2015,8.6,8.6,8.0,8.0,2500,
28/09/2015,8.3,8.5,8.0,8.5,4000,
29/09/2015,8.0,8.0,8.0,8.0,11700,
30/09/2015,8.0,8.4,8.0,8.4,29200,
01/10/2015,8.2,8.2,8.2,8.2,100,
02/10/2015,8.3,8.3,8.1,8.2,19700,
05/10/2015,8.0,8.3,8.0,8.3,14500,
06/10/2015,8.1,8.2,8.0,8.1,30000,
07/10/2015,8.0,8.1,8.0,8.1,5400,
08/10/2015,7.9,8.1,7.9,8.0,12800,
09/10/2015,8.4,9.0,8.0,8.1,15000,
12/10/2015,8.4,8.4,7.9,7.9,1800,
13/10/2015,7.9,8.2,7.9,8.2,14600,
14/10/2015,7.8,7.9,7.8,7.8,12000,
15/10/2015,7.8,8.1,7.7,8.1,5300,
16/10/2015,7.9,7.9,7.9,7.9,2100,
19/10/2015,7.9,9.0,7.9,9.0,6300,
20/10/2015,8.0,8.0,7.6,7.6,2300,
21/10/2015,7.9,8.0,7.9,8.0,11100,
22/10/2015,8.0,8.2,7.9,7.9,29100,
23/10/2015,7.9,8.0,7.9,8.0,8800,
26/10/2015,8.0,8.0,8.0,8.0,4000,
27/10/2015,7.9,7.9,7.8,7.9,2100,
28/10/2015,7.7,9.0,7.5,7.8,25000,
29/10/2015,7.9,7.9,7.9,7.9,800,
30/10/2015,7.9,7.9,7.9,7.9,1500,
02/11/2015,8.1,8.1,8.1,8.1,100,
03/11/2015,8.1,8.1,8.1,8.1,0,
04/11/2015,7.3,7.3,7.3,7.3,100,
05/11/2015,7.9,8.0,7.7,8.0,12500,
06/11/2015,8.2,8.2,8.0,8.0,7100,
09/11/2015,7.5,8.1,7.5,8.1,36400,
