code = CAP, n = 13, pv = 2.928, fv = 34.1, r = 20.785305058390648
code = CAV, n = 7, pv = 15.935, fv = 69.0, r = 23.29008333493361
code = CVT, n = 12, pv = 2.072, fv = 26.5, r = 23.662496626692576
code = DHC, n = 12, pv = 3.84, fv = 49.15, r = 23.670473850788866
code = DHT, n = 13, pv = 2.983, fv = 54.4, r = 25.024699374958924
code = DP3, n = 6, pv = 11.912, fv = 79.0, r = 37.06936508304442
code = HLD, n = 8, pv = 3.897, fv = 29.3, r = 28.681807300846174
code = IBC, n = 5, pv = 5.191, fv = 22.35, r = 33.90762262628535
code = L14, n = 10, pv = 1.36, fv = 51.2, r = 43.738498956537896
code = LGC, n = 15, pv = 3.951, fv = 69.0, r = 21.006714871888676
code = MWG, n = 7, pv = 13.373, fv = 105.7, r = 34.35806317028898
code = NDN, n = 10, pv = 2.485, fv = 18.6, r = 22.297802950624778
code = NKD, n = 7, pv = 8.899, fv = 41.2, r = 24.474224695645464
code = NTC, n = 5, pv = 13.533, fv = 245.0, r = 78.46555237068371
code = PNJ, n = 12, pv = 5.023, fv = 74.0, r = 25.12834827164614
code = PTB, n = 10, pv = 2.185, fv = 53.4, r = 37.66038555312474
code = S4A, n = 5, pv = 10.225, fv = 26.5, r = 20.980816559925497
code = S99, n = 15, pv = 0.991, fv = 16.9, r = 20.81500327602994
code = SLS, n = 9, pv = 7.97, fv = 58.7, r = 24.839870323232294
code = THG, n = 10, pv = 4.213, fv = 55.5, r = 29.410689877498374
code = TV2, n = 12, pv = 2.097, fv = 45.9, r = 29.32560574170866
code = VCF, n = 10, pv = 31.269, fv = 219.3, r = 21.504528341676398
code = VCP, n = 5, pv = 14.162, fv = 47.7, r = 27.49077401594078
code = VEF, n = 6, pv = 10.1, fv = 90.0, r = 43.98597424204076
code = VIC, n = 14, pv = 5.498, fv = 106.1, r = 23.54415097809961
code = VNM, n = 15, pv = 2.793, fv = 108.8, r = 27.654814044319174
code = WCS, n = 11, pv = 15.515, fv = 202.5, r = 26.30624984138943
